#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.013133	0	0	0	0	0	0	911.0320285	0.5	320.6085694
1	0.702477	4	1	1	0	0	0	911.0320285	0.5	321.4066335
2	1.099404	8	1	1	0	0	0	911.0320285	0.5	320.7051388
3	1.4961	12	1	1	0	0	0	911.0320285	0.5	319.7394448
4	1.892288	16	1	1	0	0	0	911.0320285	0.5	320.200427
5	2.288851	20	1	1	0	0	0	911.0320285	0.5	320.426363
6	2.686119	24	1	1	0	0	0	911.0320285	0.5	321.0440427
7	3.082585	28	1	1	0	0	0	911.0320285	0.5	319.9526263
8	3.480182	32	1	1	0	0	0	911.0320285	0.5	320.2095374
9	3.876321	36	1	1	0	0	0	911.0320285	0.5	319.573637
10	4.272688	40	1	1	0	0	0	911.0320285	0.5	320.6905623
11	4.669108	44	1	1	0	0	0	911.0320285	0.5	321.3884128
12	5.065408	48	1	1	0	0	0	911.0320285	0.5	319.9799573
13	5.46245	52	1	1	0	0	0	911.0320285	0.5	320.541153
14	5.858547	56	1	1	0	0	0	911.0320285	0.5	319.743089
15	6.25454	60	1	1	0	0	0	911.0320285	0.5	322.1391032
16	6.651355	64	1	1	0	0	0	911.0320285	0.5	321.0057794
17	7.047975	68	1	1	0	0	0	911.0320285	0.5	321.5487544
18	7.444255	72	1	1	0	0	0	911.0320285	0.5	319.5390178
19	7.840447	76	1	1	0	0	0	911.0320285	0.5	319.4497367
20	8.236764	80	1	1	0	0	0	911.0320285	0.5	320.6759858
21	8.632952	84	1	1	0	0	0	911.0320285	0.5	320.5283986
22	9.029317	88	1	1	0	0	0	911.0320285	0.5	321.0076014
23	9.426045	92	1	1	0	0	0	911.0320285	0.5	320.8035302
24	9.822339	96	1	1	0	0	0	911.0320285	0.5	322.2557153
25	10.21923	100	1	1	0	0	0	911.0320285	0.5	320.568484
26	10.615802	104	1	1	0	0	0	911.0320285	0.5	320.6577651
27	11.012355	108	1	1	0	0	0	911.0320285	0.5	320.967516
28	11.408521	112	1	1	0	0	0	911.0320285	0.5	319.887032
29	11.805928	116	1	1	0	0	0	911.0320285	0.5	320.3735231
30	12.202513	120	1	1	0	0	0	911.0320285	0.5	321.2499359
31	12.599036	124	1	1	0	0	0	911.0320285	0.5	321.1497224
32	12.99615	128	1	1	0	0	0	911.0320285	0.5	320.8181068
33	13.392428	132	1	1	0	0	0	911.0320285	0.5	321.3155302
34	13.788336	136	1	1	0	0	0	911.0320285	0.5	320.541153
35	14.184775	140	1	1	0	0	0	911.0320285	0.5	320.3042847
36	14.581711	144	1	1	0	0	0	911.0320285	0.5	320.9037438
37	14.978145	148	1	1	0	0	0	911.0320285	0.5	321.4339644
38	15.374869	152	1	1	0	0	0	911.0320285	0.5	321.6580783
39	15.771743	156	1	1	0	0	0	911.0320285	0.5	321.4722278
40	16.16841	160	1	1	0	0	0	911.0320285	0.5	320.9584057
41	16.564939	164	1	1	0	0	0	911.0320285	0.5	320.8618363
