#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.01207	0	0	0	0	0	0	890.4347826	0.5	295.827367
1	0.718441	4	1	1	0	0	0	890.4347826	0.5	296.9671235
2	1.1258	8	1	1	0	0	0	890.4347826	0.5	296.0695652
3	1.532788	12	1	1	0	0	0	890.4347826	0.5	295.4248904
4	1.9393	16	1	1	0	0	0	890.4347826	0.5	295.2218713
5	2.346061	20	1	1	0	0	0	890.4347826	0.5	295.2592696
6	2.752737	24	1	1	0	0	0	890.4347826	0.5	295.9199722
7	3.159544	28	1	1	0	0	0	890.4347826	0.5	295.4676313
8	3.567538	32	1	1	0	0	0	890.4347826	0.5	295.60832
9	3.973654	36	1	1	0	0	0	890.4347826	0.5	295.3536557
10	4.379726	40	1	1	0	0	0	890.4347826	0.5	296.0749078
11	4.786946	44	1	1	0	0	0	890.4347826	0.5	296.30464
12	5.192838	48	1	1	0	0	0	890.4347826	0.5	295.0277565
13	5.599242	52	1	1	0	0	0	890.4347826	0.5	295.9894261
14	6.005748	56	1	1	0	0	0	890.4347826	0.5	295.9983304
15	6.412518	60	1	1	0	0	0	890.4347826	0.5	297.1220591
16	6.819854	64	1	1	0	0	0	890.4347826	0.5	296.1781983
17	7.226849	68	1	1	0	0	0	890.4347826	0.5	295.9840835
18	7.635559	72	1	1	0	0	0	890.4347826	0.5	294.7250087
19	8.041978	76	1	1	0	0	0	890.4347826	0.5	294.6947339
20	8.448273	80	1	1	0	0	0	890.4347826	0.5	295.8790122
21	8.854846	84	1	1	0	0	0	890.4347826	0.5	296.3776557
22	9.26138	88	1	1	0	0	0	890.4347826	0.5	296.1995687
23	9.668201	92	1	1	0	0	0	890.4347826	0.5	295.9288765
24	10.075027	96	1	1	0	0	0	890.4347826	0.5	296.8478052
25	10.481879	100	1	1	0	0	0	890.4347826	0.5	296.1283339
26	10.888303	104	1	1	0	0	0	890.4347826	0.5	295.6831165
27	11.29477	108	1	1	0	0	0	890.4347826	0.5	296.5112209
28	11.702156	112	1	1	0	0	0	890.4347826	0.5	295.5495513
29	12.109202	116	1	1	0	0	0	890.4347826	0.5	296.1479235
30	12.516113	120	1	1	0	0	0	890.4347826	0.5	296.8460243
31	12.922584	124	1	1	0	0	0	890.4347826	0.5	296.400807
32	13.329619	128	1	1	0	0	0	890.4347826	0.5	295.8914783
33	13.736463	132	1	1	0	0	0	890.4347826	0.5	296.9136974
34	14.142844	136	1	1	0	0	0	890.4347826	0.5	295.48544
35	14.549542	140	1	1	0	0	0	890.4347826	0.5	295.7810643
36	14.956595	144	1	1	0	0	0	890.4347826	0.5	296.3206678
37	15.36305	148	1	1	0	0	0	890.4347826	0.5	296.2262817
38	15.770197	152	1	1	0	0	0	890.4347826	0.5	296.9778087
39	16.177592	156	1	1	0	0	0	890.4347826	0.5	295.4426991
40	16.583832	160	1	1	0	0	0	890.4347826	0.5	295.6510609
41	16.990257	164	1	1	0	0	0	890.4347826	0.5	295.3696835
42	17.397487	168	1	1	0	0	0	890.4347826	0.5	295.9716174
43	17.8063	172	1	1	0	0	0	890.4347826	0.5	295.2770783
44	18.212364	176	1	1	0	0	0	890.4347826	0.5	295.0954296
45	18.619074	180	1	1	0	0	0	890.4347826	0.5	294.5896626
46	19.02557	184	1	1	0	0	0	890.4347826	0.5	295.4017391
47	19.432581	188	1	1	0	0	0	890.4347826	0.5	295.5014678
48	19.839181	192	1	1	0	0	0	890.4347826	0.5	296.7017739
49	20.246443	196	1	1	0	0	0	890.4347826	0.5	297.0258922
50	20.6526	200	1	1	0	0	0	890.4347826	0.5	295.716953
51	21.059032	204	1	1	0	0	0	890.4347826	0.5	295.798873
52	21.46603	208	1	1	0	0	0	890.4347826	0.5	296.5165635
53	21.872319	212	1	1	0	0	0	890.4347826	0.5	294.9404939
54	22.27879	216	1	1	0	0	0	890.4347826	0.5	295.8077774
55	22.685375	220	1	1	0	0	0	890.4347826	0.5	296.1835409
56	23.092049	224	1	1	0	0	0	890.4347826	0.5	295.0099478
57	23.498726	228	1	1	0	0	0	890.4347826	0.5	296.4221774
58	23.905631	232	1	1	0	0	0	890.4347826	0.5	296.3651896
59	24.312612	236	1	1	0	0	0	890.4347826	0.5	296.085593
60	24.719154	240	1	1	0	0	0	890.4347826	0.5	295.1880348
61	25.125949	244	1	1	0	0	0	890.4347826	0.5	295.2717357
62	25.532112	248	1	1	0	0	0	890.4347826	0.5	295.5584557
63	25.938741	252	1	1	0	0	0	890.4347826	0.5	296.0695652
64	26.345529	256	1	1	0	0	0	890.4347826	0.5	295.212967
65	26.752283	260	1	1	0	0	0	890.4347826	0.5	296.0642226
66	27.159167	264	1	1	0	0	0	890.4347826	0.5	296.249433
67	27.566043	268	1	1	0	0	0	890.4347826	0.5	295.8469565
68	27.975627	272	1	1	0	0	0	890.4347826	0.5	297.1398678
69	28.382771	276	1	1	0	0	0	890.4347826	0.5	296.42752
