#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012698	0	0	0	0	0	0	890.4347826	0.5	292.4704278
1	0.733984	4	1	1	0	0	0	890.4347826	0.5	292.317273
2	1.162855	8	1	1	0	0	0	890.4347826	0.5	292.8675617
3	1.591712	12	1	1	0	0	0	890.4347826	0.5	292.9619478
4	2.021121	16	1	1	0	0	0	890.4347826	0.5	294.0589635
5	2.449662	20	1	1	0	0	0	890.4347826	0.5	292.3635757
6	2.877695	24	1	1	0	0	0	890.4347826	0.5	292.4828939
7	3.306249	28	1	1	0	0	0	890.4347826	0.5	293.627993
8	3.73537	32	1	1	0	0	0	890.4347826	0.5	292.8924939
9	4.163417	36	1	1	0	0	0	890.4347826	0.5	292.9477009
10	4.59197	40	1	1	0	0	0	890.4347826	0.5	292.4348104
11	5.019993	44	1	1	0	0	0	890.4347826	0.5	292.8729043
12	5.44816	48	1	1	0	0	0	890.4347826	0.5	292.0554852
13	5.876794	52	1	1	0	0	0	890.4347826	0.5	292.1142539
14	6.304439	56	1	1	0	0	0	890.4347826	0.5	292.1748035
15	6.733344	60	1	1	0	0	0	890.4347826	0.5	291.8310957
16	7.161754	64	1	1	0	0	0	890.4347826	0.5	293.0171548
17	7.590055	68	1	1	0	0	0	890.4347826	0.5	292.7998887
18	8.018722	72	1	1	0	0	0	890.4347826	0.5	292.7642713
19	8.447353	76	1	1	0	0	0	890.4347826	0.5	292.5416626
20	8.88928	80	1	1	0	0	0	890.4347826	0.5	292.0145252
21	9.316975	84	1	1	0	0	0	890.4347826	0.5	292.3261774
22	9.745323	88	1	1	0	0	0	890.4347826	0.5	294.0696487
23	10.173729	92	1	1	0	0	0	890.4347826	0.5	292.6787896
24	10.601649	96	1	1	0	0	0	890.4347826	0.5	292.6378296
25	11.030359	100	1	1	0	0	0	890.4347826	0.5	293.9236174
26	11.458832	104	1	1	0	0	0	890.4347826	0.5	292.7749565
27	11.887721	108	1	1	0	0	0	890.4347826	0.5	291.7758887
28	12.31635	112	1	1	0	0	0	890.4347826	0.5	293.5140174
29	12.744673	116	1	1	0	0	0	890.4347826	0.5	292.8924939
30	13.173241	120	1	1	0	0	0	890.4347826	0.5	292.9993461
31	13.601706	124	1	1	0	0	0	890.4347826	0.5	292.6965983
32	14.030241	128	1	1	0	0	0	890.4347826	0.5	291.6832835
33	14.45791	132	1	1	0	0	0	890.4347826	0.5	292.0465809
34	14.886192	136	1	1	0	0	0	890.4347826	0.5	292.5754991
35	15.314177	140	1	1	0	0	0	890.4347826	0.5	292.6235826
36	15.742435	144	1	1	0	0	0	890.4347826	0.5	292.7197496
37	16.170867	148	1	1	0	0	0	890.4347826	0.5	293.1703096
38	16.59946	152	1	1	0	0	0	890.4347826	0.5	292.3368626
39	17.027014	156	1	1	0	0	0	890.4347826	0.5	293.1542817
40	17.455286	160	1	1	0	0	0	890.4347826	0.5	292.8212591
41	17.883739	164	1	1	0	0	0	890.4347826	0.5	292.6823513
42	18.311926	168	1	1	0	0	0	890.4347826	0.5	292.4116591
43	18.740128	172	1	1	0	0	0	890.4347826	0.5	292.2175443
44	19.168423	176	1	1	0	0	0	890.4347826	0.5	292.1979548
45	19.596813	180	1	1	0	0	0	890.4347826	0.5	293.3857948
46	20.025991	184	1	1	0	0	0	890.4347826	0.5	292.5487861
47	20.454596	188	1	1	0	0	0	890.4347826	0.5	292.2335722
48	20.882432	192	1	1	0	0	0	890.4347826	0.5	292.4063165
49	21.310622	196	1	1	0	0	0	890.4347826	0.5	292.8568765
50	21.739106	200	1	1	0	0	0	890.4347826	0.5	292.726873
51	22.167625	204	1	1	0	0	0	890.4347826	0.5	292.7215304
52	22.595819	208	1	1	0	0	0	890.4347826	0.5	292.5808417
53	23.024736	212	1	1	0	0	0	890.4347826	0.5	292.4579617
54	23.453351	216	1	1	0	0	0	890.4347826	0.5	292.8444104
55	23.882484	220	1	1	0	0	0	890.4347826	0.5	292.6841322
56	24.311095	224	1	1	0	0	0	890.4347826	0.5	292.6770087
57	24.73932	228	1	1	0	0	0	890.4347826	0.5	292.0216487
58	25.167186	232	1	1	0	0	0	890.4347826	0.5	292.53632
59	25.596341	236	1	1	0	0	0	890.4347826	0.5	294.2459548
60	26.025285	240	1	1	0	0	0	890.4347826	0.5	292.7161878
61	26.453553	244	1	1	0	0	0	890.4347826	0.5	291.8310957
62	26.882053	248	1	1	0	0	0	890.4347826	0.5	293.4018226
63	27.310915	252	1	1	0	0	0	890.4347826	0.5	293.1827757
64	27.7483	256	1	1	0	0	0	890.4347826	0.5	292.9494817
65	28.177036	260	1	1	0	0	0	890.4347826	0.5	293.15072
66	28.605491	264	1	1	0	0	0	890.4347826	0.5	292.3831652
67	29.033482	268	1	1	0	0	0	890.4347826	0.5	292.0109635
68	29.462071	272	1	1	0	0	0	890.4347826	0.5	292.0732939
69	29.890273	276	1	1	0	0	0	890.4347826	0.5	290.9299757
70	30.318008	280	1	1	0	0	0	890.4347826	0.5	292.33152
71	30.74663	284	1	1	0	0	0	890.4347826	0.5	292.8479722
72	31.175335	288	1	1	0	0	0	890.4347826	0.5	291.5728696
73	31.603043	292	1	1	0	0	0	890.4347826	0.5	292.8283826
74	32.031329	296	1	1	0	0	0	890.4347826	0.5	292.4294678
75	32.460718	300	1	1	0	0	0	890.4347826	0.5	292.1071304
76	32.88877	304	1	1	0	0	0	890.4347826	0.5	292.7518052
77	33.317894	308	1	1	0	0	0	890.4347826	0.5	292.6930365
78	33.746484	312	1	1	0	0	0	890.4347826	0.5	293.042087
79	34.174983	316	1	1	0	0	0	890.4347826	0.5	292.4846748
80	34.602879	320	1	1	0	0	0	890.4347826	0.5	293.0937322
81	35.032728	324	1	1	0	0	0	890.4347826	0.5	294.0162226
82	35.462256	328	1	1	0	0	0	890.4347826	0.5	292.7464626
83	35.891052	332	1	1	0	0	0	890.4347826	0.5	293.15072
84	36.319645	336	1	1	0	0	0	890.4347826	0.5	292.5398817
85	36.748191	340	1	1	0	0	0	890.4347826	0.5	292.8942748
86	37.17642	344	1	1	0	0	0	890.4347826	0.5	292.6965983
87	37.605146	348	1	1	0	0	0	890.4347826	0.5	292.8248209
88	38.033507	352	1	1	0	0	0	890.4347826	0.5	291.5247861
89	38.46131	356	1	1	0	0	0	890.4347826	0.5	292.3564522
90	38.889315	360	1	1	0	0	0	890.4347826	0.5	292.8141357
91	39.317672	364	1	1	0	0	0	890.4347826	0.5	293.2700383
92	39.745874	368	1	1	0	0	0	890.4347826	0.5	292.9138643
93	40.174501	372	1	1	0	0	0	890.4347826	0.5	293.3163409
94	40.602915	376	1	1	0	0	0	890.4347826	0.5	293.5033322
95	41.031508	380	1	1	0	0	0	890.4347826	0.5	291.8471235
96	41.459364	384	1	1	0	0	0	890.4347826	0.5	293.2985322
97	41.888526	388	1	1	0	0	0	890.4347826	0.5	293.23264
98	42.317012	392	1	1	0	0	0	890.4347826	0.5	292.304807
99	42.74561	396	1	1	0	0	0	890.4347826	0.5	293.5531965
100	43.190095	400	1	1	0	0	0	890.4347826	0.5	261.9748174
101	43.616845	404	1	1	0	0	0	890.4347826	0.5	262.7299061
102	44.04324	408	1	1	0	0	0	890.4347826	0.5	261.6239861
103	44.470259	412	1	1	0	0	0	890.4347826	0.5	263.1840278
104	44.897173	416	1	1	0	0	0	890.4347826	0.5	262.6301774
105	45.323555	420	1	1	0	0	0	890.4347826	0.5	262.5072974
