#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.011109	0	0	0	0	0	0	890.4347826	0.5	297.8112557
1	0.719681	4	1	1	0	0	0	890.4347826	0.5	298.0623583
2	1.134958	8	1	1	0	0	0	890.4347826	0.5	298.6411409
3	1.550758	12	1	1	0	0	0	890.4347826	0.5	298.297433
4	1.965562	16	1	1	0	0	0	890.4347826	0.5	300.0124104
5	2.379917	20	1	1	0	0	0	890.4347826	0.5	297.998247
6	2.794679	24	1	1	0	0	0	890.4347826	0.5	298.4309983
7	3.208754	28	1	1	0	0	0	890.4347826	0.5	298.4434643
8	3.62345	32	1	1	0	0	0	890.4347826	0.5	298.6233322
9	4.037865	36	1	1	0	0	0	890.4347826	0.5	298.5378504
10	4.454541	40	1	1	0	0	0	890.4347826	0.5	298.461273
11	4.868909	44	1	1	0	0	0	890.4347826	0.5	298.3348313
12	5.283183	48	1	1	0	0	0	890.4347826	0.5	298.530727
13	5.697208	52	1	1	0	0	0	890.4347826	0.5	297.9911235
14	6.110816	56	1	1	0	0	0	890.4347826	0.5	297.9768765
15	6.525447	60	1	1	0	0	0	890.4347826	0.5	298.1424974
16	6.939911	64	1	1	0	0	0	890.4347826	0.5	298.3223652
17	7.353784	68	1	1	0	0	0	890.4347826	0.5	298.2511304
18	7.768643	72	1	1	0	0	0	890.4347826	0.5	298.3722296
19	8.182474	76	1	1	0	0	0	890.4347826	0.5	297.9644104
20	8.596643	80	1	1	0	0	0	890.4347826	0.5	297.7061843
21	9.010938	84	1	1	0	0	0	890.4347826	0.5	297.6652243
22	9.424885	88	1	1	0	0	0	890.4347826	0.5	300.0302191
23	9.840212	92	1	1	0	0	0	890.4347826	0.5	298.4879861
24	10.254513	96	1	1	0	0	0	890.4347826	0.5	298.3740104
25	10.66905	100	1	1	0	0	0	890.4347826	0.5	299.034713
26	11.083504	104	1	1	0	0	0	890.4347826	0.5	298.3882574
27	11.498203	108	1	1	0	0	0	890.4347826	0.5	298.1977043
28	11.913016	112	1	1	0	0	0	890.4347826	0.5	299.1201948
29	12.327497	116	1	1	0	0	0	890.4347826	0.5	298.3027757
30	12.742312	120	1	1	0	0	0	890.4347826	0.5	297.6776904
31	13.15621	124	1	1	0	0	0	890.4347826	0.5	298.3597635
32	13.570457	128	1	1	0	0	0	890.4347826	0.5	297.5637148
33	13.984339	132	1	1	0	0	0	890.4347826	0.5	297.629607
34	14.398097	136	1	1	0	0	0	890.4347826	0.5	298.0872904
35	14.812511	140	1	1	0	0	0	890.4347826	0.5	298.0124939
36	15.226482	144	1	1	0	0	0	890.4347826	0.5	298.3027757
37	15.642256	148	1	1	0	0	0	890.4347826	0.5	298.7871722
38	16.056367	152	1	1	0	0	0	890.4347826	0.5	298.1033183
39	16.470207	156	1	1	0	0	0	890.4347826	0.5	299.5119861
40	16.885355	160	1	1	0	0	0	890.4347826	0.5	298.0267409
41	17.299399	164	1	1	0	0	0	890.4347826	0.5	298.1781148
42	17.713843	168	1	1	0	0	0	890.4347826	0.5	298.4844243
43	18.128348	172	1	1	0	0	0	890.4347826	0.5	297.6082365
44	18.542471	176	1	1	0	0	0	890.4347826	0.5	298.2778435
45	18.956618	180	1	1	0	0	0	890.4347826	0.5	299.2501983
46	19.371187	184	1	1	0	0	0	890.4347826	0.5	299.1184139
47	19.78542	188	1	1	0	0	0	890.4347826	0.5	297.5530296
48	20.200149	192	1	1	0	0	0	890.4347826	0.5	297.9448209
