#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012089	0	0	0	0	0	0	911.0320285	0.5	310.8058648
1	0.728048	4	1	1	0	0	0	911.0320285	0.5	311.3215089
2	1.152813	8	1	1	0	0	0	911.0320285	0.5	310.6582776
3	1.57771	12	1	1	0	0	0	911.0320285	0.5	310.6673879
4	2.001661	16	1	1	0	0	0	911.0320285	0.5	309.7782206
5	2.425093	20	1	1	0	0	0	911.0320285	0.5	310.1717865
6	2.849343	24	1	1	0	0	0	911.0320285	0.5	310.3321281
7	3.273448	28	1	1	0	0	0	911.0320285	0.5	310.3886121
8	3.700495	32	1	1	0	0	0	911.0320285	0.5	310.725694
9	4.124811	36	1	1	0	0	0	911.0320285	0.5	309.902121
10	4.548214	40	1	1	0	0	0	911.0320285	0.5	311.7988897
11	4.97269	44	1	1	0	0	0	911.0320285	0.5	310.9006121
12	5.396719	48	1	1	0	0	0	911.0320285	0.5	309.448427
13	5.819956	52	1	1	0	0	0	911.0320285	0.5	311.6567687
14	6.24381	56	1	1	0	0	0	911.0320285	0.5	310.3685694
15	6.66857	60	1	1	0	0	0	911.0320285	0.5	312.1396157
16	7.092732	64	1	1	0	0	0	911.0320285	0.5	310.8678149
17	7.516793	68	1	1	0	0	0	911.0320285	0.5	310.8878577
18	7.940806	72	1	1	0	0	0	911.0320285	0.5	309.5850819
19	8.364617	76	1	1	0	0	0	911.0320285	0.5	309.3463915
20	8.788219	80	1	1	0	0	0	911.0320285	0.5	311.124726
21	9.212531	84	1	1	0	0	0	911.0320285	0.5	311.1174377
22	9.636641	88	1	1	0	0	0	911.0320285	0.5	311.323331
23	10.060747	92	1	1	0	0	0	911.0320285	0.5	310.6764982
24	10.484631	96	1	1	0	0	0	911.0320285	0.5	311.8827046
25	10.908805	100	1	1	0	0	0	911.0320285	0.5	311.4909609
26	11.332662	104	1	1	0	0	0	911.0320285	0.5	310.5744626
27	11.757004	108	1	1	0	0	0	911.0320285	0.5	311.153879
28	12.181456	112	1	1	0	0	0	911.0320285	0.5	310.4778932
29	12.605952	116	1	1	0	0	0	911.0320285	0.5	311.3123986
30	13.030231	120	1	1	0	0	0	911.0320285	0.5	311.4490534
31	13.454271	124	1	1	0	0	0	911.0320285	0.5	311.354306
32	13.878651	128	1	1	0	0	0	911.0320285	0.5	310.2792883
33	14.302405	132	1	1	0	0	0	911.0320285	0.5	311.3470178
34	14.72621	136	1	1	0	0	0	911.0320285	0.5	309.5431744
35	15.150658	140	1	1	0	0	0	911.0320285	0.5	310.5890391
36	15.574746	144	1	1	0	0	0	911.0320285	0.5	310.5890391
37	15.998426	148	1	1	0	0	0	911.0320285	0.5	311.1775658
38	16.423558	152	1	1	0	0	0	911.0320285	0.5	311.5693096
39	16.847814	156	1	1	0	0	0	911.0320285	0.5	310.3959004
40	17.271334	160	1	1	0	0	0	911.0320285	0.5	310.3776797
41	17.695188	164	1	1	0	0	0	911.0320285	0.5	310.4104769
42	18.119265	168	1	1	0	0	0	911.0320285	0.5	310.5034021
43	18.543144	172	1	1	0	0	0	911.0320285	0.5	310.215516
44	18.967165	176	1	1	0	0	0	911.0320285	0.5	310.0788612
45	19.390614	180	1	1	0	0	0	911.0320285	0.5	309.7927972
46	19.814552	184	1	1	0	0	0	911.0320285	0.5	310.3740356
47	20.239898	188	1	1	0	0	0	911.0320285	0.5	310.1335231
48	20.663333	192	1	1	0	0	0	911.0320285	0.5	311.040911
49	21.086781	196	1	1	0	0	0	911.0320285	0.5	311.1229039
50	21.510696	200	1	1	0	0	0	911.0320285	0.5	310.4870036
51	21.934281	204	1	1	0	0	0	911.0320285	0.5	311.0755302
52	22.358204	208	1	1	0	0	0	911.0320285	0.5	311.5419786
53	22.782242	212	1	1	0	0	0	911.0320285	0.5	310.0387758
54	23.20626	216	1	1	0	0	0	911.0320285	0.5	310.8477722
55	23.630782	220	1	1	0	0	0	911.0320285	0.5	311.0992171
56	24.055199	224	1	1	0	0	0	911.0320285	0.5	310.754847
57	24.47901	228	1	1	0	0	0	911.0320285	0.5	311.3798149
58	24.903159	232	1	1	0	0	0	911.0320285	0.5	310.8769253
59	25.333318	236	1	1	0	0	0	911.0320285	0.5	310.6819644
60	25.756951	240	1	1	0	0	0	911.0320285	0.5	310.0223772
61	26.180748	244	1	1	0	0	0	911.0320285	0.5	310.0916157
62	26.60438	248	1	1	0	0	0	911.0320285	0.5	310.5434875
63	27.028482	252	1	1	0	0	0	911.0320285	0.5	311.5893523
64	27.452779	256	1	1	0	0	0	911.0320285	0.5	310.3558149
65	27.876691	260	1	1	0	0	0	911.0320285	0.5	311.1101495
66	28.301096	264	1	1	0	0	0	911.0320285	0.5	310.6910747
67	28.724945	268	1	1	0	0	0	911.0320285	0.5	310.2756441
68	29.148828	272	1	1	0	0	0	911.0320285	0.5	311.6786335
69	29.573127	276	1	1	0	0	0	911.0320285	0.5	311.4618078
70	29.997513	280	1	1	0	0	0	911.0320285	0.5	311.4162562
71	30.421958	284	1	1	0	0	0	911.0320285	0.5	310.9042562
72	30.84605	288	1	1	0	0	0	911.0320285	0.5	310.0296655
73	31.269867	292	1	1	0	0	0	911.0320285	0.5	310.6473452
74	31.693821	296	1	1	0	0	0	911.0320285	0.5	311.552911
75	32.118264	300	1	1	0	0	0	911.0320285	0.5	311.237694
76	32.54221	304	1	1	0	0	0	911.0320285	0.5	311.8681281
77	32.980321	308	1	1	0	0	0	911.0320285	0.5	310.7092954
78	33.409591	312	1	1	0	0	0	911.0320285	0.5	311.1484128
79	33.83461	316	1	1	0	0	0	911.0320285	0.5	311.0773523
80	34.258702	320	1	1	0	0	0	911.0320285	0.5	310.612726
81	34.683116	324	1	1	0	0	0	911.0320285	0.5	311.2577367
82	35.10701	328	1	1	0	0	0	911.0320285	0.5	311.1411246
83	35.530996	332	1	1	0	0	0	911.0320285	0.5	311.6877438
84	35.955315	336	1	1	0	0	0	911.0320285	0.5	311.8280427
85	36.378988	340	1	1	0	0	0	911.0320285	0.5	310.9425196
86	36.802849	344	1	1	0	0	0	911.0320285	0.5	311.0245125
87	37.226884	348	1	1	0	0	0	911.0320285	0.5	310.612726
88	37.650747	352	1	1	0	0	0	911.0320285	0.5	310.1499217
89	38.074093	356	1	1	0	0	0	911.0320285	0.5	311.3670605
90	38.498252	360	1	1	0	0	0	911.0320285	0.5	312.4858078
91	38.922037	364	1	1	0	0	0	911.0320285	0.5	310.6163701
92	39.345839	368	1	1	0	0	0	911.0320285	0.5	311.4727402
93	39.77056	372	1	1	0	0	0	911.0320285	0.5	311.4545196
94	40.194081	376	1	1	0	0	0	911.0320285	0.5	311.095573
95	40.618274	380	1	1	0	0	0	911.0320285	0.5	311.6166833
96	41.043354	384	1	1	0	0	0	911.0320285	0.5	310.614548
97	41.467264	388	1	1	0	0	0	911.0320285	0.5	310.38679
98	41.89076	392	1	1	0	0	0	911.0320285	0.5	310.9224769
99	42.315401	396	1	1	0	0	0	911.0320285	0.5	309.9622491
100	42.754404	400	1	1	0	0	0	911.0320285	0.5	280.6926121
101	43.178694	404	1	1	0	0	0	911.0320285	0.5	279.0819075
102	43.602623	408	1	1	0	0	0	911.0320285	0.5	279.7159858
103	44.026452	412	1	1	0	0	0	911.0320285	0.5	279.5447117
104	44.450161	416	1	1	0	0	0	911.0320285	0.5	278.500669
105	44.874122	420	1	1	0	0	0	911.0320285	0.5	279.5082705
106	45.297913	424	1	1	0	0	0	911.0320285	0.5	279.6522135
107	45.721861	428	1	1	0	0	0	911.0320285	0.5	279.522847
108	46.145806	432	1	1	0	0	0	911.0320285	0.5	279.4062349
109	46.569489	436	1	1	0	0	0	911.0320285	0.5	279.892726
110	46.993025	440	1	1	0	0	0	911.0320285	0.5	280.7235872
111	47.417324	444	1	1	0	0	0	911.0320285	0.5	278.6355018
112	47.840448	448	1	1	0	0	0	911.0320285	0.5	279.6777224
