#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.011647	0	0	0	0	0	0	870.7482993	0.5	270.073034
1	0.740885	4	1	1	0	0	0	870.7482993	0.5	270.0608435
2	1.178484	8	1	1	0	0	0	870.7482993	0.5	270.5240816
3	1.615353	12	1	1	0	0	0	870.7482993	0.5	270.7051973
4	2.053811	16	1	1	0	0	0	870.7482993	0.5	271.6003265
5	2.490576	20	1	1	0	0	0	870.7482993	0.5	270.0085986
6	2.926172	24	1	1	0	0	0	870.7482993	0.5	270.3865034
7	3.36279	28	1	1	0	0	0	870.7482993	0.5	271.4731973
8	3.798433	32	1	1	0	0	0	870.7482993	0.5	270.598966
9	4.233471	36	1	1	0	0	0	870.7482993	0.5	270.6755918
10	4.669252	40	1	1	0	0	0	870.7482993	0.5	270.0173061
11	5.10468	44	1	1	0	0	0	870.7482993	0.5	270.6007075
12	5.540055	48	1	1	0	0	0	870.7482993	0.5	269.827483
13	5.975276	52	1	1	0	0	0	870.7482993	0.5	269.8431565
14	6.410824	56	1	1	0	0	0	870.7482993	0.5	270.3046531
15	6.846914	60	1	1	0	0	0	870.7482993	0.5	269.7700136
16	7.282837	64	1	1	0	0	0	870.7482993	0.5	270.9246259
17	7.718652	68	1	1	0	0	0	870.7482993	0.5	270.5101497
18	8.154829	72	1	1	0	0	0	870.7482993	0.5	270.6755918
19	8.590268	76	1	1	0	0	0	870.7482993	0.5	270.6442449
20	9.026347	80	1	1	0	0	0	870.7482993	0.5	270.1026395
21	9.464194	84	1	1	0	0	0	870.7482993	0.5	270.1078639
22	9.900354	88	1	1	0	0	0	870.7482993	0.5	272.131483
23	10.336532	92	1	1	0	0	0	870.7482993	0.5	270.2349932
24	10.771982	96	1	1	0	0	0	870.7482993	0.5	270.2645986
25	11.20786	100	1	1	0	0	0	870.7482993	0.5	271.6525714
26	11.644373	104	1	1	0	0	0	870.7482993	0.5	270.2872381
27	12.082952	108	1	1	0	0	0	870.7482993	0.5	269.3746939
28	12.518272	112	1	1	0	0	0	870.7482993	0.5	271.0186667
29	12.954243	116	1	1	0	0	0	870.7482993	0.5	270.3307755
30	13.38989	120	1	1	0	0	0	870.7482993	0.5	270.4265578
31	13.825756	124	1	1	0	0	0	870.7482993	0.5	270.5641361
32	14.261549	128	1	1	0	0	0	870.7482993	0.5	269.7264762
33	14.696542	132	1	1	0	0	0	870.7482993	0.5	269.799619
34	15.132022	136	1	1	0	0	0	870.7482993	0.5	270.4178503
35	15.567418	140	1	1	0	0	0	870.7482993	0.5	270.7069388
36	16.0033	144	1	1	0	0	0	870.7482993	0.5	270.5589116
37	16.439547	148	1	1	0	0	0	870.7482993	0.5	270.7905306
38	16.875216	152	1	1	0	0	0	870.7482993	0.5	269.8710204
39	17.31032	156	1	1	0	0	0	870.7482993	0.5	270.6372789
40	17.745694	160	1	1	0	0	0	870.7482993	0.5	270.4317823
41	18.181202	164	1	1	0	0	0	870.7482993	0.5	270.2419592
42	18.617041	168	1	1	0	0	0	870.7482993	0.5	270.1409524
43	19.05298	172	1	1	0	0	0	870.7482993	0.5	270.076517
