#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012083	0	0	0	0	0	0	890.4347826	0.5	297.4942609
1	0.712502	4	1	1	0	0	0	890.4347826	0.5	298.1959235
2	1.120579	8	1	1	0	0	0	890.4347826	0.5	297.8575583
3	1.528586	12	1	1	0	0	0	890.4347826	0.5	296.9956174
4	1.935241	16	1	1	0	0	0	890.4347826	0.5	296.5023165
5	2.341878	20	1	1	0	0	0	890.4347826	0.5	297.0169878
6	2.749453	24	1	1	0	0	0	890.4347826	0.5	297.8290643
7	3.15669	28	1	1	0	0	0	890.4347826	0.5	297.2289113
8	3.564458	32	1	1	0	0	0	890.4347826	0.5	297.3001461
9	3.971175	36	1	1	0	0	0	890.4347826	0.5	297.0757565
10	4.378108	40	1	1	0	0	0	890.4347826	0.5	297.7863235
11	4.785503	44	1	1	0	0	0	890.4347826	0.5	297.9359165
12	5.192078	48	1	1	0	0	0	890.4347826	0.5	296.96
13	5.599127	52	1	1	0	0	0	890.4347826	0.5	297.9109843
14	6.006059	56	1	1	0	0	0	890.4347826	0.5	297.7186504
15	6.412856	60	1	1	0	0	0	890.4347826	0.5	298.4701774
16	6.820893	64	1	1	0	0	0	890.4347826	0.5	297.957287
17	7.228076	68	1	1	0	0	0	890.4347826	0.5	297.9661913
18	7.634968	72	1	1	0	0	0	890.4347826	0.5	296.6839652
19	8.042049	76	1	1	0	0	0	890.4347826	0.5	296.4168348
20	8.449376	80	1	1	0	0	0	890.4347826	0.5	297.834407
21	8.856238	84	1	1	0	0	0	890.4347826	0.5	298.0908522
22	9.263389	88	1	1	0	0	0	890.4347826	0.5	297.7631722
23	9.670859	92	1	1	0	0	0	890.4347826	0.5	297.7756383
24	10.077661	96	1	1	0	0	0	890.4347826	0.5	298.2529113
25	10.484565	100	1	1	0	0	0	890.4347826	0.5	297.8842713
26	10.891528	104	1	1	0	0	0	890.4347826	0.5	297.5583722
27	11.298338	108	1	1	0	0	0	890.4347826	0.5	298.1015374
28	11.705986	112	1	1	0	0	0	890.4347826	0.5	297.2093217
29	12.113272	116	1	1	0	0	0	890.4347826	0.5	297.6509774
30	12.520193	120	1	1	0	0	0	890.4347826	0.5	298.7248417
31	12.92699	124	1	1	0	0	0	890.4347826	0.5	298.1033183
32	13.334892	128	1	1	0	0	0	890.4347826	0.5	297.4622052
33	13.741632	132	1	1	0	0	0	890.4347826	0.5	298.6785391
34	14.148255	136	1	1	0	0	0	890.4347826	0.5	296.8602713
35	14.555404	140	1	1	0	0	0	890.4347826	0.5	297.6545391
36	14.962513	144	1	1	0	0	0	890.4347826	0.5	298.0997565
37	15.369554	148	1	1	0	0	0	890.4347826	0.5	298.3045565
38	15.777631	152	1	1	0	0	0	890.4347826	0.5	298.8619687
39	16.184931	156	1	1	0	0	0	890.4347826	0.5	297.6937183
40	16.59167	160	1	1	0	0	0	890.4347826	0.5	297.5708383
41	16.999142	164	1	1	0	0	0	890.4347826	0.5	297.5726191
42	17.407481	168	1	1	0	0	0	890.4347826	0.5	297.69728
43	17.814611	172	1	1	0	0	0	890.4347826	0.5	296.7320487
44	18.221613	176	1	1	0	0	0	890.4347826	0.5	296.7872557
45	18.628562	180	1	1	0	0	0	890.4347826	0.5	296.3473809
46	19.035695	184	1	1	0	0	0	890.4347826	0.5	296.8958887
47	19.44341	188	1	1	0	0	0	890.4347826	0.5	297.32864
48	19.850439	192	1	1	0	0	0	890.4347826	0.5	298.4879861
49	20.258189	196	1	1	0	0	0	890.4347826	0.5	298.8138852
50	20.680217	200	1	1	0	0	0	890.4347826	0.5	297.5370017
51	21.086707	204	1	1	0	0	0	890.4347826	0.5	297.3660383
52	21.493471	208	1	1	0	0	0	890.4347826	0.5	297.8255026
53	21.900613	212	1	1	0	0	0	890.4347826	0.5	297.1113739
