#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.01208	0	0	0	0	0	0	870.7482993	0.5	264.5263673
1	0.768268	4	1	1	0	0	0	870.7482993	0.5	263.8854966
2	1.231998	8	1	1	0	0	0	870.7482993	0.5	264.5072109
3	1.695755	12	1	1	0	0	0	870.7482993	0.5	264.9478095
4	2.159273	16	1	1	0	0	0	870.7482993	0.5	265.2595374
5	2.623079	20	1	1	0	0	0	870.7482993	0.5	264.0108844
6	3.085664	24	1	1	0	0	0	870.7482993	0.5	265.0174694
7	3.549564	28	1	1	0	0	0	870.7482993	0.5	265.6827211
8	4.012794	32	1	1	0	0	0	870.7482993	0.5	264.4758639
9	4.475263	36	1	1	0	0	0	870.7482993	0.5	264.7405714
10	4.938378	40	1	1	0	0	0	870.7482993	0.5	264.6500136
11	5.401637	44	1	1	0	0	0	870.7482993	0.5	264.8851156
12	5.864657	48	1	1	0	0	0	870.7482993	0.5	263.8715646
13	6.327388	52	1	1	0	0	0	870.7482993	0.5	264.0700952
14	6.791165	56	1	1	0	0	0	870.7482993	0.5	264.3678912
15	7.253748	60	1	1	0	0	0	870.7482993	0.5	263.6416871
16	7.716157	64	1	1	0	0	0	870.7482993	0.5	264.8502857
17	8.17937	68	1	1	0	0	0	870.7482993	0.5	264.8572517
18	8.642337	72	1	1	0	0	0	870.7482993	0.5	265.3413878
19	9.105259	76	1	1	0	0	0	870.7482993	0.5	265.3588027
20	9.568717	80	1	1	0	0	0	870.7482993	0.5	264.0474558
21	10.031355	84	1	1	0	0	0	870.7482993	0.5	264.2459864
22	10.494646	88	1	1	0	0	0	870.7482993	0.5	266.4002177
23	10.95846	92	1	1	0	0	0	870.7482993	0.5	264.6413061
24	11.42147	96	1	1	0	0	0	870.7482993	0.5	264.5838367
25	11.88545	100	1	1	0	0	0	870.7482993	0.5	265.8290068
26	12.349316	104	1	1	0	0	0	870.7482993	0.5	265.0244354
27	12.812075	108	1	1	0	0	0	870.7482993	0.5	264.3765986
28	13.27473	112	1	1	0	0	0	870.7482993	0.5	264.9077551
29	13.738943	116	1	1	0	0	0	870.7482993	0.5	264.5211429
30	14.202308	120	1	1	0	0	0	870.7482993	0.5	264.5455238
31	14.665353	124	1	1	0	0	0	870.7482993	0.5	264.9721905
32	15.129002	128	1	1	0	0	0	870.7482993	0.5	264.0195918
33	15.591297	132	1	1	0	0	0	870.7482993	0.5	264.1467211
34	16.054211	136	1	1	0	0	0	870.7482993	0.5	265.0296599
35	16.517681	140	1	1	0	0	0	870.7482993	0.5	264.434068
36	16.980352	144	1	1	0	0	0	870.7482993	0.5	264.5072109
37	17.443188	148	1	1	0	0	0	870.7482993	0.5	265.0122449
38	17.906645	152	1	1	0	0	0	870.7482993	0.5	264.1867755
