#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012629	0	0	0	0	0	0	870.7482993	0.5	277.1870476
1	0.71033	4	1	1	0	0	0	870.7482993	0.5	277.9411156
2	1.116715	8	1	1	0	0	0	870.7482993	0.5	277.4360816
3	1.523225	12	1	1	0	0	0	870.7482993	0.5	276.5113469
4	1.928317	16	1	1	0	0	0	870.7482993	0.5	276.1525986
5	2.333235	20	1	1	0	0	0	870.7482993	0.5	276.5130884
6	2.738718	24	1	1	0	0	0	870.7482993	0.5	277.1905306
7	3.143884	28	1	1	0	0	0	870.7482993	0.5	276.6802721
8	3.550189	32	1	1	0	0	0	870.7482993	0.5	276.8735782
9	3.955306	36	1	1	0	0	0	870.7482993	0.5	276.5426939
10	4.360351	40	1	1	0	0	0	870.7482993	0.5	277.1173878
11	4.766007	44	1	1	0	0	0	870.7482993	0.5	277.483102
12	5.171106	48	1	1	0	0	0	870.7482993	0.5	276.4068571
13	5.576382	52	1	1	0	0	0	870.7482993	0.5	277.4552381
14	5.981492	56	1	1	0	0	0	870.7482993	0.5	277.2149116
15	6.387539	60	1	1	0	0	0	870.7482993	0.5	277.9776871
16	6.793207	64	1	1	0	0	0	870.7482993	0.5	277.1435102
17	7.198489	68	1	1	0	0	0	870.7482993	0.5	277.2114286
18	7.603984	72	1	1	0	0	0	870.7482993	0.5	275.9244626
19	8.008875	76	1	1	0	0	0	870.7482993	0.5	275.8809252
20	8.414004	80	1	1	0	0	0	870.7482993	0.5	277.3368163
21	8.819698	84	1	1	0	0	0	870.7482993	0.5	277.3437823
22	9.224877	88	1	1	0	0	0	870.7482993	0.5	277.4413061
23	9.630197	92	1	1	0	0	0	870.7482993	0.5	277.2845714
24	10.036088	96	1	1	0	0	0	870.7482993	0.5	277.739102
25	10.44203	100	1	1	0	0	0	870.7482993	0.5	277.4151837
26	10.84717	104	1	1	0	0	0	870.7482993	0.5	276.974585
27	11.252516	108	1	1	0	0	0	870.7482993	0.5	277.4413061
28	11.659213	112	1	1	0	0	0	870.7482993	0.5	276.8718367
29	12.064767	116	1	1	0	0	0	870.7482993	0.5	277.2096871
30	12.470792	120	1	1	0	0	0	870.7482993	0.5	278.5401905
31	12.876342	124	1	1	0	0	0	870.7482993	0.5	277.6833741
32	13.28272	128	1	1	0	0	0	870.7482993	0.5	277.2358095
33	13.687955	132	1	1	0	0	0	870.7482993	0.5	278.1361633
34	14.093165	136	1	1	0	0	0	870.7482993	0.5	276.2797279
35	14.498857	140	1	1	0	0	0	870.7482993	0.5	277.1591837
36	14.904168	144	1	1	0	0	0	870.7482993	0.5	277.500517
37	15.309937	148	1	1	0	0	0	870.7482993	0.5	277.6711837
38	15.716291	152	1	1	0	0	0	870.7482993	0.5	278.3294694
