#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012535	0	0	0	0	0	0	853.3333333	0.5	254.0936533
1	0.751179	4	1	1	0	0	0	853.3333333	0.5	253.9502933
2	1.191566	8	1	1	0	0	0	853.3333333	0.5	254.36672
3	1.630265	12	1	1	0	0	0	853.3333333	0.5	254.3837867
4	2.06838	16	1	1	0	0	0	853.3333333	0.5	255.2968533
5	2.506895	20	1	1	0	0	0	853.3333333	0.5	253.8530133
6	2.944901	24	1	1	0	0	0	853.3333333	0.5	254.5322667
7	3.385132	28	1	1	0	0	0	853.3333333	0.5	255.3019733
8	3.823344	32	1	1	0	0	0	853.3333333	0.5	254.3701333
9	4.261591	36	1	1	0	0	0	853.3333333	0.5	254.8309333
10	4.699975	40	1	1	0	0	0	853.3333333	0.5	253.9042133
11	5.138371	44	1	1	0	0	0	853.3333333	0.5	254.4008533
12	5.576672	48	1	1	0	0	0	853.3333333	0.5	254.09024
13	6.014874	52	1	1	0	0	0	853.3333333	0.5	253.79328
14	6.453346	56	1	1	0	0	0	853.3333333	0.5	253.7147733
15	6.891832	60	1	1	0	0	0	853.3333333	0.5	253.7489067
16	7.329774	64	1	1	0	0	0	853.3333333	0.5	254.82752
17	7.77225	68	1	1	0	0	0	853.3333333	0.5	254.208
18	8.210661	72	1	1	0	0	0	853.3333333	0.5	254.4827733
19	8.64844	76	1	1	0	0	0	853.3333333	0.5	254.1397333
20	9.086956	80	1	1	0	0	0	853.3333333	0.5	254.0288
21	9.525763	84	1	1	0	0	0	853.3333333	0.5	254.14144
22	9.963996	88	1	1	0	0	0	853.3333333	0.5	255.8225067
23	10.402651	92	1	1	0	0	0	853.3333333	0.5	253.9195733
24	10.840519	96	1	1	0	0	0	853.3333333	0.5	254.2728533
25	11.27881	100	1	1	0	0	0	853.3333333	0.5	255.4760533
26	11.718018	104	1	1	0	0	0	853.3333333	0.5	254.4418133
27	12.156679	108	1	1	0	0	0	853.3333333	0.5	253.8120533
28	12.594621	112	1	1	0	0	0	853.3333333	0.5	254.8992
29	13.03316	116	1	1	0	0	0	853.3333333	0.5	254.5134933
30	13.472095	120	1	1	0	0	0	853.3333333	0.5	253.89568
31	13.910065	124	1	1	0	0	0	853.3333333	0.5	254.3701333
32	14.348713	128	1	1	0	0	0	853.3333333	0.5	253.63456
33	14.786695	132	1	1	0	0	0	853.3333333	0.5	253.6311467
34	15.225141	136	1	1	0	0	0	853.3333333	0.5	254.3018667
35	15.663117	140	1	1	0	0	0	853.3333333	0.5	254.4913067
36	16.101696	144	1	1	0	0	0	853.3333333	0.5	254.3325867
37	16.5406	148	1	1	0	0	0	853.3333333	0.5	254.7387733
38	16.979178	152	1	1	0	0	0	853.3333333	0.5	253.77792
39	17.417227	156	1	1	0	0	0	853.3333333	0.5	254.74048
40	17.855447	160	1	1	0	0	0	853.3333333	0.5	254.12608
41	18.293667	164	1	1	0	0	0	853.3333333	0.5	254.1175467
42	18.732488	168	1	1	0	0	0	853.3333333	0.5	254.1056
43	19.170941	172	1	1	0	0	0	853.3333333	0.5	253.97248
44	19.608957	176	1	1	0	0	0	853.3333333	0.5	253.9912533
45	20.047785	180	1	1	0	0	0	853.3333333	0.5	255.4231467
46	20.486265	184	1	1	0	0	0	853.3333333	0.5	254.09536
47	20.924504	188	1	1	0	0	0	853.3333333	0.5	253.9776
48	21.363071	192	1	1	0	0	0	853.3333333	0.5	254.0288
49	21.801081	196	1	1	0	0	0	853.3333333	0.5	254.4503467
50	22.23927	200	1	1	0	0	0	853.3333333	0.5	254.0612267
51	22.678406	204	1	1	0	0	0	853.3333333	0.5	254.1806933
52	23.116878	208	1	1	0	0	0	853.3333333	0.5	254.1841067
53	23.555469	212	1	1	0	0	0	853.3333333	0.5	254.1312
54	23.993837	216	1	1	0	0	0	853.3333333	0.5	254.5544533
55	24.432287	220	1	1	0	0	0	853.3333333	0.5	254.0987733
56	24.870277	224	1	1	0	0	0	853.3333333	0.5	254.72512
57	25.308447	228	1	1	0	0	0	853.3333333	0.5	253.7710933
58	25.746732	232	1	1	0	0	0	853.3333333	0.5	254.1312
59	26.185149	236	1	1	0	0	0	853.3333333	0.5	256.2542933
60	26.623891	240	1	1	0	0	0	853.3333333	0.5	254.0612267
61	27.062191	244	1	1	0	0	0	853.3333333	0.5	253.2795733
62	27.500172	248	1	1	0	0	0	853.3333333	0.5	255.00672
63	27.938836	252	1	1	0	0	0	853.3333333	0.5	254.8701867
64	28.376974	256	1	1	0	0	0	853.3333333	0.5	254.6414933
65	28.815707	260	1	1	0	0	0	853.3333333	0.5	254.9521067
66	29.255075	264	1	1	0	0	0	853.3333333	0.5	254.1653333
