#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012948	0	0	0	0	0	0	890.4347826	0.5	288.2942887
1	0.746879	4	1	1	0	0	0	890.4347826	0.5	288.2105878
2	1.188846	8	1	1	0	0	0	890.4347826	0.5	288.9193739
3	1.629952	12	1	1	0	0	0	890.4347826	0.5	289.2310261
4	2.070537	16	1	1	0	0	0	890.4347826	0.5	289.6477496
5	2.51492	20	1	1	0	0	0	890.4347826	0.5	287.8633183
6	2.955299	24	1	1	0	0	0	890.4347826	0.5	288.7804661
7	3.397227	28	1	1	0	0	0	890.4347826	0.5	289.8240557
8	3.838419	32	1	1	0	0	0	890.4347826	0.5	288.9104696
9	4.279323	36	1	1	0	0	0	890.4347826	0.5	288.7021078
10	4.719765	40	1	1	0	0	0	890.4347826	0.5	288.2123687
11	5.160501	44	1	1	0	0	0	890.4347826	0.5	289.0493774
12	5.601396	48	1	1	0	0	0	890.4347826	0.5	288.1553809
13	6.042425	52	1	1	0	0	0	890.4347826	0.5	287.9737322
14	6.482971	56	1	1	0	0	0	890.4347826	0.5	288.6469009
15	6.924184	60	1	1	0	0	0	890.4347826	0.5	287.8277009
16	7.365223	64	1	1	0	0	0	890.4347826	0.5	289.150887
17	7.805799	68	1	1	0	0	0	890.4347826	0.5	288.8944417
18	8.247656	72	1	1	0	0	0	890.4347826	0.5	289.1277357
19	8.690848	76	1	1	0	0	0	890.4347826	0.5	288.9977322
20	9.132209	80	1	1	0	0	0	890.4347826	0.5	288.2373009
21	9.572205	84	1	1	0	0	0	890.4347826	0.5	288.3085357
22	10.013035	88	1	1	0	0	0	890.4347826	0.5	290.77504
23	10.454063	92	1	1	0	0	0	890.4347826	0.5	288.426073
24	10.894676	96	1	1	0	0	0	890.4347826	0.5	288.6896417
25	11.335883	100	1	1	0	0	0	890.4347826	0.5	289.8383026
26	11.777787	104	1	1	0	0	0	890.4347826	0.5	288.8481391
27	12.219154	108	1	1	0	0	0	890.4347826	0.5	288.3049739
28	12.661867	112	1	1	0	0	0	890.4347826	0.5	289.1847235
29	13.102964	116	1	1	0	0	0	890.4347826	0.5	288.6255304
30	13.544693	120	1	1	0	0	0	890.4347826	0.5	288.5258017
31	13.985238	124	1	1	0	0	0	890.4347826	0.5	288.9674574
32	14.426115	128	1	1	0	0	0	890.4347826	0.5	287.8686609
33	14.86615	132	1	1	0	0	0	890.4347826	0.5	287.9523617
34	15.306954	136	1	1	0	0	0	890.4347826	0.5	288.8855374
35	15.747531	140	1	1	0	0	0	890.4347826	0.5	288.6130643
36	16.18797	144	1	1	0	0	0	890.4347826	0.5	288.6362157
37	16.628864	148	1	1	0	0	0	890.4347826	0.5	289.0101983
38	17.070486	152	1	1	0	0	0	890.4347826	0.5	287.9559235
39	17.510835	156	1	1	0	0	0	890.4347826	0.5	289.21856
40	17.951283	160	1	1	0	0	0	890.4347826	0.5	288.577447
41	18.392922	164	1	1	0	0	0	890.4347826	0.5	288.618407
42	18.833929	168	1	1	0	0	0	890.4347826	0.5	288.7252591
43	19.274263	172	1	1	0	0	0	890.4347826	0.5	288.3922365
44	19.715285	176	1	1	0	0	0	890.4347826	0.5	288.5614191
45	20.157217	180	1	1	0	0	0	890.4347826	0.5	289.7528209
46	20.598462	184	1	1	0	0	0	890.4347826	0.5	288.3637426
47	21.03977	188	1	1	0	0	0	890.4347826	0.5	288.4207304
48	21.480813	192	1	1	0	0	0	890.4347826	0.5	288.4171687
49	21.920968	196	1	1	0	0	0	890.4347826	0.5	288.7092313
50	22.365448	200	1	1	0	0	0	890.4347826	0.5	288.5062122
51	22.80612	204	1	1	0	0	0	890.4347826	0.5	288.7662191
