#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.01179	0	0	0	0	0	0	930.9090909	0.5	339.5900509
1	0.716606	4	1	1	0	0	0	930.9090909	0.5	340.1020509
2	1.123972	8	1	1	0	0	0	930.9090909	0.5	340.2491345
3	1.531457	12	1	1	0	0	0	930.9090909	0.5	339.8674618
4	1.939521	16	1	1	0	0	0	930.9090909	0.5	341.8000291
5	2.347873	20	1	1	0	0	0	930.9090909	0.5	339.4224873
6	2.75519	24	1	1	0	0	0	930.9090909	0.5	340.2919564
7	3.163357	28	1	1	0	0	0	930.9090909	0.5	339.7892655
8	3.570069	32	1	1	0	0	0	930.9090909	0.5	340.0015127
9	3.977344	36	1	1	0	0	0	930.9090909	0.5	340.0741236
10	4.385679	40	1	1	0	0	0	930.9090909	0.5	339.7092073
11	4.794838	44	1	1	0	0	0	930.9090909	0.5	339.9028364
12	5.202411	48	1	1	0	0	0	930.9090909	0.5	340.3869091
13	5.610127	52	1	1	0	0	0	930.9090909	0.5	339.5286109
14	6.016921	56	1	1	0	0	0	930.9090909	0.5	339.5714327
15	6.424598	60	1	1	0	0	0	930.9090909	0.5	339.8265018
16	6.831497	64	1	1	0	0	0	930.9090909	0.5	339.968
17	7.238726	68	1	1	0	0	0	930.9090909	0.5	340.00896
18	7.646211	72	1	1	0	0	0	930.9090909	0.5	339.9158691
19	8.053105	76	1	1	0	0	0	930.9090909	0.5	339.5044073
20	8.460378	80	1	1	0	0	0	930.9090909	0.5	339.4615855
21	8.867744	84	1	1	0	0	0	930.9090909	0.5	338.9384145
22	9.274737	88	1	1	0	0	0	930.9090909	0.5	341.52448
23	9.682068	92	1	1	0	0	0	930.9090909	0.5	339.8953891
24	10.089507	96	1	1	0	0	0	930.9090909	0.5	339.8469818
25	10.496984	100	1	1	0	0	0	930.9090909	0.5	340.6066036
26	10.905121	104	1	1	0	0	0	930.9090909	0.5	340.2696145
27	11.312985	108	1	1	0	0	0	930.9090909	0.5	339.4317964
28	11.720217	112	1	1	0	0	0	930.9090909	0.5	340.9361455
29	12.127583	116	1	1	0	0	0	930.9090909	0.5	340.09088
30	12.535759	120	1	1	0	0	0	930.9090909	0.5	339.2195491
31	12.942739	124	1	1	0	0	0	930.9090909	0.5	339.9512436
32	13.350496	128	1	1	0	0	0	930.9090909	0.5	339.02592
33	13.758096	132	1	1	0	0	0	930.9090909	0.5	339.5230255
34	14.165338	136	1	1	0	0	0	930.9090909	0.5	339.5416436
35	14.574925	140	1	1	0	0	0	930.9090909	0.5	339.2456145
36	14.982157	144	1	1	0	0	0	930.9090909	0.5	339.4466909
37	15.389481	148	1	1	0	0	0	930.9090909	0.5	340.3757382
38	15.796931	152	1	1	0	0	0	930.9090909	0.5	339.7464436
39	16.204064	156	1	1	0	0	0	930.9090909	0.5	341.27872
