#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.016232	0	0	0	0	0	0	870.7482993	0.5	265.707102
1	0.76067	4	1	1	0	0	0	870.7482993	0.5	265.5434014
2	1.211535	8	1	1	0	0	0	870.7482993	0.5	266.0066395
3	1.661613	12	1	1	0	0	0	870.7482993	0.5	266.6440272
4	2.112164	16	1	1	0	0	0	870.7482993	0.5	266.7049796
5	2.5642	20	1	1	0	0	0	870.7482993	0.5	265.5225034
6	3.013971	24	1	1	0	0	0	870.7482993	0.5	266.2713469
7	3.464798	28	1	1	0	0	0	870.7482993	0.5	267.2204626
8	3.915743	32	1	1	0	0	0	870.7482993	0.5	265.8725442
9	4.366094	36	1	1	0	0	0	870.7482993	0.5	266.0832653
10	4.816123	40	1	1	0	0	0	870.7482993	0.5	265.9578776
11	5.266069	44	1	1	0	0	0	870.7482993	0.5	266.2678639
12	5.717019	48	1	1	0	0	0	870.7482993	0.5	265.4598095
13	6.167203	52	1	1	0	0	0	870.7482993	0.5	265.4058231
14	6.617269	56	1	1	0	0	0	870.7482993	0.5	265.6966531
15	7.067249	60	1	1	0	0	0	870.7482993	0.5	265.3117823
16	7.517774	64	1	1	0	0	0	870.7482993	0.5	266.4872925
17	7.968418	68	1	1	0	0	0	870.7482993	0.5	266.1511837
18	8.419115	72	1	1	0	0	0	870.7482993	0.5	266.6126803
19	8.869739	76	1	1	0	0	0	870.7482993	0.5	266.6266122
20	9.320163	80	1	1	0	0	0	870.7482993	0.5	265.6931701
21	9.770302	84	1	1	0	0	0	870.7482993	0.5	265.5747483
22	10.2212	88	1	1	0	0	0	870.7482993	0.5	267.9275102
23	10.672809	92	1	1	0	0	0	870.7482993	0.5	265.8499048
24	11.122581	96	1	1	0	0	0	870.7482993	0.5	265.8255238
25	11.572793	100	1	1	0	0	0	870.7482993	0.5	267.3441088
26	12.023857	104	1	1	0	0	0	870.7482993	0.5	266.0136054
27	12.473867	108	1	1	0	0	0	870.7482993	0.5	265.6078367
28	12.923574	112	1	1	0	0	0	870.7482993	0.5	266.6231293
29	13.374473	116	1	1	0	0	0	870.7482993	0.5	266.0989388
30	13.824837	120	1	1	0	0	0	870.7482993	0.5	265.977034
31	14.274807	124	1	1	0	0	0	870.7482993	0.5	266.4245986
32	14.725456	128	1	1	0	0	0	870.7482993	0.5	265.5137959
33	15.175789	132	1	1	0	0	0	870.7482993	0.5	265.4528435
34	15.625713	136	1	1	0	0	0	870.7482993	0.5	266.4124082
35	16.076019	140	1	1	0	0	0	870.7482993	0.5	265.8011429
36	16.5262	144	1	1	0	0	0	870.7482993	0.5	265.973551
37	16.97629	148	1	1	0	0	0	870.7482993	0.5	266.5290884
38	17.427189	152	1	1	0	0	0	870.7482993	0.5	265.454585
39	17.877169	156	1	1	0	0	0	870.7482993	0.5	266.5761088
40	18.328001	160	1	1	0	0	0	870.7482993	0.5	266.2051701
41	18.779201	164	1	1	0	0	0	870.7482993	0.5	266.1006803
42	19.22954	168	1	1	0	0	0	870.7482993	0.5	266.1268027
43	19.679511	172	1	1	0	0	0	870.7482993	0.5	265.9143401
44	20.129596	176	1	1	0	0	0	870.7482993	0.5	265.7645714
45	20.579625	180	1	1	0	0	0	870.7482993	0.5	266.6231293
46	21.029991	184	1	1	0	0	0	870.7482993	0.5	265.8812517
47	21.481294	188	1	1	0	0	0	870.7482993	0.5	265.9543946
48	21.931156	192	1	1	0	0	0	870.7482993	0.5	265.5869388
49	22.381076	196	1	1	0	0	0	870.7482993	0.5	265.9317551
50	22.831463	200	1	1	0	0	0	870.7482993	0.5	265.8812517
51	23.28172	204	1	1	0	0	0	870.7482993	0.5	266.0327619
52	23.732292	208	1	1	0	0	0	870.7482993	0.5	265.8864762
53	24.18356	212	1	1	0	0	0	870.7482993	0.5	265.8986667
54	24.633412	216	1	1	0	0	0	870.7482993	0.5	266.3305578
55	25.083658	220	1	1	0	0	0	870.7482993	0.5	265.9004082
56	25.534787	224	1	1	0	0	0	870.7482993	0.5	266.5412789
57	25.985609	228	1	1	0	0	0	870.7482993	0.5	266.1720816
58	26.43614	232	1	1	0	0	0	870.7482993	0.5	266.4472381
59	26.887122	236	1	1	0	0	0	870.7482993	0.5	267.6837007
60	27.338022	240	1	1	0	0	0	870.7482993	0.5	266.3514558
61	27.788483	244	1	1	0	0	0	870.7482993	0.5	265.2995918
62	28.238739	248	1	1	0	0	0	870.7482993	0.5	267.1856327
63	28.688981	252	1	1	0	0	0	870.7482993	0.5	266.4350476
64	29.138821	256	1	1	0	0	0	870.7482993	0.5	266.7136871
65	29.589034	260	1	1	0	0	0	870.7482993	0.5	266.4019592
66	30.039425	264	1	1	0	0	0	870.7482993	0.5	266.0884898
67	30.489175	268	1	1	0	0	0	870.7482993	0.5	265.3588027
68	30.938923	272	1	1	0	0	0	870.7482993	0.5	265.710585
69	31.389539	276	1	1	0	0	0	870.7482993	0.5	265.1393741
70	31.839947	280	1	1	0	0	0	870.7482993	0.5	265.4093061
71	32.290958	284	1	1	0	0	0	870.7482993	0.5	266.1180952
72	32.741641	288	1	1	0	0	0	870.7482993	0.5	265.6235102
73	33.191824	292	1	1	0	0	0	870.7482993	0.5	266.0031565
74	33.642068	296	1	1	0	0	0	870.7482993	0.5	266.229551
75	34.092326	300	1	1	0	0	0	870.7482993	0.5	265.1237007
76	34.543374	304	1	1	0	0	0	870.7482993	0.5	265.8464218
77	34.993752	308	1	1	0	0	0	870.7482993	0.5	266.4176327
78	35.443755	312	1	1	0	0	0	870.7482993	0.5	266.3932517
79	35.894739	316	1	1	0	0	0	870.7482993	0.5	265.9996735
80	36.344921	320	1	1	0	0	0	870.7482993	0.5	266.5012245
81	36.795765	324	1	1	0	0	0	870.7482993	0.5	267.0794014
82	37.246605	328	1	1	0	0	0	870.7482993	0.5	265.9439456
83	37.696471	332	1	1	0	0	0	870.7482993	0.5	266.1529252
84	38.146523	336	1	1	0	0	0	870.7482993	0.5	265.8359728
85	38.59725	340	1	1	0	0	0	870.7482993	0.5	266.2974694
86	39.047366	344	1	1	0	0	0	870.7482993	0.5	265.8882177
87	39.497622	348	1	1	0	0	0	870.7482993	0.5	266.1581497
88	39.947521	352	1	1	0	0	0	870.7482993	0.5	265.3431293
89	40.397781	356	1	1	0	0	0	870.7482993	0.5	265.461551
90	40.847112	360	1	1	0	0	0	870.7482993	0.5	266.1720816
91	41.297413	364	1	1	0	0	0	870.7482993	0.5	266.5882993
92	41.747572	368	1	1	0	0	0	870.7482993	0.5	266.4263401
93	42.19814	372	1	1	0	0	0	870.7482993	0.5	266.762449
94	42.648392	376	1	1	0	0	0	870.7482993	0.5	266.6875646
95	43.099382	380	1	1	0	0	0	870.7482993	0.5	265.3901497
96	43.549182	384	1	1	0	0	0	870.7482993	0.5	266.475102
97	43.999516	388	1	1	0	0	0	870.7482993	0.5	266.4872925
98	44.450005	392	1	1	0	0	0	870.7482993	0.5	265.9683265
99	44.900388	396	1	1	0	0	0	870.7482993	0.5	267.1264218
100	45.366886	400	1	1	0	0	0	870.7482993	0.5	233.7610884
101	45.814804	404	1	1	0	0	0	870.7482993	0.5	233.973551
102	46.262711	408	1	1	0	0	0	870.7482993	0.5	232.9983129
103	46.709679	412	1	1	0	0	0	870.7482993	0.5	234.4489796
104	47.157849	416	1	1	0	0	0	870.7482993	0.5	234.0501769
105	47.606146	420	1	1	0	0	0	870.7482993	0.5	233.9526531
106	48.053512	424	1	1	0	0	0	870.7482993	0.5	234.1703401
107	48.501391	428	1	1	0	0	0	870.7482993	0.5	234.5882993
108	48.949636	432	1	1	0	0	0	870.7482993	0.5	233.9422041
109	49.396892	436	1	1	0	0	0	870.7482993	0.5	234.1720816
110	49.844576	440	1	1	0	0	0	870.7482993	0.5	234.0240544
111	50.292577	444	1	1	0	0	0	870.7482993	0.5	233.6339592
112	50.740379	448	1	1	0	0	0	870.7482993	0.5	234.1442177
113	51.188858	452	1	1	0	0	0	870.7482993	0.5	232.9826395
114	51.636181	456	1	1	0	0	0	870.7482993	0.5	233.4058231
115	52.084078	460	1	1	0	0	0	870.7482993	0.5	234.5917823
116	52.532861	464	1	1	0	0	0	870.7482993	0.5	233.9996735
117	52.981413	468	1	1	0	0	0	870.7482993	0.5	233.7715374
118	53.428937	472	1	1	0	0	0	870.7482993	0.5	234.0188299
119	53.876465	476	1	1	0	0	0	870.7482993	0.5	233.9091156
120	54.324395	480	1	1	0	0	0	870.7482993	0.5	234.3288163
121	54.772189	484	1	1	0	0	0	870.7482993	0.5	233.3744762
122	55.219485	488	1	1	0	0	0	870.7482993	0.5	233.6304762
123	55.667485	492	1	1	0	0	0	870.7482993	0.5	233.8725442
124	56.115421	496	1	1	0	0	0	870.7482993	0.5	234.0136054
125	56.563119	500	1	1	0	0	0	870.7482993	0.5	233.0209524
126	57.011005	504	1	1	0	0	0	870.7482993	0.5	234.3201088
127	57.45889	508	1	1	0	0	0	870.7482993	0.5	233.7471565
128	57.906473	512	1	1	0	0	0	870.7482993	0.5	233.7123265
129	58.354168	516	1	1	0	0	0	870.7482993	0.5	233.4284626
130	58.802008	520	1	1	0	0	0	870.7482993	0.5	233.2072925
131	59.248818	524	1	1	0	0	0	870.7482993	0.5	234.3828027
132	59.696521	528	1	1	0	0	0	870.7482993	0.5	234.4524626
133	60.144423	532	1	1	0	0	0	870.7482993	0.5	233.9300136
134	60.592465	536	1	1	0	0	0	870.7482993	0.5	233.6252517
135	61.040929	540	1	1	0	0	0	870.7482993	0.5	233.5677823
136	61.489329	544	1	1	0	0	0	870.7482993	0.5	233.0575238
137	61.93691	548	1	1	0	0	0	870.7482993	0.5	234.7920544
138	62.385917	552	1	1	0	0	0	870.7482993	0.5	234.8512653
139	62.834017	556	1	1	0	0	0	870.7482993	0.5	233.485932
140	63.281388	560	1	1	0	0	0	870.7482993	0.5	234.2817959
141	63.729759	564	1	1	0	0	0	870.7482993	0.5	234.8530068
142	64.177612	568	1	1	0	0	0	870.7482993	0.5	233.9857415
143	64.625401	572	1	1	0	0	0	870.7482993	0.5	233.0627483
144	65.07286	576	1	1	0	0	0	870.7482993	0.5	234.8338503
145	65.520713	580	1	1	0	0	0	870.7482993	0.5	233.6287347
146	65.967781	584	1	1	0	0	0	870.7482993	0.5	234.8442993
147	66.41605	588	1	1	0	0	0	870.7482993	0.5	233.9195646
148	66.86334	592	1	1	0	0	0	870.7482993	0.5	233.984
149	67.311308	596	1	1	0	0	0	870.7482993	0.5	233.8028844
150	67.759084	600	1	1	0	0	0	870.7482993	0.5	234.0031565
151	68.206913	604	1	1	0	0	0	870.7482993	0.5	234.1825306
152	68.654114	608	1	1	0	0	0	870.7482993	0.5	234.1825306
153	69.101808	612	1	1	0	0	0	870.7482993	0.5	233.229932
154	69.548958	616	1	1	0	0	0	870.7482993	0.5	233.8377143
155	69.996468	620	1	1	0	0	0	870.7482993	0.5	233.977034
156	70.444249	624	1	1	0	0	0	870.7482993	0.5	234.7032381
157	70.892172	628	1	1	0	0	0	870.7482993	0.5	233.5399184
158	71.339713	632	1	1	0	0	0	870.7482993	0.5	234.5743673
159	71.787474	636	1	1	0	0	0	870.7482993	0.5	234.0519184
