#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012587	0	0	0	0	0	0	911.0320285	0.5	319.7321566
1	0.714712	4	1	1	0	0	0	911.0320285	0.5	319.941694
2	1.12458	8	1	1	0	0	0	911.0320285	0.5	320.2150036
3	1.534211	12	1	1	0	0	0	911.0320285	0.5	319.9580925
4	1.943245	16	1	1	0	0	0	911.0320285	0.5	322.0261352
5	2.352767	20	1	1	0	0	0	911.0320285	0.5	319.688427
6	2.762259	24	1	1	0	0	0	911.0320285	0.5	320.2058932
7	3.171209	28	1	1	0	0	0	911.0320285	0.5	320.0637722
8	3.582974	32	1	1	0	0	0	911.0320285	0.5	320.3644128
9	3.991113	36	1	1	0	0	0	911.0320285	0.5	320.0054662
10	4.399664	40	1	1	0	0	0	911.0320285	0.5	320.0655943
11	4.807903	44	1	1	0	0	0	911.0320285	0.5	320.0382633
12	5.216956	48	1	1	0	0	0	911.0320285	0.5	320.4482278
13	5.626778	52	1	1	0	0	0	911.0320285	0.5	319.6647402
14	6.035234	56	1	1	0	0	0	911.0320285	0.5	319.4114733
15	6.443408	60	1	1	0	0	0	911.0320285	0.5	319.9635587
16	6.853592	64	1	1	0	0	0	911.0320285	0.5	320.3717011
17	7.262605	68	1	1	0	0	0	911.0320285	0.5	320.1093238
18	7.671397	72	1	1	0	0	0	911.0320285	0.5	320.200427
19	8.079746	76	1	1	0	0	0	911.0320285	0.5	319.657452
20	8.489089	80	1	1	0	0	0	911.0320285	0.5	319.3568114
21	8.897461	84	1	1	0	0	0	911.0320285	0.5	319.1527402
22	9.305768	88	1	1	0	0	0	911.0320285	0.5	321.7036299
23	9.714786	92	1	1	0	0	0	911.0320285	0.5	320.1967829
24	10.12343	96	1	1	0	0	0	911.0320285	0.5	320.1913167
25	10.532019	100	1	1	0	0	0	911.0320285	0.5	320.9620498
26	10.941068	104	1	1	0	0	0	911.0320285	0.5	320.4391174
27	11.350061	108	1	1	0	0	0	911.0320285	0.5	319.5882135
28	11.759117	112	1	1	0	0	0	911.0320285	0.5	320.9729822
29	12.168444	116	1	1	0	0	0	911.0320285	0.5	320.0692384
30	12.577645	120	1	1	0	0	0	911.0320285	0.5	319.4224057
31	12.98608	124	1	1	0	0	0	911.0320285	0.5	320.1075018
32	13.397512	128	1	1	0	0	0	911.0320285	0.5	319.0561708
33	13.805488	132	1	1	0	0	0	911.0320285	0.5	319.6610961
34	14.213764	136	1	1	0	0	0	911.0320285	0.5	319.7102918
35	14.622497	140	1	1	0	0	0	911.0320285	0.5	319.5335516
36	15.031478	144	1	1	0	0	0	911.0320285	0.5	319.7631317
37	15.440318	148	1	1	0	0	0	911.0320285	0.5	320.3097509
38	15.849413	152	1	1	0	0	0	911.0320285	0.5	320.0364413
39	16.257892	156	1	1	0	0	0	911.0320285	0.5	321.5268897
40	16.680984	160	1	1	0	0	0	911.0320285	0.5	319.4661352
41	17.089567	164	1	1	0	0	0	911.0320285	0.5	319.9016085
42	17.49801	168	1	1	0	0	0	911.0320285	0.5	319.9817794
43	17.906573	172	1	1	0	0	0	911.0320285	0.5	319.4114733
44	18.315076	176	1	1	0	0	0	911.0320285	0.5	319.8269039
45	18.723937	180	1	1	0	0	0	911.0320285	0.5	320.9584057
46	19.132713	184	1	1	0	0	0	911.0320285	0.5	320.9693381
47	19.541874	188	1	1	0	0	0	911.0320285	0.5	319.2001139
48	19.950986	192	1	1	0	0	0	911.0320285	0.5	319.6392313
49	20.359646	196	1	1	0	0	0	911.0320285	0.5	320.3316157
50	20.767858	200	1	1	0	0	0	911.0320285	0.5	320.6778078
51	21.176435	204	1	1	0	0	0	911.0320285	0.5	320.3553025
52	21.585431	208	1	1	0	0	0	911.0320285	0.5	320.3717011
53	21.99475	212	1	1	0	0	0	911.0320285	0.5	319.3859644
54	22.403321	216	1	1	0	0	0	911.0320285	0.5	320.7452242
55	22.81232	220	1	1	0	0	0	911.0320285	0.5	319.7339786
56	23.220996	224	1	1	0	0	0	911.0320285	0.5	319.6774947
57	23.631709	228	1	1	0	0	0	911.0320285	0.5	318.2817936
58	24.03959	232	1	1	0	0	0	911.0320285	0.5	319.488
59	24.448136	236	1	1	0	0	0	911.0320285	0.5	322.0133808
60	24.857322	240	1	1	0	0	0	911.0320285	0.5	319.7704199
61	25.266353	244	1	1	0	0	0	911.0320285	0.5	319.659274
62	25.675404	248	1	1	0	0	0	911.0320285	0.5	320.9492954
63	26.084737	252	1	1	0	0	0	911.0320285	0.5	320.6359004
64	26.493322	256	1	1	0	0	0	911.0320285	0.5	320.5830605
65	26.902343	260	1	1	0	0	0	911.0320285	0.5	320.994847
66	27.311571	264	1	1	0	0	0	911.0320285	0.5	319.8597011
67	27.719813	268	1	1	0	0	0	911.0320285	0.5	319.5973238
68	28.128066	272	1	1	0	0	0	911.0320285	0.5	320.5466192
69	28.53701	276	1	1	0	0	0	911.0320285	0.5	318.7081566
70	28.945379	280	1	1	0	0	0	911.0320285	0.5	320.1457651
71	29.35444	284	1	1	0	0	0	911.0320285	0.5	319.9307616
72	29.763575	288	1	1	0	0	0	911.0320285	0.5	319.6446975
73	30.172273	292	1	1	0	0	0	911.0320285	0.5	319.9508043
74	30.580885	296	1	1	0	0	0	911.0320285	0.5	320.3680569
75	30.990167	300	1	1	0	0	0	911.0320285	0.5	320.169452
76	31.399041	304	1	1	0	0	0	911.0320285	0.5	319.9945338
77	31.807586	308	1	1	0	0	0	911.0320285	0.5	319.8633452
78	32.21711	312	1	1	0	0	0	911.0320285	0.5	320.5867046
79	32.626084	316	1	1	0	0	0	911.0320285	0.5	319.799573
80	33.035362	320	1	1	0	0	0	911.0320285	0.5	320.2969964
81	33.446921	324	1	1	0	0	0	911.0320285	0.5	321.3410391
82	33.856131	328	1	1	0	0	0	911.0320285	0.5	319.7795302
83	34.265274	332	1	1	0	0	0	911.0320285	0.5	320.7033167
84	34.673982	336	1	1	0	0	0	911.0320285	0.5	319.8779217
85	35.08386	340	1	1	0	0	0	911.0320285	0.5	320.624968
86	35.49258	344	1	1	0	0	0	911.0320285	0.5	319.6392313
87	35.900399	348	1	1	0	0	0	911.0320285	0.5	319.659274
88	36.309223	352	1	1	0	0	0	911.0320285	0.5	319.8815658
89	36.717791	356	1	1	0	0	0	911.0320285	0.5	320.5083559
90	37.126328	360	1	1	0	0	0	911.0320285	0.5	320.2423345
91	37.535044	364	1	1	0	0	0	911.0320285	0.5	320.3188612
92	37.943227	368	1	1	0	0	0	911.0320285	0.5	320.2733096
93	38.351432	372	1	1	0	0	0	911.0320285	0.5	320.9529395
94	38.759934	376	1	1	0	0	0	911.0320285	0.5	321.051331
95	39.169445	380	1	1	0	0	0	911.0320285	0.5	319.6319431
96	39.577886	384	1	1	0	0	0	911.0320285	0.5	320.2040712
97	39.987191	388	1	1	0	0	0	911.0320285	0.5	321.0312883
98	40.395999	392	1	1	0	0	0	911.0320285	0.5	320.1402989
99	40.805012	396	1	1	0	0	0	911.0320285	0.5	320.0911032
100	41.220853	400	1	1	0	0	0	911.0320285	0.5	292.2608968
101	41.628447	404	1	1	0	0	0	911.0320285	0.5	291.7124555
102	42.036027	408	1	1	0	0	0	911.0320285	0.5	291.9511459
103	42.442881	412	1	1	0	0	0	911.0320285	0.5	292.5815801
104	42.85014	416	1	1	0	0	0	911.0320285	0.5	292.3775089
105	43.257996	420	1	1	0	0	0	911.0320285	0.5	292.9988327
106	43.667452	424	1	1	0	0	0	911.0320285	0.5	292.239032
107	44.074923	428	1	1	0	0	0	911.0320285	0.5	292.7419217
108	44.482386	432	1	1	0	0	0	911.0320285	0.5	292.692726
109	44.889822	436	1	1	0	0	0	911.0320285	0.5	291.8181352
110	45.296952	440	1	1	0	0	0	911.0320285	0.5	291.9274591
111	45.704514	444	1	1	0	0	0	911.0320285	0.5	292.295516
112	46.112382	448	1	1	0	0	0	911.0320285	0.5	292.9933665
