#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.010965	0	0	0	0	0	0	911.0320285	0.5	319.8269039
1	0.698719	4	1	1	0	0	0	911.0320285	0.5	320.7761993
2	1.093034	8	1	1	0	0	0	911.0320285	0.5	320.5101779
3	1.488532	12	1	1	0	0	0	911.0320285	0.5	319.3568114
4	1.882708	16	1	1	0	0	0	911.0320285	0.5	319.0652811
5	2.276911	20	1	1	0	0	0	911.0320285	0.5	319.657452
6	2.672018	24	1	1	0	0	0	911.0320285	0.5	320.597637
7	3.066855	28	1	1	0	0	0	911.0320285	0.5	319.6428754
8	3.462309	32	1	1	0	0	0	911.0320285	0.5	319.289395
9	3.856607	36	1	1	0	0	0	911.0320285	0.5	319.1618505
10	4.250887	40	1	1	0	0	0	911.0320285	0.5	320.0874591
11	4.645068	44	1	1	0	0	0	911.0320285	0.5	321.0130676
12	5.0393	48	1	1	0	0	0	911.0320285	0.5	319.3385907
13	5.433369	52	1	1	0	0	0	911.0320285	0.5	319.6811388
14	5.827291	56	1	1	0	0	0	911.0320285	0.5	319.5262633
15	6.222156	60	1	1	0	0	0	911.0320285	0.5	320.9164982
16	6.616985	64	1	1	0	0	0	911.0320285	0.5	320.5739502
17	7.011941	68	1	1	0	0	0	911.0320285	0.5	320.5593737
18	7.408889	72	1	1	0	0	0	911.0320285	0.5	318.863032
19	7.80339	76	1	1	0	0	0	911.0320285	0.5	319.0434164
20	8.197717	80	1	1	0	0	0	911.0320285	0.5	320.5283986
21	8.592614	84	1	1	0	0	0	911.0320285	0.5	320.255089
22	8.987348	88	1	1	0	0	0	911.0320285	0.5	320.2787758
23	9.381801	92	1	1	0	0	0	911.0320285	0.5	320.142121
24	9.776243	96	1	1	0	0	0	911.0320285	0.5	321.1497224
25	10.171002	100	1	1	0	0	0	911.0320285	0.5	320.0346192
26	10.565223	104	1	1	0	0	0	911.0320285	0.5	319.9052527
27	10.959746	108	1	1	0	0	0	911.0320285	0.5	320.1913167
28	11.354305	112	1	1	0	0	0	911.0320285	0.5	319.1582064
29	11.749503	116	1	1	0	0	0	911.0320285	0.5	319.5590605
30	12.144194	120	1	1	0	0	0	911.0320285	0.5	320.7160712
31	12.53912	124	1	1	0	0	0	911.0320285	0.5	320.90921
32	12.934028	128	1	1	0	0	0	911.0320285	0.5	320.4227189
33	13.328502	132	1	1	0	0	0	911.0320285	0.5	320.7434021
34	13.723021	136	1	1	0	0	0	911.0320285	0.5	319.8505907
35	14.117458	140	1	1	0	0	0	911.0320285	0.5	319.9070747
36	14.511962	144	1	1	0	0	0	911.0320285	0.5	320.4500498
37	14.90678	148	1	1	0	0	0	911.0320285	0.5	320.8290391
38	15.301675	152	1	1	0	0	0	911.0320285	0.5	321.4175658
39	15.696607	156	1	1	0	0	0	911.0320285	0.5	320.6905623
40	16.090605	160	1	1	0	0	0	911.0320285	0.5	320.058306
41	16.484996	164	1	1	0	0	0	911.0320285	0.5	320.0182206
42	16.880117	168	1	1	0	0	0	911.0320285	0.5	319.8633452
43	17.276785	172	1	1	0	0	0	911.0320285	0.5	319.5098648
44	17.670713	176	1	1	0	0	0	911.0320285	0.5	319.0598149
45	18.065129	180	1	1	0	0	0	911.0320285	0.5	318.9031174
46	18.46004	184	1	1	0	0	0	911.0320285	0.5	319.830548
47	18.854603	188	1	1	0	0	0	911.0320285	0.5	319.7467331
48	19.249272	192	1	1	0	0	0	911.0320285	0.5	320.2915302
49	19.643443	196	1	1	0	0	0	911.0320285	0.5	320.9073879
50	20.038134	200	1	1	0	0	0	911.0320285	0.5	319.9562705
51	20.432826	204	1	1	0	0	0	911.0320285	0.5	319.8651673
52	20.827431	208	1	1	0	0	0	911.0320285	0.5	320.4117865
53	21.221732	212	1	1	0	0	0	911.0320285	0.5	319.657452
54	21.616117	216	1	1	0	0	0	911.0320285	0.5	319.5535943
55	22.010312	220	1	1	0	0	0	911.0320285	0.5	319.943516
56	22.404607	224	1	1	0	0	0	911.0320285	0.5	319.4351601
57	22.79878	228	1	1	0	0	0	911.0320285	0.5	320.3917438
58	23.194163	232	1	1	0	0	0	911.0320285	0.5	320.0947473
59	23.588519	236	1	1	0	0	0	911.0320285	0.5	319.8961423
60	23.982362	240	1	1	0	0	0	911.0320285	0.5	319.7194021
61	24.377423	244	1	1	0	0	0	911.0320285	0.5	319.034306
62	24.771581	248	1	1	0	0	0	911.0320285	0.5	319.09079
63	25.165771	252	1	1	0	0	0	911.0320285	0.5	320.4063203
64	25.560932	256	1	1	0	0	0	911.0320285	0.5	319.4552028
65	25.955111	260	1	1	0	0	0	911.0320285	0.5	320.2204698
66	26.349702	264	1	1	0	0	0	911.0320285	0.5	319.799573
67	26.745022	268	1	1	0	0	0	911.0320285	0.5	319.630121
68	27.139454	272	1	1	0	0	0	911.0320285	0.5	321.1715872
69	27.536525	276	1	1	0	0	0	911.0320285	0.5	320.6012811
70	27.931967	280	1	1	0	0	0	911.0320285	0.5	321.5050249
71	28.326845	284	1	1	0	0	0	911.0320285	0.5	320.3297936
72	28.721126	288	1	1	0	0	0	911.0320285	0.5	320
73	29.116252	292	1	1	0	0	0	911.0320285	0.5	319.4351601
74	29.510818	296	1	1	0	0	0	911.0320285	0.5	319.8232598
75	29.905397	300	1	1	0	0	0	911.0320285	0.5	320.6869181
76	30.300245	304	1	1	0	0	0	911.0320285	0.5	320.1184342
77	30.695292	308	1	1	0	0	0	911.0320285	0.5	319.0452384
78	31.089439	312	1	1	0	0	0	911.0320285	0.5	320.2186477
79	31.484017	316	1	1	0	0	0	911.0320285	0.5	319.546306
