#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.04923	0	0	0	0	0	0	930.9090909	0.5	335.1105164
1	0.773327	4	1	1	0	0	0	930.9090909	0.5	336.3951709
2	1.206082	8	1	1	0	0	0	930.9090909	0.5	335.4940509
3	1.637887	12	1	1	0	0	0	930.9090909	0.5	334.7474618
4	2.069519	16	1	1	0	0	0	930.9090909	0.5	334.3508945
5	2.501102	20	1	1	0	0	0	930.9090909	0.5	334.2354618
6	2.933137	24	1	1	0	0	0	930.9090909	0.5	335.3413818
7	3.36475	28	1	1	0	0	0	930.9090909	0.5	334.88896
8	3.797368	32	1	1	0	0	0	930.9090909	0.5	334.9541236
9	4.228399	36	1	1	0	0	0	930.9090909	0.5	334.6860218
10	4.659497	40	1	1	0	0	0	930.9090909	0.5	335.8049745
11	5.091512	44	1	1	0	0	0	930.9090909	0.5	335.8440727
12	5.522818	48	1	1	0	0	0	930.9090909	0.5	334.49984
13	5.95383	52	1	1	0	0	0	930.9090909	0.5	335.4754327
14	6.385277	56	1	1	0	0	0	930.9090909	0.5	335.0174255
15	6.817914	60	1	1	0	0	0	930.9090909	0.5	336.7470545
16	7.249375	64	1	1	0	0	0	930.9090909	0.5	335.7528436
17	7.681194	68	1	1	0	0	0	930.9090909	0.5	335.6076218
18	8.112768	72	1	1	0	0	0	930.9090909	0.5	334.2559418
19	8.543926	76	1	1	0	0	0	930.9090909	0.5	334.1758836
20	8.975171	80	1	1	0	0	0	930.9090909	0.5	335.1589236
21	9.406534	84	1	1	0	0	0	930.9090909	0.5	335.8794473
22	9.838141	88	1	1	0	0	0	930.9090909	0.5	335.79008
23	10.269491	92	1	1	0	0	0	930.9090909	0.5	335.3935127
24	10.700626	96	1	1	0	0	0	930.9090909	0.5	336.4752291
25	11.132487	100	1	1	0	0	0	930.9090909	0.5	336.1289309
26	11.563785	104	1	1	0	0	0	930.9090909	0.5	334.9336436
27	11.996352	108	1	1	0	0	0	930.9090909	0.5	335.7919418
28	12.427767	112	1	1	0	0	0	930.9090909	0.5	334.8833745
29	12.859264	116	1	1	0	0	0	930.9090909	0.5	335.6858182
30	13.291453	120	1	1	0	0	0	930.9090909	0.5	336.3914473
31	13.723466	124	1	1	0	0	0	930.9090909	0.5	335.7435345
32	14.155051	128	1	1	0	0	0	930.9090909	0.5	335.3860655
33	14.586221	132	1	1	0	0	0	930.9090909	0.5	336.2592582
34	15.017603	136	1	1	0	0	0	930.9090909	0.5	334.6059636
35	15.449005	140	1	1	0	0	0	930.9090909	0.5	335.3041455
36	15.880775	144	1	1	0	0	0	930.9090909	0.5	335.6243782
37	16.312035	148	1	1	0	0	0	930.9090909	0.5	335.8701382
38	16.74387	152	1	1	0	0	0	930.9090909	0.5	336.2797382
39	17.175866	156	1	1	0	0	0	930.9090909	0.5	334.9019927
40	17.606809	160	1	1	0	0	0	930.9090909	0.5	335.1123782
41	18.038255	164	1	1	0	0	0	930.9090909	0.5	334.7846982
42	18.470502	168	1	1	0	0	0	930.9090909	0.5	335.6206545
43	18.902267	172	1	1	0	0	0	930.9090909	0.5	334.9485382
44	19.333556	176	1	1	0	0	0	930.9090909	0.5	334.6078255
45	19.764977	180	1	1	0	0	0	930.9090909	0.5	333.9654982
46	20.197333	184	1	1	0	0	0	930.9090909	0.5	334.9057164
47	20.628996	188	1	1	0	0	0	930.9090909	0.5	334.6320291
48	21.060518	192	1	1	0	0	0	930.9090909	0.5	335.8943418
49	21.491751	196	1	1	0	0	0	930.9090909	0.5	336.2518109
50	21.922755	200	1	1	0	0	0	930.9090909	0.5	335.1421673
51	22.354172	204	1	1	0	0	0	930.9090909	0.5	335.4326109
52	22.786144	208	1	1	0	0	0	930.9090909	0.5	336.0172218
53	23.217448	212	1	1	0	0	0	930.9090909	0.5	334.4979782
54	23.648611	216	1	1	0	0	0	930.9090909	0.5	335.3972364
55	24.08034	220	1	1	0	0	0	930.9090909	0.5	335.6113455
56	24.51167	224	1	1	0	0	0	930.9090909	0.5	335.1440291
57	24.943229	228	1	1	0	0	0	930.9090909	0.5	335.9092364
58	25.375344	232	1	1	0	0	0	930.9090909	0.5	335.4065455
59	25.806616	236	1	1	0	0	0	930.9090909	0.5	335.7156073
60	26.237807	240	1	1	0	0	0	930.9090909	0.5	334.7139491
61	26.669316	244	1	1	0	0	0	930.9090909	0.5	334.5854836
62	27.100502	248	1	1	0	0	0	930.9090909	0.5	335.1626473
63	27.532023	252	1	1	0	0	0	930.9090909	0.5	336.1065891
64	27.963927	256	1	1	0	0	0	930.9090909	0.5	334.7065018
65	28.395612	260	1	1	0	0	0	930.9090909	0.5	335.6523055
66	28.827355	264	1	1	0	0	0	930.9090909	0.5	335.7509818
67	29.259156	268	1	1	0	0	0	930.9090909	0.5	335.29856
68	29.691219	272	1	1	0	0	0	930.9090909	0.5	336.5403927
69	30.122952	276	1	1	0	0	0	930.9090909	0.5	336.1773382
70	30.554687	280	1	1	0	0	0	930.9090909	0.5	336.5292218
71	30.98636	284	1	1	0	0	0	930.9090909	0.5	335.9892945
72	31.417124	288	1	1	0	0	0	930.9090909	0.5	334.7958691
73	31.848502	292	1	1	0	0	0	930.9090909	0.5	335.3488291
74	32.279837	296	1	1	0	0	0	930.9090909	0.5	335.7863564
75	32.711156	300	1	1	0	0	0	930.9090909	0.5	335.8217309
76	33.143992	304	1	1	0	0	0	930.9090909	0.5	335.8738618
77	33.575739	308	1	1	0	0	0	930.9090909	0.5	335.4512291
78	34.007473	312	1	1	0	0	0	930.9090909	0.5	335.8273164
79	34.440029	316	1	1	0	0	0	930.9090909	0.5	335.2669091
80	34.871604	320	1	1	0	0	0	930.9090909	0.5	335.0695564
81	35.302921	324	1	1	0	0	0	930.9090909	0.5	335.3413818
82	35.734566	328	1	1	0	0	0	930.9090909	0.5	335.6597527
83	36.166232	332	1	1	0	0	0	930.9090909	0.5	336.4361309
84	36.597999	336	1	1	0	0	0	930.9090909	0.5	335.9017891
85	37.029418	340	1	1	0	0	0	930.9090909	0.5	335.5499055
86	37.461312	344	1	1	0	0	0	930.9090909	0.5	335.9185455
87	37.89232	348	1	1	0	0	0	930.9090909	0.5	335.2948364
