#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012309	0	0	0	0	0	0	930.9090909	0.5	321.2958255
1	0.764092	4	1	1	0	0	0	930.9090909	0.5	322.0200727
2	1.222193	8	1	1	0	0	0	930.9090909	0.5	321.1971491
3	1.680882	12	1	1	0	0	0	930.9090909	0.5	321.5136582
4	2.138816	16	1	1	0	0	0	930.9090909	0.5	320.4486982
5	2.596075	20	1	1	0	0	0	930.9090909	0.5	321.1282618
6	3.054377	24	1	1	0	0	0	930.9090909	0.5	321.2865164
7	3.51335	28	1	1	0	0	0	930.9090909	0.5	321.2139055
8	3.971069	32	1	1	0	0	0	930.9090909	0.5	321.4578036
9	4.428475	36	1	1	0	0	0	930.9090909	0.5	320.7949964
10	4.88589	40	1	1	0	0	0	930.9090909	0.5	322.6139927
11	5.343911	44	1	1	0	0	0	930.9090909	0.5	321.1897018
12	5.801152	48	1	1	0	0	0	930.9090909	0.5	320.3816727
13	6.25817	52	1	1	0	0	0	930.9090909	0.5	321.9567709
14	6.71639	56	1	1	0	0	0	930.9090909	0.5	320.7652073
15	7.173905	60	1	1	0	0	0	930.9090909	0.5	322.5674473
16	7.631991	64	1	1	0	0	0	930.9090909	0.5	321.2399709
17	8.089547	68	1	1	0	0	0	930.9090909	0.5	321.39264
18	8.547223	72	1	1	0	0	0	930.9090909	0.5	320.1563927
19	9.004248	76	1	1	0	0	0	930.9090909	0.5	320.5976436
20	9.463609	80	1	1	0	0	0	930.9090909	0.5	321.7370764
21	9.921579	84	1	1	0	0	0	930.9090909	0.5	322.2546618
22	10.379408	88	1	1	0	0	0	930.9090909	0.5	321.6830836
23	10.837107	92	1	1	0	0	0	930.9090909	0.5	320.5399273
24	11.294881	96	1	1	0	0	0	930.9090909	0.5	322.2788655
25	11.753634	100	1	1	0	0	0	930.9090909	0.5	322.0219345
