#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012075	0	0	0	0	0	0	853.3333333	0.5	262.78912
1	0.7013	4	1	1	0	0	0	853.3333333	0.5	263.12704
2	1.100242	8	1	1	0	0	0	853.3333333	0.5	262.9239467
3	1.497927	12	1	1	0	0	0	853.3333333	0.5	262.0177067
4	1.894533	16	1	1	0	0	0	853.3333333	0.5	262.1696
5	2.291369	20	1	1	0	0	0	853.3333333	0.5	262.48704
6	2.688618	24	1	1	0	0	0	853.3333333	0.5	263.22432
7	3.086059	28	1	1	0	0	0	853.3333333	0.5	261.8538667
8	3.483951	32	1	1	0	0	0	853.3333333	0.5	261.84704
9	3.880957	36	1	1	0	0	0	853.3333333	0.5	261.95968
10	4.277529	40	1	1	0	0	0	853.3333333	0.5	262.8846933
11	4.674747	44	1	1	0	0	0	853.3333333	0.5	263.6049067
12	5.073748	48	1	1	0	0	0	853.3333333	0.5	261.9460267
13	5.471364	52	1	1	0	0	0	853.3333333	0.5	262.53824
14	5.868147	56	1	1	0	0	0	853.3333333	0.5	262.0125867
15	6.265179	60	1	1	0	0	0	853.3333333	0.5	263.94112
16	6.66269	64	1	1	0	0	0	853.3333333	0.5	263.168
17	7.060308	68	1	1	0	0	0	853.3333333	0.5	263.8353067
18	7.457488	72	1	1	0	0	0	853.3333333	0.5	261.8180267
19	7.854204	76	1	1	0	0	0	853.3333333	0.5	261.69856
20	8.251164	80	1	1	0	0	0	853.3333333	0.5	263.1338667
21	8.648308	84	1	1	0	0	0	853.3333333	0.5	262.53312
22	9.045142	88	1	1	0	0	0	853.3333333	0.5	262.8727467
23	9.442513	92	1	1	0	0	0	853.3333333	0.5	262.9905067
24	9.83923	96	1	1	0	0	0	853.3333333	0.5	263.79776
25	10.237129	100	1	1	0	0	0	853.3333333	0.5	262.97856
26	10.634523	104	1	1	0	0	0	853.3333333	0.5	262.6167467
27	11.031923	108	1	1	0	0	0	853.3333333	0.5	262.81472
28	11.428744	112	1	1	0	0	0	853.3333333	0.5	262.2446933
29	11.826711	116	1	1	0	0	0	853.3333333	0.5	262.2805333
30	12.223893	120	1	1	0	0	0	853.3333333	0.5	263.2055467
31	12.620977	124	1	1	0	0	0	853.3333333	0.5	263.0024533
32	13.018044	128	1	1	0	0	0	853.3333333	0.5	262.9393067
33	13.415444	132	1	1	0	0	0	853.3333333	0.5	263.6578133
34	13.812014	136	1	1	0	0	0	853.3333333	0.5	262.4904533
35	14.20895	140	1	1	0	0	0	853.3333333	0.5	262.29248
36	14.606176	144	1	1	0	0	0	853.3333333	0.5	262.8386133
37	15.005756	148	1	1	0	0	0	853.3333333	0.5	263.3693867
38	15.403214	152	1	1	0	0	0	853.3333333	0.5	263.53152
39	15.800582	156	1	1	0	0	0	853.3333333	0.5	263.6305067
40	16.197557	160	1	1	0	0	0	853.3333333	0.5	262.8078933
41	16.59463	164	1	1	0	0	0	853.3333333	0.5	262.66112
42	16.992258	168	1	1	0	0	0	853.3333333	0.5	262.56384
43	17.389195	172	1	1	0	0	0	853.3333333	0.5	262.5399467
44	17.785691	176	1	1	0	0	0	853.3333333	0.5	262.20032
45	18.182981	180	1	1	0	0	0	853.3333333	0.5	261.5176533
46	18.59613	184	1	1	0	0	0	853.3333333	0.5	262.54336
47	18.993498	188	1	1	0	0	0	853.3333333	0.5	262.6679467
48	19.390786	192	1	1	0	0	0	853.3333333	0.5	263.1082667
49	19.787948	196	1	1	0	0	0	853.3333333	0.5	263.3557333
50	20.184943	200	1	1	0	0	0	853.3333333	0.5	262.5604267
51	20.582303	204	1	1	0	0	0	853.3333333	0.5	262.5041067
52	20.97927	208	1	1	0	0	0	853.3333333	0.5	262.97344
53	21.376397	212	1	1	0	0	0	853.3333333	0.5	262.1866667
54	21.773496	216	1	1	0	0	0	853.3333333	0.5	262.06208
