#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.01119	0	0	0	0	0	0	853.3333333	0.5	257.8670933
1	0.716028	4	1	1	0	0	0	853.3333333	0.5	258.6914133
2	1.128839	8	1	1	0	0	0	853.3333333	0.5	257.96096
3	1.54198	12	1	1	0	0	0	853.3333333	0.5	257.3806933
4	1.954624	16	1	1	0	0	0	853.3333333	0.5	257.0581333
5	2.369997	20	1	1	0	0	0	853.3333333	0.5	257.17248
6	2.78294	24	1	1	0	0	0	853.3333333	0.5	257.8824533
7	3.196108	28	1	1	0	0	0	853.3333333	0.5	257.7425067
8	3.609876	32	1	1	0	0	0	853.3333333	0.5	257.76128
9	4.022235	36	1	1	0	0	0	853.3333333	0.5	257.13664
10	4.434529	40	1	1	0	0	0	853.3333333	0.5	257.73056
11	4.848101	44	1	1	0	0	0	853.3333333	0.5	258.19648
12	5.260245	48	1	1	0	0	0	853.3333333	0.5	256.8567467
13	5.687277	52	1	1	0	0	0	853.3333333	0.5	258.2459733
14	6.09972	56	1	1	0	0	0	853.3333333	0.5	257.7902933
15	6.51203	60	1	1	0	0	0	853.3333333	0.5	258.9371733
16	6.925127	64	1	1	0	0	0	853.3333333	0.5	257.7988267
17	7.338185	68	1	1	0	0	0	853.3333333	0.5	257.82272
18	7.750412	72	1	1	0	0	0	853.3333333	0.5	256.6792533
19	8.162759	76	1	1	0	0	0	853.3333333	0.5	256.4727467
20	8.575447	80	1	1	0	0	0	853.3333333	0.5	257.95072
21	8.987603	84	1	1	0	0	0	853.3333333	0.5	258.3944533
22	9.400228	88	1	1	0	0	0	853.3333333	0.5	258.16576
23	9.8131	92	1	1	0	0	0	853.3333333	0.5	258.0087467
24	10.225364	96	1	1	0	0	0	853.3333333	0.5	258.688
25	10.6384	100	1	1	0	0	0	853.3333333	0.5	258.1060267
26	11.050996	104	1	1	0	0	0	853.3333333	0.5	257.5274667
27	11.46301	108	1	1	0	0	0	853.3333333	0.5	258.18112
28	11.876191	112	1	1	0	0	0	853.3333333	0.5	257.3909333
29	12.291316	116	1	1	0	0	0	853.3333333	0.5	258.0616533
30	12.704471	120	1	1	0	0	0	853.3333333	0.5	258.7050667
31	13.116996	124	1	1	0	0	0	853.3333333	0.5	258.2391467
32	13.529825	128	1	1	0	0	0	853.3333333	0.5	257.6896
33	13.942376	132	1	1	0	0	0	853.3333333	0.5	258.6641067
34	14.354786	136	1	1	0	0	0	853.3333333	0.5	257.024
35	14.767151	140	1	1	0	0	0	853.3333333	0.5	257.8517333
36	15.179822	144	1	1	0	0	0	853.3333333	0.5	258.44224
37	15.592401	148	1	1	0	0	0	853.3333333	0.5	258.0718933
38	16.005077	152	1	1	0	0	0	853.3333333	0.5	258.80576
39	16.418162	156	1	1	0	0	0	853.3333333	0.5	257.4506667
40	16.830309	160	1	1	0	0	0	853.3333333	0.5	257.56672
41	17.24265	164	1	1	0	0	0	853.3333333	0.5	257.5240533
42	17.655801	168	1	1	0	0	0	853.3333333	0.5	258.0241067
43	18.068206	172	1	1	0	0	0	853.3333333	0.5	256.8072533
44	18.479909	176	1	1	0	0	0	853.3333333	0.5	257.11616
45	18.892074	180	1	1	0	0	0	853.3333333	0.5	256.2781867
46	19.304533	184	1	1	0	0	0	853.3333333	0.5	257.44384
47	19.717316	188	1	1	0	0	0	853.3333333	0.5	257.5991467
48	20.130016	192	1	1	0	0	0	853.3333333	0.5	258.7886933
49	20.543135	196	1	1	0	0	0	853.3333333	0.5	258.7648
50	20.955062	200	1	1	0	0	0	853.3333333	0.5	257.5889067
51	21.367028	204	1	1	0	0	0	853.3333333	0.5	257.7220267
52	21.779744	208	1	1	0	0	0	853.3333333	0.5	258.6453333
53	22.193953	212	1	1	0	0	0	853.3333333	0.5	257.4506667
54	22.606288	216	1	1	0	0	0	853.3333333	0.5	257.4370133
55	23.018346	220	1	1	0	0	0	853.3333333	0.5	258.18624
56	23.430737	224	1	1	0	0	0	853.3333333	0.5	256.9745067
57	23.84286	228	1	1	0	0	0	853.3333333	0.5	257.8602667
58	24.255288	232	1	1	0	0	0	853.3333333	0.5	258.0804267
59	24.668049	236	1	1	0	0	0	853.3333333	0.5	257.5786667
60	25.07969	240	1	1	0	0	0	853.3333333	0.5	257.0837333
61	25.491924	244	1	1	0	0	0	853.3333333	0.5	257.0308267
62	25.904309	248	1	1	0	0	0	853.3333333	0.5	257.07008
63	26.316326	252	1	1	0	0	0	853.3333333	0.5	257.8551467
64	26.72888	256	1	1	0	0	0	853.3333333	0.5	257.3550933
65	27.140626	260	1	1	0	0	0	853.3333333	0.5	258.1469867
66	27.553516	264	1	1	0	0	0	853.3333333	0.5	258.2545067
67	27.96633	268	1	1	0	0	0	853.3333333	0.5	257.3550933
68	28.378514	272	1	1	0	0	0	853.3333333	0.5	258.9508267
69	28.791431	276	1	1	0	0	0	853.3333333	0.5	258.5173333
70	29.204053	280	1	1	0	0	0	853.3333333	0.5	258.4968533
71	29.616572	284	1	1	0	0	0	853.3333333	0.5	258.3637333
72	30.029132	288	1	1	0	0	0	853.3333333	0.5	257.26464
73	30.441411	292	1	1	0	0	0	853.3333333	0.5	257.4916267
74	30.854049	296	1	1	0	0	0	853.3333333	0.5	257.9234133
75	31.266391	300	1	1	0	0	0	853.3333333	0.5	258.2613333
76	31.679054	304	1	1	0	0	0	853.3333333	0.5	258.00192
77	32.093586	308	1	1	0	0	0	853.3333333	0.5	257.4830933
78	32.505476	312	1	1	0	0	0	853.3333333	0.5	257.8619733
79	32.918181	316	1	1	0	0	0	853.3333333	0.5	257.5428267
