#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.011333	0	0	0	0	0	0	930.9090909	0.5	336.8624873
1	0.720182	4	1	1	0	0	0	930.9090909	0.5	336.9537164
2	1.136928	8	1	1	0	0	0	930.9090909	0.5	337.3744873
3	1.551755	12	1	1	0	0	0	930.9090909	0.5	337.5029527
4	1.966838	16	1	1	0	0	0	930.9090909	0.5	339.1525236
5	2.382884	20	1	1	0	0	0	930.9090909	0.5	336.8029091
6	2.797526	24	1	1	0	0	0	930.9090909	0.5	337.08032
7	3.212634	28	1	1	0	0	0	930.9090909	0.5	337.9274473
8	3.6275	32	1	1	0	0	0	930.9090909	0.5	337.4619927
9	4.042218	36	1	1	0	0	0	930.9090909	0.5	337.5941818
10	4.457666	40	1	1	0	0	0	930.9090909	0.5	337.6984436
11	4.873117	44	1	1	0	0	0	930.9090909	0.5	337.48992
12	5.288001	48	1	1	0	0	0	930.9090909	0.5	337.1063855
13	5.702665	52	1	1	0	0	0	930.9090909	0.5	336.6874764
14	6.117369	56	1	1	0	0	0	930.9090909	0.5	337.12128
15	6.532339	60	1	1	0	0	0	930.9090909	0.5	336.9350982
16	6.947452	64	1	1	0	0	0	930.9090909	0.5	337.5457745
17	7.362806	68	1	1	0	0	0	930.9090909	0.5	337.2162327
18	7.777651	72	1	1	0	0	0	930.9090909	0.5	337.4340655
19	8.192007	76	1	1	0	0	0	930.9090909	0.5	337.0151564
20	8.606479	80	1	1	0	0	0	930.9090909	0.5	336.4864
21	9.021689	84	1	1	0	0	0	930.9090909	0.5	336.8308364
22	9.435976	88	1	1	0	0	0	930.9090909	0.5	338.98496
23	9.850928	92	1	1	0	0	0	930.9090909	0.5	337.1715491
24	10.267906	96	1	1	0	0	0	930.9090909	0.5	337.1845818
25	10.683132	100	1	1	0	0	0	930.9090909	0.5	338.4710982
26	11.098522	104	1	1	0	0	0	930.9090909	0.5	337.3577309
27	11.513761	108	1	1	0	0	0	930.9090909	0.5	336.6595491
28	11.928075	112	1	1	0	0	0	930.9090909	0.5	338.0670836
29	12.342643	116	1	1	0	0	0	930.9090909	0.5	337.8511127
30	12.757606	120	1	1	0	0	0	930.9090909	0.5	337.1603782
31	13.172142	124	1	1	0	0	0	930.9090909	0.5	337.1678255
32	13.587292	128	1	1	0	0	0	930.9090909	0.5	336.6930618
33	14.001729	132	1	1	0	0	0	930.9090909	0.5	336.3076655
34	14.415887	136	1	1	0	0	0	930.9090909	0.5	336.7898764
35	14.83073	140	1	1	0	0	0	930.9090909	0.5	337.0207418
36	15.245316	144	1	1	0	0	0	930.9090909	0.5	337.22368
37	15.660174	148	1	1	0	0	0	930.9090909	0.5	337.6574836
38	16.075776	152	1	1	0	0	0	930.9090909	0.5	336.9481309
39	16.489937	156	1	1	0	0	0	930.9090909	0.5	338.1787927
40	16.905083	160	1	1	0	0	0	930.9090909	0.5	337.1678255
41	17.320196	164	1	1	0	0	0	930.9090909	0.5	337.4117236
42	17.735509	168	1	1	0	0	0	930.9090909	0.5	337.1398982
43	18.150539	172	1	1	0	0	0	930.9090909	0.5	336.5050182
44	18.565547	176	1	1	0	0	0	930.9090909	0.5	337.1492073
45	18.98084	180	1	1	0	0	0	930.9090909	0.5	338.0075055
46	19.39536	184	1	1	0	0	0	930.9090909	0.5	337.7542982
47	19.810053	188	1	1	0	0	0	930.9090909	0.5	336.5199127
48	20.226727	192	1	1	0	0	0	930.9090909	0.5	336.7712582
49	20.641087	196	1	1	0	0	0	930.9090909	0.5	337.5457745
50	21.055867	200	1	1	0	0	0	930.9090909	0.5	337.8157382
51	21.470783	204	1	1	0	0	0	930.9090909	0.5	337.5588073
52	21.885554	208	1	1	0	0	0	930.9090909	0.5	337.48992
53	22.300413	212	1	1	0	0	0	930.9090909	0.5	336.7414691
54	22.714757	216	1	1	0	0	0	930.9090909	0.5	337.5755636
55	23.13002	220	1	1	0	0	0	930.9090909	0.5	337.2143709
56	23.54475	224	1	1	0	0	0	930.9090909	0.5	337.4731636
57	23.960668	228	1	1	0	0	0	930.9090909	0.5	336.3728291
58	24.375687	232	1	1	0	0	0	930.9090909	0.5	336.7880145
59	24.790585	236	1	1	0	0	0	930.9090909	0.5	339.0836364
60	25.205764	240	1	1	0	0	0	930.9090909	0.5	337.5662545
61	25.62032	244	1	1	0	0	0	930.9090909	0.5	336.6074182
62	26.035083	248	1	1	0	0	0	930.9090909	0.5	337.9479273
63	26.451246	252	1	1	0	0	0	930.9090909	0.5	338.0093673
64	26.8662	256	1	1	0	0	0	930.9090909	0.5	337.5234327
65	27.281234	260	1	1	0	0	0	930.9090909	0.5	337.9721309
66	27.696506	264	1	1	0	0	0	930.9090909	0.5	337.2404364
67	28.11176	268	1	1	0	0	0	930.9090909	0.5	336.1978182
68	28.525994	272	1	1	0	0	0	930.9090909	0.5	337.08032
69	28.940503	276	1	1	0	0	0	930.9090909	0.5	335.2892509
70	29.354765	280	1	1	0	0	0	930.9090909	0.5	337.4824727
71	29.769345	284	1	1	0	0	0	930.9090909	0.5	337.2125091
72	30.186112	288	1	1	0	0	0	930.9090909	0.5	336.2722909
73	30.601356	292	1	1	0	0	0	930.9090909	0.5	337.46944
74	31.016159	296	1	1	0	0	0	930.9090909	0.5	337.1026618
75	31.430862	300	1	1	0	0	0	930.9090909	0.5	337.2255418
76	31.845879	304	1	1	0	0	0	930.9090909	0.5	337.2888436
77	32.261382	308	1	1	0	0	0	930.9090909	0.5	337.0672873
78	32.676308	312	1	1	0	0	0	930.9090909	0.5	337.1361745
79	33.091659	316	1	1	0	0	0	930.9090909	0.5	337.2720873
80	33.523261	320	1	1	0	0	0	930.9090909	0.5	338.2960873
81	33.938744	324	1	1	0	0	0	930.9090909	0.5	338.3891782
82	34.358442	328	1	1	0	0	0	930.9090909	0.5	337.2869818
83	34.773018	332	1	1	0	0	0	930.9090909	0.5	338.65728
84	35.188098	336	1	1	0	0	0	930.9090909	0.5	337.1585164
85	35.603135	340	1	1	0	0	0	930.9090909	0.5	337.2497455
86	36.018744	344	1	1	0	0	0	930.9090909	0.5	337.3000145
87	36.433373	348	1	1	0	0	0	930.9090909	0.5	336.6651345
88	36.847975	352	1	1	0	0	0	930.9090909	0.5	336.2760145
89	37.263089	356	1	1	0	0	0	930.9090909	0.5	336.95744
90	37.67761	360	1	1	0	0	0	930.9090909	0.5	337.6016291
91	38.092843	364	1	1	0	0	0	930.9090909	0.5	337.9572364
92	38.508233	368	1	1	0	0	0	930.9090909	0.5	337.59232
93	38.92337	372	1	1	0	0	0	930.9090909	0.5	338.3780073
94	39.338796	376	1	1	0	0	0	930.9090909	0.5	338.1527273
95	39.754073	380	1	1	0	0	0	930.9090909	0.5	336.7377455
96	40.171657	384	1	1	0	0	0	930.9090909	0.5	337.87904
97	40.586896	388	1	1	0	0	0	930.9090909	0.5	337.9293091
98	41.002259	392	1	1	0	0	0	930.9090909	0.5	336.7489164
99	41.417917	396	1	1	0	0	0	930.9090909	0.5	337.59232
100	41.848105	400	1	1	0	0	0	930.9090909	0.5	308.2407564
101	42.262051	404	1	1	0	0	0	930.9090909	0.5	308.5460945
102	42.676451	408	1	1	0	0	0	930.9090909	0.5	307.5425745
103	43.089902	412	1	1	0	0	0	930.9090909	0.5	309.0189964
104	43.503791	416	1	1	0	0	0	930.9090909	0.5	308.9575564
105	43.91847	420	1	1	0	0	0	930.9090909	0.5	308.9352145
106	44.331888	424	1	1	0	0	0	930.9090909	0.5	308.3841164
107	44.745804	428	1	1	0	0	0	930.9090909	0.5	309.5700945
108	45.160759	432	1	1	0	0	0	930.9090909	0.5	309.0189964
109	45.574093	436	1	1	0	0	0	930.9090909	0.5	308.5535418
110	45.988086	440	1	1	0	0	0	930.9090909	0.5	308.8495709
111	46.401732	444	1	1	0	0	0	930.9090909	0.5	308.4678982
112	46.815325	448	1	1	0	0	0	930.9090909	0.5	308.4790691
113	47.229647	452	1	1	0	0	0	930.9090909	0.5	308.0192
114	47.643053	456	1	1	0	0	0	930.9090909	0.5	308.5181673
115	48.05644	460	1	1	0	0	0	930.9090909	0.5	308.9184582
116	48.470422	464	1	1	0	0	0	930.9090909	0.5	308.2612364
117	48.884146	468	1	1	0	0	0	930.9090909	0.5	308.4530036
118	49.297666	472	1	1	0	0	0	930.9090909	0.5	308.9165964
119	49.712052	476	1	1	0	0	0	930.9090909	0.5	308.4772073
120	50.131871	480	1	1	0	0	0	930.9090909	0.5	309.7488291
121	50.546136	484	1	1	0	0	0	930.9090909	0.5	308.34688
122	50.95953	488	1	1	0	0	0	930.9090909	0.5	308.9370764
123	51.373221	492	1	1	0	0	0	930.9090909	0.5	309.1958691
124	51.787059	496	1	1	0	0	0	930.9090909	0.5	308.5274764
125	52.200899	500	1	1	0	0	0	930.9090909	0.5	307.0138182
126	52.614402	504	1	1	0	0	0	930.9090909	0.5	309.5868509
127	53.029131	508	1	1	0	0	0	930.9090909	0.5	308.7211055
128	53.443232	512	1	1	0	0	0	930.9090909	0.5	308.6038109
129	53.857642	516	1	1	0	0	0	930.9090909	0.5	307.6617309
130	54.271664	520	1	1	0	0	0	930.9090909	0.5	308.4213527
131	54.685168	524	1	1	0	0	0	930.9090909	0.5	309.1307055
132	55.099263	528	1	1	0	0	0	930.9090909	0.5	308.5591273
133	55.513275	532	1	1	0	0	0	930.9090909	0.5	308.2146909
134	55.927169	536	1	1	0	0	0	930.9090909	0.5	308.1774545
135	56.342094	540	1	1	0	0	0	930.9090909	0.5	308.3748073
136	56.7559	544	1	1	0	0	0	930.9090909	0.5	308.8942545
137	57.169976	548	1	1	0	0	0	930.9090909	0.5	309.1958691
138	57.584341	552	1	1	0	0	0	930.9090909	0.5	309.5030691
139	57.998244	556	1	1	0	0	0	930.9090909	0.5	308.3319855
140	58.412163	560	1	1	0	0	0	930.9090909	0.5	308.8384
141	58.826977	564	1	1	0	0	0	930.9090909	0.5	309.4900364
142	59.24093	568	1	1	0	0	0	930.9090909	0.5	308.9761745
143	59.655197	572	1	1	0	0	0	930.9090909	0.5	307.0268509
144	60.070926	576	1	1	0	0	0	930.9090909	0.5	309.4658327
145	60.484859	580	1	1	0	0	0	930.9090909	0.5	307.7548218
146	60.898554	584	1	1	0	0	0	930.9090909	0.5	309.06368
147	61.313148	588	1	1	0	0	0	930.9090909	0.5	309.0078255
