#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012776	0	0	0	0	0	0	911.0320285	0.5	303.1859929
1	0.757097	4	1	1	0	0	0	911.0320285	0.5	303.7399004
2	1.21029	8	1	1	0	0	0	911.0320285	0.5	302.9381922
3	1.662845	12	1	1	0	0	0	911.0320285	0.5	303.1167544
4	2.117317	16	1	1	0	0	0	911.0320285	0.5	302.3569537
5	2.572359	20	1	1	0	0	0	911.0320285	0.5	303.1586619
6	3.025056	24	1	1	0	0	0	911.0320285	0.5	303.1258648
7	3.477667	28	1	1	0	0	0	911.0320285	0.5	303.0402278
8	3.932409	32	1	1	0	0	0	911.0320285	0.5	303.3536228
9	4.383975	36	1	1	0	0	0	911.0320285	0.5	302.9363701
10	4.835486	40	1	1	0	0	0	911.0320285	0.5	304.4997011
11	5.288495	44	1	1	0	0	0	911.0320285	0.5	303.3262918
12	5.739787	48	1	1	0	0	0	911.0320285	0.5	302.1711032
13	6.191289	52	1	1	0	0	0	911.0320285	0.5	303.7909181
14	6.644143	56	1	1	0	0	0	911.0320285	0.5	302.6247972
15	7.096063	60	1	1	0	0	0	911.0320285	0.5	304.3685125
16	7.548083	64	1	1	0	0	0	911.0320285	0.5	303.0784911
17	8.000176	68	1	1	0	0	0	911.0320285	0.5	303.4702349
18	8.451954	72	1	1	0	0	0	911.0320285	0.5	301.8668185
19	8.903667	76	1	1	0	0	0	911.0320285	0.5	302.1547046
20	9.355239	80	1	1	0	0	0	911.0320285	0.5	303.3153594
21	9.806963	84	1	1	0	0	0	911.0320285	0.5	304.0788043
22	10.259181	88	1	1	0	0	0	911.0320285	0.5	303.5230747
23	10.711341	92	1	1	0	0	0	911.0320285	0.5	302.2567402
24	11.163086	96	1	1	0	0	0	911.0320285	0.5	304.0350747
25	11.615254	100	1	1	0	0	0	911.0320285	0.5	304.0022776
26	12.068393	104	1	1	0	0	0	911.0320285	0.5	302.7486975
27	12.520209	108	1	1	0	0	0	911.0320285	0.5	303.4028185
28	12.973522	112	1	1	0	0	0	911.0320285	0.5	303.3663772
29	13.426653	116	1	1	0	0	0	911.0320285	0.5	303.6269324
30	13.88159	120	1	1	0	0	0	911.0320285	0.5	303.7890961
31	14.333599	124	1	1	0	0	0	911.0320285	0.5	303.9221068
32	14.786349	128	1	1	0	0	0	911.0320285	0.5	302.6758149
33	15.238262	132	1	1	0	0	0	911.0320285	0.5	303.4119288
34	15.690068	136	1	1	0	0	0	911.0320285	0.5	301.8340214
35	16.142208	140	1	1	0	0	0	911.0320285	0.5	303.2297224
36	16.594403	144	1	1	0	0	0	911.0320285	0.5	303.6050676
37	17.046391	148	1	1	0	0	0	911.0320285	0.5	303.7344342
38	17.49908	152	1	1	0	0	0	911.0320285	0.5	303.8364698
39	17.951498	156	1	1	0	0	0	911.0320285	0.5	302.3715302
40	18.402806	160	1	1	0	0	0	911.0320285	0.5	303.1258648
41	18.855357	164	1	1	0	0	0	911.0320285	0.5	303.160484
42	19.307246	168	1	1	0	0	0	911.0320285	0.5	303.4629466
43	19.759227	172	1	1	0	0	0	911.0320285	0.5	302.3150463
44	20.211949	176	1	1	0	0	0	911.0320285	0.5	302.592
45	20.663299	180	1	1	0	0	0	911.0320285	0.5	301.9743203
46	21.115082	184	1	1	0	0	0	911.0320285	0.5	302.9363701
47	21.567582	188	1	1	0	0	0	911.0320285	0.5	302.3059359
48	22.019376	192	1	1	0	0	0	911.0320285	0.5	303.9785907
49	22.471047	196	1	1	0	0	0	911.0320285	0.5	303.6068897
50	22.922645	200	1	1	0	0	0	911.0320285	0.5	302.9454804
51	23.374886	204	1	1	0	0	0	911.0320285	0.5	303.7909181
52	23.829787	208	1	1	0	0	0	911.0320285	0.5	303.7399004
53	24.281573	212	1	1	0	0	0	911.0320285	0.5	302.6339075
54	24.733872	216	1	1	0	0	0	911.0320285	0.5	303.275274
55	25.185559	220	1	1	0	0	0	911.0320285	0.5	303.3572669
56	25.637235	224	1	1	0	0	0	911.0320285	0.5	303.1495516
57	26.089094	228	1	1	0	0	0	911.0320285	0.5	303.7672313
58	26.541499	232	1	1	0	0	0	911.0320285	0.5	303.3718434
59	26.993303	236	1	1	0	0	0	911.0320285	0.5	303.4866335
60	27.445074	240	1	1	0	0	0	911.0320285	0.5	302.9090391
61	27.89731	244	1	1	0	0	0	911.0320285	0.5	302.8561993
62	28.348979	248	1	1	0	0	0	911.0320285	0.5	303.2862064
63	28.800971	252	1	1	0	0	0	911.0320285	0.5	304.383089
64	29.253412	256	1	1	0	0	0	911.0320285	0.5	302.4243701
65	29.705263	260	1	1	0	0	0	911.0320285	0.5	303.3645552
66	30.157121	264	1	1	0	0	0	911.0320285	0.5	303.4920996
67	30.609415	268	1	1	0	0	0	911.0320285	0.5	302.7833167
68	31.061452	272	1	1	0	0	0	911.0320285	0.5	303.6870605
69	31.513539	276	1	1	0	0	0	911.0320285	0.5	304.4486833
70	31.966081	280	1	1	0	0	0	911.0320285	0.5	304.0551174
71	32.418338	284	1	1	0	0	0	911.0320285	0.5	303.3700214
72	32.869885	288	1	1	0	0	0	911.0320285	0.5	302.8161139
73	33.322198	292	1	1	0	0	0	911.0320285	0.5	303.2242562
74	33.776213	296	1	1	0	0	0	911.0320285	0.5	303.6506192
75	34.228936	300	1	1	0	0	0	911.0320285	0.5	303.4848114
76	34.680908	304	1	1	0	0	0	911.0320285	0.5	304.0897367
77	35.133175	308	1	1	0	0	0	911.0320285	0.5	303.4611246
78	35.585259	312	1	1	0	0	0	911.0320285	0.5	303.8619786
79	36.037903	316	1	1	0	0	0	911.0320285	0.5	303.5558719
80	36.489809	320	1	1	0	0	0	911.0320285	0.5	303.2825623
81	36.942039	324	1	1	0	0	0	911.0320285	0.5	303.6032456
82	37.393998	328	1	1	0	0	0	911.0320285	0.5	303.4520142
83	37.845691	332	1	1	0	0	0	911.0320285	0.5	304.1498648
84	38.297947	336	1	1	0	0	0	911.0320285	0.5	304.3685125
85	38.749602	340	1	1	0	0	0	911.0320285	0.5	303.8000285
86	39.202161	344	1	1	0	0	0	911.0320285	0.5	303.359089
87	39.653853	348	1	1	0	0	0	911.0320285	0.5	303.2424769
88	40.106217	352	1	1	0	0	0	911.0320285	0.5	302.278605
89	40.557351	356	1	1	0	0	0	911.0320285	0.5	303.8218932
90	41.010078	360	1	1	0	0	0	911.0320285	0.5	304.5361423
91	41.462212	364	1	1	0	0	0	911.0320285	0.5	303.4501922
92	41.914231	368	1	1	0	0	0	911.0320285	0.5	304.1371103
93	42.367213	372	1	1	0	0	0	911.0320285	0.5	304.4268185
94	42.81893	376	1	1	0	0	0	911.0320285	0.5	302.9017509
95	43.2714	380	1	1	0	0	0	911.0320285	0.5	303.9621922
96	43.724222	384	1	1	0	0	0	911.0320285	0.5	302.6667046
97	44.178075	388	1	1	0	0	0	911.0320285	0.5	302.8179359
98	44.629531	392	1	1	0	0	0	911.0320285	0.5	303.1349751
99	45.081893	396	1	1	0	0	0	911.0320285	0.5	302.4261922
100	45.54821	400	1	1	0	0	0	911.0320285	0.5	270.3888399
101	45.999336	404	1	1	0	0	0	911.0320285	0.5	269.2208968
102	46.450097	408	1	1	0	0	0	911.0320285	0.5	269.9497224
103	46.900634	412	1	1	0	0	0	911.0320285	0.5	269.510605
104	47.352193	416	1	1	0	0	0	911.0320285	0.5	268.7908897
105	47.803052	420	1	1	0	0	0	911.0320285	0.5	269.5215374
106	48.253597	424	1	1	0	0	0	911.0320285	0.5	269.3028897
107	48.704186	428	1	1	0	0	0	911.0320285	0.5	268.8218648
108	49.15494	432	1	1	0	0	0	911.0320285	0.5	269.2172527
109	49.605689	436	1	1	0	0	0	911.0320285	0.5	269.7474733
110	50.056303	440	1	1	0	0	0	911.0320285	0.5	270.2357865
111	50.507459	444	1	1	0	0	0	911.0320285	0.5	268.116726
112	50.958133	448	1	1	0	0	0	911.0320285	0.5	269.0824199
113	51.408428	452	1	1	0	0	0	911.0320285	0.5	270.3833737
114	51.859552	456	1	1	0	0	0	911.0320285	0.5	269.4031032
115	52.310422	460	1	1	0	0	0	911.0320285	0.5	268.0839288
116	52.760397	464	1	1	0	0	0	911.0320285	0.5	270.6730819
117	53.212136	468	1	1	0	0	0	911.0320285	0.5	270.0572242
118	53.662824	472	1	1	0	0	0	911.0320285	0.5	269.7237865
119	54.116293	476	1	1	0	0	0	911.0320285	0.5	269.1680569
120	54.56709	480	1	1	0	0	0	911.0320285	0.5	270.3032028
121	55.018213	484	1	1	0	0	0	911.0320285	0.5	270.2120996
122	55.469189	488	1	1	0	0	0	911.0320285	0.5	269.2609822
123	55.920112	492	1	1	0	0	0	911.0320285	0.5	270.4362135
124	56.371069	496	1	1	0	0	0	911.0320285	0.5	269.6928114
125	56.821547	500	1	1	0	0	0	911.0320285	0.5	269.0077153
126	57.272279	504	1	1	0	0	0	911.0320285	0.5	269.9460783
127	57.722854	508	1	1	0	0	0	911.0320285	0.5	270.308669
128	58.173711	512	1	1	0	0	0	911.0320285	0.5	270.1009537
129	58.624474	516	1	1	0	0	0	911.0320285	0.5	269.7183203
130	59.075459	520	1	1	0	0	0	911.0320285	0.5	269.8403986
131	59.525833	524	1	1	0	0	0	911.0320285	0.5	268.9767402
132	59.976569	528	1	1	0	0	0	911.0320285	0.5	269.6436157
133	60.428015	532	1	1	0	0	0	911.0320285	0.5	269.9114591
134	60.878596	536	1	1	0	0	0	911.0320285	0.5	270.051758
135	61.329803	540	1	1	0	0	0	911.0320285	0.5	269.5306477
136	61.780171	544	1	1	0	0	0	911.0320285	0.5	269.4559431
137	62.230988	548	1	1	0	0	0	911.0320285	0.5	269.9497224
138	62.681971	552	1	1	0	0	0	911.0320285	0.5	269.6727687
139	63.132989	556	1	1	0	0	0	911.0320285	0.5	269.4632313
140	63.583527	560	1	1	0	0	0	911.0320285	0.5	269.0696655
141	64.036155	564	1	1	0	0	0	911.0320285	0.5	269.2919573
142	64.487303	568	1	1	0	0	0	911.0320285	0.5	269.4158577
143	64.93746	572	1	1	0	0	0	911.0320285	0.5	268.6651673
144	65.387767	576	1	1	0	0	0	911.0320285	0.5	269.9005267
145	65.838616	580	1	1	0	0	0	911.0320285	0.5	269.9005267
146	66.289282	584	1	1	0	0	0	911.0320285	0.5	269.8859502
147	66.739968	588	1	1	0	0	0	911.0320285	0.5	269.6345053
148	67.19102	592	1	1	0	0	0	911.0320285	0.5	269.966121
149	67.641491	596	1	1	0	0	0	911.0320285	0.5	269.6035302
150	68.091944	600	1	1	0	0	0	911.0320285	0.5	269.0878861
151	68.542831	604	1	1	0	0	0	911.0320285	0.5	269.5288256
152	68.993015	608	1	1	0	0	0	911.0320285	0.5	270.0535801
153	69.443292	612	1	1	0	0	0	911.0320285	0.5	269.8094235
154	69.89438	616	1	1	0	0	0	911.0320285	0.5	270.4799431
155	70.345492	620	1	1	0	0	0	911.0320285	0.5	269.3611957
156	70.795415	624	1	1	0	0	0	911.0320285	0.5	268.7508043
157	71.245949	628	1	1	0	0	0	911.0320285	0.5	269.510605
158	71.696514	632	1	1	0	0	0	911.0320285	0.5	268.231516
159	72.146899	636	1	1	0	0	0	911.0320285	0.5	269.880484
160	72.597772	640	1	1	0	0	0	911.0320285	0.5	270.5510036
161	73.048869	644	1	1	0	0	0	911.0320285	0.5	268.4319431
162	73.499476	648	1	1	0	0	0	911.0320285	0.5	268.8455516
163	73.952109	652	1	1	0	0	0	911.0320285	0.5	268.9749181
164	74.403025	656	1	1	0	0	0	911.0320285	0.5	269.596242
165	74.853485	660	1	1	0	0	0	911.0320285	0.5	269.5834875
166	75.304056	664	1	1	0	0	0	911.0320285	0.5	268.9876726
167	75.754421	668	1	1	0	0	0	911.0320285	0.5	269.5725552
168	76.205399	672	1	1	0	0	0	911.0320285	0.5	269.8659075
169	76.655953	676	1	1	0	0	0	911.0320285	0.5	270.0043843
170	77.107751	680	1	1	0	0	0	911.0320285	0.5	270.4799431
171	77.55862	684	1	1	0	0	0	911.0320285	0.5	269.995274
172	78.009345	688	1	1	0	0	0	911.0320285	0.5	270.3250676
173	78.460599	692	1	1	0	0	0	911.0320285	0.5	269.4559431
174	78.911724	696	1	1	0	0	0	911.0320285	0.5	268.7890676
175	79.362147	700	1	1	0	0	0	911.0320285	0.5	269.19721
176	79.813135	704	1	1	0	0	0	911.0320285	0.5	269.4103915
177	80.263381	708	1	1	0	0	0	911.0320285	0.5	269.6217509
178	80.713767	712	1	1	0	0	0	911.0320285	0.5	269.6363274
179	81.164787	716	1	1	0	0	0	911.0320285	0.5	269.7729822
180	81.615012	720	1	1	0	0	0	911.0320285	0.5	269.8130676
181	82.06596	724	1	1	0	0	0	911.0320285	0.5	271.3745765
182	82.517189	728	1	1	0	0	0	911.0320285	0.5	269.5998861
183	82.967905	732	1	1	0	0	0	911.0320285	0.5	268.9494093
