#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.011749	0	0	0	0	0	0	853.3333333	0.5	263.2533333
1	0.70203	4	1	1	0	0	0	853.3333333	0.5	263.2379733
2	1.100178	8	1	1	0	0	0	853.3333333	0.5	263.1048533
3	1.498511	12	1	1	0	0	0	853.3333333	0.5	262.38976
4	1.896098	16	1	1	0	0	0	853.3333333	0.5	262.5092267
5	2.29346	20	1	1	0	0	0	853.3333333	0.5	262.81984
6	2.691576	24	1	1	0	0	0	853.3333333	0.5	263.1458133
7	3.089275	28	1	1	0	0	0	853.3333333	0.5	262.1525333
8	3.487647	32	1	1	0	0	0	853.3333333	0.5	262.5058133
9	3.88493	36	1	1	0	0	0	853.3333333	0.5	261.9460267
10	4.282637	40	1	1	0	0	0	853.3333333	0.5	263.0638933
11	4.679913	44	1	1	0	0	0	853.3333333	0.5	263.6458667
12	5.076667	48	1	1	0	0	0	853.3333333	0.5	262.20032
13	5.47399	52	1	1	0	0	0	853.3333333	0.5	263.04
14	5.871134	56	1	1	0	0	0	853.3333333	0.5	262.4341333
15	6.268321	60	1	1	0	0	0	853.3333333	0.5	264.34048
16	6.666317	64	1	1	0	0	0	853.3333333	0.5	263.3472
17	7.063529	68	1	1	0	0	0	853.3333333	0.5	263.8557867
18	7.460974	72	1	1	0	0	0	853.3333333	0.5	262.00576
19	7.85806	76	1	1	0	0	0	853.3333333	0.5	261.9972267
20	8.255363	80	1	1	0	0	0	853.3333333	0.5	263.0980267
21	8.65235	84	1	1	0	0	0	853.3333333	0.5	262.95296
22	9.049502	88	1	1	0	0	0	853.3333333	0.5	263.4001067
23	9.447295	92	1	1	0	0	0	853.3333333	0.5	263.0621867
24	9.844376	96	1	1	0	0	0	853.3333333	0.5	263.9121067
25	10.242249	100	1	1	0	0	0	853.3333333	0.5	263.21408
26	10.639664	104	1	1	0	0	0	853.3333333	0.5	262.78912
27	11.036618	108	1	1	0	0	0	853.3333333	0.5	263.3130667
28	11.434004	112	1	1	0	0	0	853.3333333	0.5	262.3778133
29	11.831834	116	1	1	0	0	0	853.3333333	0.5	262.6628267
30	12.229674	120	1	1	0	0	0	853.3333333	0.5	263.35744
31	12.627106	124	1	1	0	0	0	853.3333333	0.5	263.2840533
32	13.024443	128	1	1	0	0	0	853.3333333	0.5	263.0229333
33	13.421933	132	1	1	0	0	0	853.3333333	0.5	263.76704
34	13.818725	136	1	1	0	0	0	853.3333333	0.5	262.8676267
35	14.216102	140	1	1	0	0	0	853.3333333	0.5	262.4733867
36	14.613434	144	1	1	0	0	0	853.3333333	0.5	263.0877867
37	15.010537	148	1	1	0	0	0	853.3333333	0.5	263.7994667
38	15.408625	152	1	1	0	0	0	853.3333333	0.5	263.6919467
39	15.806271	156	1	1	0	0	0	853.3333333	0.5	263.9547733
40	16.204169	160	1	1	0	0	0	853.3333333	0.5	263.17312
41	16.601522	164	1	1	0	0	0	853.3333333	0.5	263.0178133
42	16.999008	168	1	1	0	0	0	853.3333333	0.5	263.02464
43	17.396649	172	1	1	0	0	0	853.3333333	0.5	262.7293867
44	17.79351	176	1	1	0	0	0	853.3333333	0.5	262.75328
45	18.190454	180	1	1	0	0	0	853.3333333	0.5	261.70368
46	18.58762	184	1	1	0	0	0	853.3333333	0.5	262.3829333
47	18.985092	188	1	1	0	0	0	853.3333333	0.5	262.7874133
48	19.382025	192	1	1	0	0	0	853.3333333	0.5	263.0075733
49	19.779144	196	1	1	0	0	0	853.3333333	0.5	263.56736
50	20.176671	200	1	1	0	0	0	853.3333333	0.5	263.08608
51	20.573703	204	1	1	0	0	0	853.3333333	0.5	262.6986667
52	20.970844	208	1	1	0	0	0	853.3333333	0.5	262.95808
53	21.368728	212	1	1	0	0	0	853.3333333	0.5	262.6218667
54	21.765911	216	1	1	0	0	0	853.3333333	0.5	262.3061333
55	22.162627	220	1	1	0	0	0	853.3333333	0.5	262.6935467
56	22.559737	224	1	1	0	0	0	853.3333333	0.5	262.1559467
57	22.957317	228	1	1	0	0	0	853.3333333	0.5	263.22432
58	23.354861	232	1	1	0	0	0	853.3333333	0.5	263.2704
59	23.752052	236	1	1	0	0	0	853.3333333	0.5	262.7242667
60	24.149323	240	1	1	0	0	0	853.3333333	0.5	262.49728
61	24.546753	244	1	1	0	0	0	853.3333333	0.5	262.6167467
62	24.94338	248	1	1	0	0	0	853.3333333	0.5	262.528
63	25.340808	252	1	1	0	0	0	853.3333333	0.5	263.6782933
64	25.738099	256	1	1	0	0	0	853.3333333	0.5	262.46144
65	26.134746	260	1	1	0	0	0	853.3333333	0.5	262.9393067
66	26.531878	264	1	1	0	0	0	853.3333333	0.5	262.0245333
67	26.928872	268	1	1	0	0	0	853.3333333	0.5	262.47168
68	27.328329	272	1	1	0	0	0	853.3333333	0.5	263.9479467
69	27.726522	276	1	1	0	0	0	853.3333333	0.5	263.0690133
70	28.124175	280	1	1	0	0	0	853.3333333	0.5	264.2107733
71	28.521508	284	1	1	0	0	0	853.3333333	0.5	263.3966933
72	28.918257	288	1	1	0	0	0	853.3333333	0.5	262.79424
73	29.315769	292	1	1	0	0	0	853.3333333	0.5	263.0024533
74	29.713073	296	1	1	0	0	0	853.3333333	0.5	262.8488533
75	30.110231	300	1	1	0	0	0	853.3333333	0.5	263.45472
76	30.507841	304	1	1	0	0	0	853.3333333	0.5	262.6116267
77	30.904994	308	1	1	0	0	0	853.3333333	0.5	262.40512
78	31.301844	312	1	1	0	0	0	853.3333333	0.5	263.01952
79	31.69933	316	1	1	0	0	0	853.3333333	0.5	262.62016
80	32.096294	320	1	1	0	0	0	853.3333333	0.5	262.85568
81	32.493028	324	1	1	0	0	0	853.3333333	0.5	263.30112
82	32.890375	328	1	1	0	0	0	853.3333333	0.5	263.95136
83	33.288208	332	1	1	0	0	0	853.3333333	0.5	264.02304
84	33.68561	336	1	1	0	0	0	853.3333333	0.5	263.7312
85	34.083056	340	1	1	0	0	0	853.3333333	0.5	263.1338667
86	34.480509	344	1	1	0	0	0	853.3333333	0.5	263.4222933
87	34.877325	348	1	1	0	0	0	853.3333333	0.5	263.3335467
88	35.275206	352	1	1	0	0	0	853.3333333	0.5	261.60128
89	35.671971	356	1	1	0	0	0	853.3333333	0.5	263.9940267
90	36.06954	360	1	1	0	0	0	853.3333333	0.5	263.9291733
91	36.467007	364	1	1	0	0	0	853.3333333	0.5	262.79424
92	36.864115	368	1	1	0	0	0	853.3333333	0.5	262.8386133
93	37.261338	372	1	1	0	0	0	853.3333333	0.5	262.85568
94	37.661823	376	1	1	0	0	0	853.3333333	0.5	263.3352533
95	38.059127	380	1	1	0	0	0	853.3333333	0.5	262.9888
96	38.456389	384	1	1	0	0	0	853.3333333	0.5	263.04512
97	38.853761	388	1	1	0	0	0	853.3333333	0.5	262.58944
98	39.250666	392	1	1	0	0	0	853.3333333	0.5	263.3813333
99	39.647979	396	1	1	0	0	0	853.3333333	0.5	263.56224
100	40.059692	400	1	1	0	0	0	853.3333333	0.5	236.76416
101	40.457056	404	1	1	0	0	0	853.3333333	0.5	234.9789867
102	40.853099	408	1	1	0	0	0	853.3333333	0.5	235.0728533
103	41.249789	412	1	1	0	0	0	853.3333333	0.5	235.9586133
104	41.646149	416	1	1	0	0	0	853.3333333	0.5	235.1598933
105	42.042582	420	1	1	0	0	0	853.3333333	0.5	236.6242133
106	42.439521	424	1	1	0	0	0	853.3333333	0.5	235.24352
107	42.836296	428	1	1	0	0	0	853.3333333	0.5	237.2693333
108	43.23322	432	1	1	0	0	0	853.3333333	0.5	235.7435733
109	43.63022	436	1	1	0	0	0	853.3333333	0.5	235.3117867
110	44.027608	440	1	1	0	0	0	853.3333333	0.5	235.9108267
111	44.425176	444	1	1	0	0	0	853.3333333	0.5	235.6497067
112	44.822493	448	1	1	0	0	0	853.3333333	0.5	235.4295467
113	45.219408	452	1	1	0	0	0	853.3333333	0.5	236.16
114	45.616647	456	1	1	0	0	0	853.3333333	0.5	235.38688
115	46.013386	460	1	1	0	0	0	853.3333333	0.5	235.8340267
116	46.410138	464	1	1	0	0	0	853.3333333	0.5	235.47904
117	46.80713	468	1	1	0	0	0	853.3333333	0.5	235.3237333
118	47.204128	472	1	1	0	0	0	853.3333333	0.5	235.9108267
119	47.600968	476	1	1	0	0	0	853.3333333	0.5	235.1342933
120	47.997982	480	1	1	0	0	0	853.3333333	0.5	236.2402133
121	48.395067	484	1	1	0	0	0	853.3333333	0.5	235.1991467
122	48.791585	488	1	1	0	0	0	853.3333333	0.5	236.2231467
123	49.188756	492	1	1	0	0	0	853.3333333	0.5	235.8408533
124	49.585876	496	1	1	0	0	0	853.3333333	0.5	235.0523733
125	49.981721	500	1	1	0	0	0	853.3333333	0.5	235.4824533
126	50.378588	504	1	1	0	0	0	853.3333333	0.5	236.4279467
127	50.77506	508	1	1	0	0	0	853.3333333	0.5	235.5541333
128	51.171739	512	1	1	0	0	0	853.3333333	0.5	234.9346133
129	51.56861	516	1	1	0	0	0	853.3333333	0.5	235.5985067
130	51.965459	520	1	1	0	0	0	853.3333333	0.5	235.8442667
131	52.362186	524	1	1	0	0	0	853.3333333	0.5	235.75552
132	52.758413	528	1	1	0	0	0	853.3333333	0.5	235.7486933
133	53.155694	532	1	1	0	0	0	853.3333333	0.5	235.2503467
134	53.552734	536	1	1	0	0	0	853.3333333	0.5	235.1735467
135	53.949378	540	1	1	0	0	0	853.3333333	0.5	235.9790933
136	54.346825	544	1	1	0	0	0	853.3333333	0.5	236.3784533
137	54.743307	548	1	1	0	0	0	853.3333333	0.5	236.3579733
138	55.140002	552	1	1	0	0	0	853.3333333	0.5	234.8868267
139	55.536543	556	1	1	0	0	0	853.3333333	0.5	236.0814933
140	55.933483	560	1	1	0	0	0	853.3333333	0.5	234.9960533
141	56.329819	564	1	1	0	0	0	853.3333333	0.5	235.1854933
142	56.726302	568	1	1	0	0	0	853.3333333	0.5	236.1719467
143	57.123254	572	1	1	0	0	0	853.3333333	0.5	235.6292267
144	57.51991	576	1	1	0	0	0	853.3333333	0.5	236.07808
145	57.916777	580	1	1	0	0	0	853.3333333	0.5	235.3442133
146	58.313364	584	1	1	0	0	0	853.3333333	0.5	235.1581867
147	58.710039	588	1	1	0	0	0	853.3333333	0.5	234.9482667
148	59.106962	592	1	1	0	0	0	853.3333333	0.5	236.19584
149	59.503493	596	1	1	0	0	0	853.3333333	0.5	235.82208
150	59.899953	600	1	1	0	0	0	853.3333333	0.5	235.85792
151	60.297056	604	1	1	0	0	0	853.3333333	0.5	236.8119467
152	60.693807	608	1	1	0	0	0	853.3333333	0.5	236.5576533
153	61.090158	612	1	1	0	0	0	853.3333333	0.5	235.5182933
154	61.487332	616	1	1	0	0	0	853.3333333	0.5	235.6753067
155	61.883709	620	1	1	0	0	0	853.3333333	0.5	234.9755733
156	62.280056	624	1	1	0	0	0	853.3333333	0.5	235.3664
157	62.676719	628	1	1	0	0	0	853.3333333	0.5	235.43296
158	63.073263	632	1	1	0	0	0	853.3333333	0.5	234.4482133
159	63.469795	636	1	1	0	0	0	853.3333333	0.5	236.9314133
160	63.866857	640	1	1	0	0	0	853.3333333	0.5	236.7931733
161	64.263875	644	1	1	0	0	0	853.3333333	0.5	234.6222933
162	64.659903	648	1	1	0	0	0	853.3333333	0.5	234.7093333
163	65.056312	652	1	1	0	0	0	853.3333333	0.5	235.4414933
164	65.453526	656	1	1	0	0	0	853.3333333	0.5	235.0574933
165	65.849704	660	1	1	0	0	0	853.3333333	0.5	235.35616
166	66.24597	664	1	1	0	0	0	853.3333333	0.5	235.2776533
167	66.64217	668	1	1	0	0	0	853.3333333	0.5	235.5387733
168	67.039163	672	1	1	0	0	0	853.3333333	0.5	236.68736
169	67.435729	676	1	1	0	0	0	853.3333333	0.5	235.9330133
170	67.832349	680	1	1	0	0	0	853.3333333	0.5	235.33056
171	68.229384	684	1	1	0	0	0	853.3333333	0.5	235.1530667
172	68.625836	688	1	1	0	0	0	853.3333333	0.5	234.32704
173	69.022112	692	1	1	0	0	0	853.3333333	0.5	234.8970667
174	69.419234	696	1	1	0	0	0	853.3333333	0.5	234.8578133
175	69.815859	700	1	1	0	0	0	853.3333333	0.5	235.74016
176	70.212558	704	1	1	0	0	0	853.3333333	0.5	235.9534933
177	70.609402	708	1	1	0	0	0	853.3333333	0.5	235.77088
178	71.00571	712	1	1	0	0	0	853.3333333	0.5	234.7776
179	71.402457	716	1	1	0	0	0	853.3333333	0.5	236.0541867
180	71.79911	720	1	1	0	0	0	853.3333333	0.5	237.0816
181	72.196377	724	1	1	0	0	0	853.3333333	0.5	235.8766933
182	72.592717	728	1	1	0	0	0	853.3333333	0.5	235.25376
183	72.989464	732	1	1	0	0	0	853.3333333	0.5	234.84416
184	73.386306	736	1	1	0	0	0	853.3333333	0.5	234.5966933
185	73.782961	740	1	1	0	0	0	853.3333333	0.5	235.35104
186	74.179088	744	1	1	0	0	0	853.3333333	0.5	236.4433067
187	74.575946	748	1	1	0	0	0	853.3333333	0.5	234.8731733
188	74.972447	752	1	1	0	0	0	853.3333333	0.5	234.8066133
189	75.369063	756	1	1	0	0	0	853.3333333	0.5	235.04384
190	75.765998	760	1	1	0	0	0	853.3333333	0.5	235.8852267
191	76.162651	764	1	1	0	0	0	853.3333333	0.5	235.25888
192	76.558756	768	1	1	0	0	0	853.3333333	0.5	235.4141867
193	76.955576	772	1	1	0	0	0	853.3333333	0.5	235.68384
194	77.352824	776	1	1	0	0	0	853.3333333	0.5	234.89024
195	77.74914	780	1	1	0	0	0	853.3333333	0.5	235.3937067
196	78.145119	784	1	1	0	0	0	853.3333333	0.5	235.97056
197	78.541995	788	1	1	0	0	0	853.3333333	0.5	234.9243733
198	78.938396	792	1	1	0	0	0	853.3333333	0.5	235.0301867
199	79.335172	796	1	1	0	0	0	853.3333333	0.5	235.9825067
200	79.738301	800	1	1	0	0	0	853.3333333	0.5	207.3344
201	80.133835	804	1	1	0	0	0	853.3333333	0.5	207.71328
202	80.529077	808	1	1	0	0	0	853.3333333	0.5	207.1586133
203	80.924308	812	1	1	0	0	0	853.3333333	0.5	207.1637333
204	81.320267	816	1	1	0	0	0	853.3333333	0.5	207.9726933
205	81.716144	820	1	1	0	0	0	853.3333333	0.5	208.08704
206	82.11168	824	1	1	0	0	0	853.3333333	0.5	208.59392
207	82.507166	828	1	1	0	0	0	853.3333333	0.5	208.0477867
208	82.902808	832	1	1	0	0	0	853.3333333	0.5	207.7405867
209	83.298143	836	1	1	0	0	0	853.3333333	0.5	206.7899733
210	83.693363	840	1	1	0	0	0	853.3333333	0.5	207.18592
211	84.089585	844	1	1	0	0	0	853.3333333	0.5	207.2917333
212	84.485065	848	1	1	0	0	0	853.3333333	0.5	207.40608
213	84.8808	852	1	1	0	0	0	853.3333333	0.5	207.1313067
214	85.27592	856	1	1	0	0	0	853.3333333	0.5	207.1483733
215	85.672008	860	1	1	0	0	0	853.3333333	0.5	207.0254933
216	86.067805	864	1	1	0	0	0	853.3333333	0.5	207.5118933
217	86.463483	868	1	1	0	0	0	853.3333333	0.5	208.7202133
218	86.859073	872	1	1	0	0	0	853.3333333	0.5	207.6074667
219	87.255316	876	1	1	0	0	0	853.3333333	0.5	206.9213867
220	87.650837	880	1	1	0	0	0	853.3333333	0.5	207.4794667
221	88.046046	884	1	1	0	0	0	853.3333333	0.5	207.93344
222	88.441566	888	1	1	0	0	0	853.3333333	0.5	207.5272533
223	88.836546	892	1	1	0	0	0	853.3333333	0.5	207.9675733
224	89.23224	896	1	1	0	0	0	853.3333333	0.5	207.34976
225	89.627575	900	1	1	0	0	0	853.3333333	0.5	207.5579733
226	90.023208	904	1	1	0	0	0	853.3333333	0.5	207.1176533
227	90.418687	908	1	1	0	0	0	853.3333333	0.5	207.3002667
228	90.814091	912	1	1	0	0	0	853.3333333	0.5	206.8565333
229	91.209816	916	1	1	0	0	0	853.3333333	0.5	207.21664
230	91.605289	920	1	1	0	0	0	853.3333333	0.5	206.5664
231	92.000686	924	1	1	0	0	0	853.3333333	0.5	207.7559467
232	92.396484	928	1	1	0	0	0	853.3333333	0.5	206.72
233	92.791694	932	1	1	0	0	0	853.3333333	0.5	207.73376
234	93.18679	936	1	1	0	0	0	853.3333333	0.5	207.33952
235	93.582538	940	1	1	0	0	0	853.3333333	0.5	206.3633067
236	93.976726	944	1	1	0	0	0	853.3333333	0.5	206.9230933
237	94.372118	948	1	1	0	0	0	853.3333333	0.5	207.6433067
238	94.767313	952	1	1	0	0	0	853.3333333	0.5	207.72864
239	95.16265	956	1	1	0	0	0	853.3333333	0.5	208.0682667
240	95.558306	960	1	1	0	0	0	853.3333333	0.5	207.93856
