#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.011896	0	0	0	0	0	0	890.4347826	0.5	300.0409043
1	0.699618	4	1	1	0	0	0	890.4347826	0.5	300.7532522
2	1.094914	8	1	1	0	0	0	890.4347826	0.5	300.0907687
3	1.490155	12	1	1	0	0	0	890.4347826	0.5	299.2359513
4	1.884138	16	1	1	0	0	0	890.4347826	0.5	299.7702122
5	2.279051	20	1	1	0	0	0	890.4347826	0.5	299.7434991
6	2.673695	24	1	1	0	0	0	890.4347826	0.5	300.48256
7	3.068282	28	1	1	0	0	0	890.4347826	0.5	299.2163617
8	3.463468	32	1	1	0	0	0	890.4347826	0.5	299.6045913
9	3.858091	36	1	1	0	0	0	890.4347826	0.5	298.9973148
10	4.252008	40	1	1	0	0	0	890.4347826	0.5	299.9839165
11	4.646156	44	1	1	0	0	0	890.4347826	0.5	300.9847652
12	5.040747	48	1	1	0	0	0	890.4347826	0.5	299.1344417
13	5.434788	52	1	1	0	0	0	890.4347826	0.5	300.1263861
14	5.828945	56	1	1	0	0	0	890.4347826	0.5	299.2715687
15	6.223416	60	1	1	0	0	0	890.4347826	0.5	301.4834087
16	6.618896	64	1	1	0	0	0	890.4347826	0.5	300.2937878
17	7.013373	68	1	1	0	0	0	890.4347826	0.5	300.9135304
18	7.407707	72	1	1	0	0	0	890.4347826	0.5	299.0382748
19	7.80401	76	1	1	0	0	0	890.4347826	0.5	298.817447
20	8.198619	80	1	1	0	0	0	890.4347826	0.5	300.2243339
21	8.592875	84	1	1	0	0	0	890.4347826	0.5	299.9482991
22	8.987144	88	1	1	0	0	0	890.4347826	0.5	300.4362574
23	9.382522	92	1	1	0	0	0	890.4347826	0.5	300.2457043
24	9.776703	96	1	1	0	0	0	890.4347826	0.5	301.4406678
25	10.171774	100	1	1	0	0	0	890.4347826	0.5	300.1103583
26	10.566766	104	1	1	0	0	0	890.4347826	0.5	300.1192626
27	10.961062	108	1	1	0	0	0	890.4347826	0.5	300.2350191
28	11.355214	112	1	1	0	0	0	890.4347826	0.5	299.5333565
29	11.751065	116	1	1	0	0	0	890.4347826	0.5	299.7221287
30	12.145714	120	1	1	0	0	0	890.4347826	0.5	300.6784557
31	12.53995	124	1	1	0	0	0	890.4347826	0.5	300.3436522
32	12.934806	128	1	1	0	0	0	890.4347826	0.5	300.2724174
33	13.329307	132	1	1	0	0	0	890.4347826	0.5	300.5555757
34	13.72335	136	1	1	0	0	0	890.4347826	0.5	300.0213148
35	14.117867	140	1	1	0	0	0	890.4347826	0.5	299.7078817
36	14.51274	144	1	1	0	0	0	890.4347826	0.5	300.3525565
37	14.907393	148	1	1	0	0	0	890.4347826	0.5	300.7657183
38	15.302574	152	1	1	0	0	0	890.4347826	0.5	300.9990122
39	15.699751	156	1	1	0	0	0	890.4347826	0.5	300.8440765
40	16.094311	160	1	1	0	0	0	890.4347826	0.5	300.4059826
41	16.489061	164	1	1	0	0	0	890.4347826	0.5	300.292007
42	16.884012	168	1	1	0	0	0	890.4347826	0.5	300.2813217
43	17.278996	172	1	1	0	0	0	890.4347826	0.5	299.9019965
44	17.673038	176	1	1	0	0	0	890.4347826	0.5	299.7559652
45	18.06957	180	1	1	0	0	0	890.4347826	0.5	298.6767583
46	18.464181	184	1	1	0	0	0	890.4347826	0.5	299.5084243
47	18.858883	188	1	1	0	0	0	890.4347826	0.5	299.9304904
