#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.01079	0	0	0	0	0	0	870.7482993	0.5	271.6490884
1	0.725568	4	1	1	0	0	0	870.7482993	0.5	272.4937143
2	1.14879	8	1	1	0	0	0	870.7482993	0.5	271.885932
3	1.571903	12	1	1	0	0	0	870.7482993	0.5	271.4627483
4	1.994466	16	1	1	0	0	0	870.7482993	0.5	270.9542313
5	2.41647	20	1	1	0	0	0	870.7482993	0.5	271.1945578
6	2.839037	24	1	1	0	0	0	870.7482993	0.5	271.616
7	3.261824	28	1	1	0	0	0	870.7482993	0.5	271.5149932
8	3.68481	32	1	1	0	0	0	870.7482993	0.5	271.6769524
9	4.107092	36	1	1	0	0	0	870.7482993	0.5	271.2224218
10	4.566346	40	1	1	0	0	0	870.7482993	0.5	272.5825306
11	4.989516	44	1	1	0	0	0	870.7482993	0.5	271.8406531
12	5.41173	48	1	1	0	0	0	870.7482993	0.5	270.6564354
13	5.834272	52	1	1	0	0	0	870.7482993	0.5	272.3961905
14	6.256537	56	1	1	0	0	0	870.7482993	0.5	271.4662313
15	6.679619	60	1	1	0	0	0	870.7482993	0.5	273.0927891
16	7.10245	64	1	1	0	0	0	870.7482993	0.5	271.7657687
17	7.525066	68	1	1	0	0	0	870.7482993	0.5	271.6212245
18	7.946983	72	1	1	0	0	0	870.7482993	0.5	270.5832925
19	8.368967	76	1	1	0	0	0	870.7482993	0.5	270.2524082
20	8.791171	80	1	1	0	0	0	870.7482993	0.5	271.9172789
21	9.213382	84	1	1	0	0	0	870.7482993	0.5	272.3143401
22	9.635962	88	1	1	0	0	0	870.7482993	0.5	272.1227755
23	10.058926	92	1	1	0	0	0	870.7482993	0.5	271.7953741
24	10.513849	96	1	1	0	0	0	870.7482993	0.5	272.5790476
25	10.936233	100	1	1	0	0	0	870.7482993	0.5	271.9991293
