#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012193	0	0	0	0	0	0	890.4347826	0.5	291.3449183
1	0.725561	4	1	1	0	0	0	890.4347826	0.5	291.989593
2	1.147633	8	1	1	0	0	0	890.4347826	0.5	291.6280765
3	1.569169	12	1	1	0	0	0	890.4347826	0.5	291.0653217
4	1.989648	16	1	1	0	0	0	890.4347826	0.5	290.5310609
5	2.40978	20	1	1	0	0	0	890.4347826	0.5	290.6895583
6	2.830178	24	1	1	0	0	0	890.4347826	0.5	291.2897113
7	3.25098	28	1	1	0	0	0	890.4347826	0.5	291.1917635
8	3.672269	32	1	1	0	0	0	890.4347826	0.5	291.321767
9	4.092456	36	1	1	0	0	0	890.4347826	0.5	290.7038052
10	4.512966	40	1	1	0	0	0	890.4347826	0.5	292.0412383
11	4.934193	44	1	1	0	0	0	890.4347826	0.5	291.7384904
12	5.354394	48	1	1	0	0	0	890.4347826	0.5	290.3957148
13	5.774559	52	1	1	0	0	0	890.4347826	0.5	292.1516522
14	6.195373	56	1	1	0	0	0	890.4347826	0.5	291.1116243
15	6.616458	60	1	1	0	0	0	890.4347826	0.5	292.9156452
16	7.037252	64	1	1	0	0	0	890.4347826	0.5	291.7278052
17	7.458659	68	1	1	0	0	0	890.4347826	0.5	291.5034157
18	7.878926	72	1	1	0	0	0	890.4347826	0.5	290.2479026
19	8.29895	76	1	1	0	0	0	890.4347826	0.5	289.9077565
20	8.719606	80	1	1	0	0	0	890.4347826	0.5	291.5408139
21	9.140064	84	1	1	0	0	0	890.4347826	0.5	291.948633
22	9.560688	88	1	1	0	0	0	890.4347826	0.5	292.0786365
23	9.981812	92	1	1	0	0	0	890.4347826	0.5	291.38944
24	10.402406	96	1	1	0	0	0	890.4347826	0.5	292.3528904
25	10.823328	100	1	1	0	0	0	890.4347826	0.5	292.0661704
26	11.244106	104	1	1	0	0	0	890.4347826	0.5	291.252313
27	11.665492	108	1	1	0	0	0	890.4347826	0.5	291.7491757
28	12.08602	112	1	1	0	0	0	890.4347826	0.5	291.10272
29	12.507365	116	1	1	0	0	0	890.4347826	0.5	291.854247
30	12.928125	120	1	1	0	0	0	890.4347826	0.5	292.2122017
31	13.348749	124	1	1	0	0	0	890.4347826	0.5	291.8916452
32	13.769755	128	1	1	0	0	0	890.4347826	0.5	291.1792974
33	14.190216	132	1	1	0	0	0	890.4347826	0.5	292.1445287
34	14.610867	136	1	1	0	0	0	890.4347826	0.5	290.5417461
35	15.031575	140	1	1	0	0	0	890.4347826	0.5	291.4393043
36	15.452169	144	1	1	0	0	0	890.4347826	0.5	291.7919165
37	15.872513	148	1	1	0	0	0	890.4347826	0.5	291.9824696
38	16.29397	152	1	1	0	0	0	890.4347826	0.5	292.1658991
39	16.715217	156	1	1	0	0	0	890.4347826	0.5	290.93888
40	17.135312	160	1	1	0	0	0	890.4347826	0.5	291.2166957
41	17.556167	164	1	1	0	0	0	890.4347826	0.5	290.9905252
42	17.976996	168	1	1	0	0	0	890.4347826	0.5	291.6476661
43	18.397457	172	1	1	0	0	0	890.4347826	0.5	290.8213426
44	18.818208	176	1	1	0	0	0	890.4347826	0.5	290.6236661
45	19.238316	180	1	1	0	0	0	890.4347826	0.5	290.2016
46	19.658959	184	1	1	0	0	0	890.4347826	0.5	291.0421704
47	20.080614	188	1	1	0	0	0	890.4347826	0.5	290.637913
48	20.501024	192	1	1	0	0	0	890.4347826	0.5	291.9450713
49	20.921293	196	1	1	0	0	0	890.4347826	0.5	292.0501426
50	21.341704	200	1	1	0	0	0	890.4347826	0.5	291.198887
51	21.762225	204	1	1	0	0	0	890.4347826	0.5	291.7242435
52	22.182828	208	1	1	0	0	0	890.4347826	0.5	292.2727513
53	22.603564	212	1	1	0	0	0	890.4347826	0.5	290.9495652
54	23.024108	216	1	1	0	0	0	890.4347826	0.5	291.3128626
55	23.444516	220	1	1	0	0	0	890.4347826	0.5	291.67616
56	23.865293	224	1	1	0	0	0	890.4347826	0.5	291.1329948
57	24.286107	228	1	1	0	0	0	890.4347826	0.5	291.7562991
58	24.707142	232	1	1	0	0	0	890.4347826	0.5	291.5978017
59	25.127838	236	1	1	0	0	0	890.4347826	0.5	291.4232765
60	25.548084	240	1	1	0	0	0	890.4347826	0.5	291.0510748
61	25.968598	244	1	1	0	0	0	890.4347826	0.5	290.9744974
62	26.388667	248	1	1	0	0	0	890.4347826	0.5	291.1508035
63	26.809469	252	1	1	0	0	0	890.4347826	0.5	292.0252104
64	27.230285	256	1	1	0	0	0	890.4347826	0.5	291.1899826
65	27.650867	260	1	1	0	0	0	890.4347826	0.5	291.9842504
66	28.071907	264	1	1	0	0	0	890.4347826	0.5	291.5425948
67	28.492488	268	1	1	0	0	0	890.4347826	0.5	291.0154574
68	28.913076	272	1	1	0	0	0	890.4347826	0.5	292.4294678
69	29.334272	276	1	1	0	0	0	890.4347826	0.5	292.2460383
70	29.754992	280	1	1	0	0	0	890.4347826	0.5	292.0448
71	30.175742	284	1	1	0	0	0	890.4347826	0.5	291.7117774
72	30.59678	288	1	1	0	0	0	890.4347826	0.5	291.0297043
