#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.039369	0	0	0	0	0	0	930.9090909	0.5	337.6928582
1	0.745686	4	1	1	0	0	0	930.9090909	0.5	337.7840873
2	1.159556	8	1	1	0	0	0	930.9090909	0.5	338.20672
3	1.573164	12	1	1	0	0	0	930.9090909	0.5	337.9255855
4	2.005792	16	1	1	0	0	0	930.9090909	0.5	339.5658473
5	2.419548	20	1	1	0	0	0	930.9090909	0.5	337.7152
6	2.831816	24	1	1	0	0	0	930.9090909	0.5	338.2607127
7	3.244426	28	1	1	0	0	0	930.9090909	0.5	338.6703127
8	3.657972	32	1	1	0	0	0	930.9090909	0.5	338.1694836
9	4.070296	36	1	1	0	0	0	930.9090909	0.5	338.4282764
10	4.482526	40	1	1	0	0	0	930.9090909	0.5	338.2178909
11	4.894747	44	1	1	0	0	0	930.9090909	0.5	338.1210764
12	5.306906	48	1	1	0	0	0	930.9090909	0.5	338.1713455
13	5.718645	52	1	1	0	0	0	930.9090909	0.5	337.7822255
14	6.131083	56	1	1	0	0	0	930.9090909	0.5	337.7952582
15	6.544438	60	1	1	0	0	0	930.9090909	0.5	337.8418036
16	6.957601	64	1	1	0	0	0	930.9090909	0.5	338.3947636
17	7.369998	68	1	1	0	0	0	930.9090909	0.5	337.9851636
18	7.782231	72	1	1	0	0	0	930.9090909	0.5	338.0503273
19	8.196219	76	1	1	0	0	0	930.9090909	0.5	337.6090764
20	8.609223	80	1	1	0	0	0	930.9090909	0.5	337.4266182
21	9.021471	84	1	1	0	0	0	930.9090909	0.5	337.6835491
22	9.43341	88	1	1	0	0	0	930.9090909	0.5	339.8879418
23	9.846309	92	1	1	0	0	0	930.9090909	0.5	337.7468509
24	10.259568	96	1	1	0	0	0	930.9090909	0.5	337.9218618
25	10.672239	100	1	1	0	0	0	930.9090909	0.5	338.8285673
26	11.084986	104	1	1	0	0	0	930.9090909	0.5	338.3612509
27	11.498293	108	1	1	0	0	0	930.9090909	0.5	337.7487127
28	11.911569	112	1	1	0	0	0	930.9090909	0.5	338.90304
29	12.324217	116	1	1	0	0	0	930.9090909	0.5	338.4655127
30	12.737451	120	1	1	0	0	0	930.9090909	0.5	337.5569455
31	13.149633	124	1	1	0	0	0	930.9090909	0.5	338.1005964
32	13.562461	128	1	1	0	0	0	930.9090909	0.5	337.4582691
33	13.974817	132	1	1	0	0	0	930.9090909	0.5	337.0579782
34	14.387243	136	1	1	0	0	0	930.9090909	0.5	337.8064291
35	14.799571	140	1	1	0	0	0	930.9090909	0.5	337.89952
36	15.212421	144	1	1	0	0	0	930.9090909	0.5	337.9665455
37	15.624505	148	1	1	0	0	0	930.9090909	0.5	338.5269527
38	16.036857	152	1	1	0	0	0	930.9090909	0.5	337.7021673
39	16.449713	156	1	1	0	0	0	930.9090909	0.5	339.1934836
40	16.862039	160	1	1	0	0	0	930.9090909	0.5	337.8324945
41	17.275737	164	1	1	0	0	0	930.9090909	0.5	338.1434182
42	17.68911	168	1	1	0	0	0	930.9090909	0.5	338.0652218
43	18.104613	172	1	1	0	0	0	930.9090909	0.5	337.5457745
44	18.517449	176	1	1	0	0	0	930.9090909	0.5	337.9833018
45	18.930202	180	1	1	0	0	0	930.9090909	0.5	339.0612945
46	19.342502	184	1	1	0	0	0	930.9090909	0.5	338.75968
47	19.754484	188	1	1	0	0	0	930.9090909	0.5	337.5104
48	20.167931	192	1	1	0	0	0	930.9090909	0.5	337.6518982
49	20.58015	196	1	1	0	0	0	930.9090909	0.5	338.1825164
50	20.992138	200	1	1	0	0	0	930.9090909	0.5	338.7522327
51	21.405283	204	1	1	0	0	0	930.9090909	0.5	338.2905018
52	21.817415	208	1	1	0	0	0	930.9090909	0.5	338.4282764
53	22.229938	212	1	1	0	0	0	930.9090909	0.5	337.3763491
54	22.64237	216	1	1	0	0	0	930.9090909	0.5	338.3128436
55	23.055129	220	1	1	0	0	0	930.9090909	0.5	337.9684073
56	23.467658	224	1	1	0	0	0	930.9090909	0.5	338.1359709
57	23.880415	228	1	1	0	0	0	930.9090909	0.5	337.08032
58	24.294585	232	1	1	0	0	0	930.9090909	0.5	337.4526836
59	24.707081	236	1	1	0	0	0	930.9090909	0.5	340.3236073
60	25.119778	240	1	1	0	0	0	930.9090909	0.5	338.2607127
61	25.5331	244	1	1	0	0	0	930.9090909	0.5	337.26464
62	25.945784	248	1	1	0	0	0	930.9090909	0.5	338.7745745
63	26.359258	252	1	1	0	0	0	930.9090909	0.5	338.9086255
64	26.772522	256	1	1	0	0	0	930.9090909	0.5	338.4301382
65	27.186982	260	1	1	0	0	0	930.9090909	0.5	338.5232291
66	27.602099	264	1	1	0	0	0	930.9090909	0.5	338.0484655
67	28.014447	268	1	1	0	0	0	930.9090909	0.5	337.2218182
68	28.429495	272	1	1	0	0	0	930.9090909	0.5	338.2942255
69	28.841516	276	1	1	0	0	0	930.9090909	0.5	336.3374545
70	29.258143	280	1	1	0	0	0	930.9090909	0.5	337.9981964
71	29.670817	284	1	1	0	0	0	930.9090909	0.5	338.0950109
72	30.082934	288	1	1	0	0	0	930.9090909	0.5	337.1864436
73	30.495762	292	1	1	0	0	0	930.9090909	0.5	338.4655127
74	30.908542	296	1	1	0	0	0	930.9090909	0.5	338.2048582
75	31.321845	300	1	1	0	0	0	930.9090909	0.5	337.7654691
76	31.738478	304	1	1	0	0	0	930.9090909	0.5	337.6425891
77	32.15067	308	1	1	0	0	0	930.9090909	0.5	337.7785018
78	32.563478	312	1	1	0	0	0	930.9090909	0.5	338.4133818
79	32.975943	316	1	1	0	0	0	930.9090909	0.5	338.2104436
80	33.388984	320	1	1	0	0	0	930.9090909	0.5	338.9365527
81	33.802174	324	1	1	0	0	0	930.9090909	0.5	339.2251345
82	34.21498	328	1	1	0	0	0	930.9090909	0.5	337.8715927
83	34.627777	332	1	1	0	0	0	930.9090909	0.5	339.5230255
84	35.04063	336	1	1	0	0	0	930.9090909	0.5	337.7952582
85	35.453095	340	1	1	0	0	0	930.9090909	0.5	338.3035345
86	35.865576	344	1	1	0	0	0	930.9090909	0.5	338.1694836
87	36.278272	348	1	1	0	0	0	930.9090909	0.5	337.6146618
88	36.691168	352	1	1	0	0	0	930.9090909	0.5	337.3614545
89	37.103342	356	1	1	0	0	0	930.9090909	0.5	337.9888873
90	37.515857	360	1	1	0	0	0	930.9090909	0.5	338.3202909
91	37.928277	364	1	1	0	0	0	930.9090909	0.5	338.5046109
92	38.342817	368	1	1	0	0	0	930.9090909	0.5	338.4226909
93	38.756119	372	1	1	0	0	0	930.9090909	0.5	339.1301818
94	39.168994	376	1	1	0	0	0	930.9090909	0.5	338.9979927
95	39.581599	380	1	1	0	0	0	930.9090909	0.5	337.6705164
96	39.99436	384	1	1	0	0	0	930.9090909	0.5	338.4953018
97	40.40755	388	1	1	0	0	0	930.9090909	0.5	338.8136727
98	40.820151	392	1	1	0	0	0	930.9090909	0.5	337.8064291
99	41.233534	396	1	1	0	0	0	930.9090909	0.5	338.4636509
100	41.653482	400	1	1	0	0	0	930.9090909	0.5	309.3541236
101	42.065348	404	1	1	0	0	0	930.9090909	0.5	309.6333964
102	42.476889	408	1	1	0	0	0	930.9090909	0.5	308.7937164
103	42.888269	412	1	1	0	0	0	930.9090909	0.5	310.0541673
104	43.299942	416	1	1	0	0	0	930.9090909	0.5	309.9405964
105	43.711654	420	1	1	0	0	0	930.9090909	0.5	310.1062982
106	44.123621	424	1	1	0	0	0	930.9090909	0.5	309.4658327
107	44.535322	428	1	1	0	0	0	930.9090909	0.5	310.4879709
108	44.94744	432	1	1	0	0	0	930.9090909	0.5	309.9517673
109	45.359214	436	1	1	0	0	0	930.9090909	0.5	309.3578473
110	45.770787	440	1	1	0	0	0	930.9090909	0.5	310.0038982
111	46.181738	444	1	1	0	0	0	930.9090909	0.5	309.7990982
112	46.593668	448	1	1	0	0	0	930.9090909	0.5	309.7115927
113	47.004858	452	1	1	0	0	0	930.9090909	0.5	309.2033164
114	47.418273	456	1	1	0	0	0	930.9090909	0.5	309.6110545
115	47.829736	460	1	1	0	0	0	930.9090909	0.5	309.7562764
116	48.24312	464	1	1	0	0	0	930.9090909	0.5	309.4844509
117	48.654559	468	1	1	0	0	0	930.9090909	0.5	309.63712
118	49.065949	472	1	1	0	0	0	930.9090909	0.5	310.0448582
119	49.477664	476	1	1	0	0	0	930.9090909	0.5	309.6631855
120	49.889172	480	1	1	0	0	0	930.9090909	0.5	310.7784145
121	50.301383	484	1	1	0	0	0	930.9090909	0.5	309.1940073
122	50.712384	488	1	1	0	0	0	930.9090909	0.5	309.9815564
123	51.123559	492	1	1	0	0	0	930.9090909	0.5	310.1640145
124	51.535036	496	1	1	0	0	0	930.9090909	0.5	309.8586764
125	51.946404	500	1	1	0	0	0	930.9090909	0.5	307.8870109
126	52.356903	504	1	1	0	0	0	930.9090909	0.5	310.6369164
127	52.768738	508	1	1	0	0	0	930.9090909	0.5	309.9610764
128	53.180229	512	1	1	0	0	0	930.9090909	0.5	309.4844509
129	53.591531	516	1	1	0	0	0	930.9090909	0.5	308.7899927
130	54.002209	520	1	1	0	0	0	930.9090909	0.5	309.30944
131	54.414059	524	1	1	0	0	0	930.9090909	0.5	310.2757236
132	54.825494	528	1	1	0	0	0	930.9090909	0.5	309.7302109
133	55.237521	532	1	1	0	0	0	930.9090909	0.5	309.8381964
134	55.649605	536	1	1	0	0	0	930.9090909	0.5	309.0618182
135	56.061176	540	1	1	0	0	0	930.9090909	0.5	309.8400582
136	56.472854	544	1	1	0	0	0	930.9090909	0.5	310.14912
137	56.885007	548	1	1	0	0	0	930.9090909	0.5	310.2403491
138	57.298739	552	1	1	0	0	0	930.9090909	0.5	310.3706764
139	57.712053	556	1	1	0	0	0	930.9090909	0.5	309.3857745
140	58.126512	560	1	1	0	0	0	930.9090909	0.5	310.0448582
141	58.538985	564	1	1	0	0	0	930.9090909	0.5	310.6555345
142	58.950726	568	1	1	0	0	0	930.9090909	0.5	310.0318255
143	59.362713	572	1	1	0	0	0	930.9090909	0.5	307.9447273
144	59.773253	576	1	1	0	0	0	930.9090909	0.5	310.2887564
145	60.185586	580	1	1	0	0	0	930.9090909	0.5	308.8774982
146	60.597559	584	1	1	0	0	0	930.9090909	0.5	310.1323636
147	61.009414	588	1	1	0	0	0	930.9090909	0.5	310.5158982
148	61.420473	592	1	1	0	0	0	930.9090909	0.5	309.5291345
149	61.849621	596	1	1	0	0	0	930.9090909	0.5	310.2198691
150	62.261569	600	1	1	0	0	0	930.9090909	0.5	310.6685673
151	62.673217	604	1	1	0	0	0	930.9090909	0.5	310.0485818
152	63.084585	608	1	1	0	0	0	930.9090909	0.5	310.1751855
153	63.495951	612	1	1	0	0	0	930.9090909	0.5	309.5849891
154	63.90695	616	1	1	0	0	0	930.9090909	0.5	310.2217309
155	64.317953	620	1	1	0	0	0	930.9090909	0.5	309.3075782
156	64.729288	624	1	1	0	0	0	930.9090909	0.5	310.8938473
157	65.140727	628	1	1	0	0	0	930.9090909	0.5	309.3038545
158	65.552419	632	1	1	0	0	0	930.9090909	0.5	310.3371636
159	65.963921	636	1	1	0	0	0	930.9090909	0.5	310.5401018
160	66.376038	640	1	1	0	0	0	930.9090909	0.5	310.2422109
161	66.78807	644	1	1	0	0	0	930.9090909	0.5	310.04672
162	67.199626	648	1	1	0	0	0	930.9090909	0.5	310.2124218
163	67.611514	652	1	1	0	0	0	930.9090909	0.5	309.9703855
164	68.023114	656	1	1	0	0	0	930.9090909	0.5	310.2831709
165	68.437129	660	1	1	0	0	0	930.9090909	0.5	308.8365382
166	68.847907	664	1	1	0	0	0	930.9090909	0.5	311.1749818
167	69.259779	668	1	1	0	0	0	930.9090909	0.5	310.4693527
168	69.672276	672	1	1	0	0	0	930.9090909	0.5	308.8216436
169	70.08342	676	1	1	0	0	0	930.9090909	0.5	309.8437818
170	70.494343	680	1	1	0	0	0	930.9090909	0.5	310.4674909
171	70.906611	684	1	1	0	0	0	930.9090909	0.5	309.0115491
172	71.317738	688	1	1	0	0	0	930.9090909	0.5	309.3857745
173	71.729192	692	1	1	0	0	0	930.9090909	0.5	310.8156509
174	72.14089	696	1	1	0	0	0	930.9090909	0.5	311.2885527
175	72.55334	700	1	1	0	0	0	930.9090909	0.5	309.9722473
176	72.970699	704	1	1	0	0	0	930.9090909	0.5	310.5158982
177	73.382215	708	1	1	0	0	0	930.9090909	0.5	309.7637236
178	73.794149	712	1	1	0	0	0	930.9090909	0.5	310.1416727
179	74.205979	716	1	1	0	0	0	930.9090909	0.5	309.0953309
180	74.617067	720	1	1	0	0	0	930.9090909	0.5	308.8607418
181	75.028806	724	1	1	0	0	0	930.9090909	0.5	309.0971927
182	75.440308	728	1	1	0	0	0	930.9090909	0.5	309.78048
183	75.851623	732	1	1	0	0	0	930.9090909	0.5	309.0822982
184	76.263568	736	1	1	0	0	0	930.9090909	0.5	309.3224727
185	76.674684	740	1	1	0	0	0	930.9090909	0.5	309.3485382
186	77.086497	744	1	1	0	0	0	930.9090909	0.5	309.7302109
187	77.499594	748	1	1	0	0	0	930.9090909	0.5	310.0765091
188	77.911013	752	1	1	0	0	0	930.9090909	0.5	309.9703855
189	78.325015	756	1	1	0	0	0	930.9090909	0.5	309.2293818
190	78.736717	760	1	1	0	0	0	930.9090909	0.5	309.5738182
191	79.147855	764	1	1	0	0	0	930.9090909	0.5	310.3688145
192	79.560081	768	1	1	0	0	0	930.9090909	0.5	309.1400145
193	79.971397	772	1	1	0	0	0	930.9090909	0.5	310.9031564
194	80.382725	776	1	1	0	0	0	930.9090909	0.5	309.9052218
195	80.793898	780	1	1	0	0	0	930.9090909	0.5	310.1398109
196	81.205516	784	1	1	0	0	0	930.9090909	0.5	308.7136582
197	81.618431	788	1	1	0	0	0	930.9090909	0.5	310.64064
198	82.030089	792	1	1	0	0	0	930.9090909	0.5	309.10464
199	82.442004	796	1	1	0	0	0	930.9090909	0.5	309.7115927
200	82.867714	800	1	1	0	0	0	930.9090909	0.5	281.4417455
201	83.279032	804	1	1	0	0	0	930.9090909	0.5	280.3730618
202	83.689177	808	1	1	0	0	0	930.9090909	0.5	281.27232
203	84.099175	812	1	1	0	0	0	930.9090909	0.5	280.6951564
204	84.509448	816	1	1	0	0	0	930.9090909	0.5	283.0056727
205	84.919822	820	1	1	0	0	0	930.9090909	0.5	280.2371491
206	85.328935	824	1	1	0	0	0	930.9090909	0.5	281.0563491
207	85.73968	828	1	1	0	0	0	930.9090909	0.5	280.7789382
208	86.149283	832	1	1	0	0	0	930.9090909	0.5	281.12896
209	86.559765	836	1	1	0	0	0	930.9090909	0.5	280.7268073
210	86.970061	840	1	1	0	0	0	930.9090909	0.5	280.8347927
211	87.383989	844	1	1	0	0	0	930.9090909	0.5	279.9727709
212	87.794543	848	1	1	0	0	0	930.9090909	0.5	279.5482764
213	88.206927	852	1	1	0	0	0	930.9090909	0.5	281.0824145
214	88.616801	856	1	1	0	0	0	930.9090909	0.5	281.3244509
215	89.027185	860	1	1	0	0	0	930.9090909	0.5	280.7882473
216	89.437901	864	1	1	0	0	0	930.9090909	0.5	280.6020655
217	89.84792	868	1	1	0	0	0	930.9090909	0.5	280.4233309
218	90.258271	872	1	1	0	0	0	930.9090909	0.5	280.8105891
219	90.669115	876	1	1	0	0	0	930.9090909	0.5	280.4084364
220	91.079814	880	1	1	0	0	0	930.9090909	0.5	281.3207273
221	91.489457	884	1	1	0	0	0	930.9090909	0.5	280.9334691
222	91.899361	888	1	1	0	0	0	930.9090909	0.5	280.9595345
223	92.310546	892	1	1	0	0	0	930.9090909	0.5	281.5832436
224	92.720981	896	1	1	0	0	0	930.9090909	0.5	281.1941236
225	93.131425	900	1	1	0	0	0	930.9090909	0.5	281.4920145
226	93.541538	904	1	1	0	0	0	930.9090909	0.5	280.3116218
227	93.952205	908	1	1	0	0	0	930.9090909	0.5	280.3730618
228	94.362025	912	1	1	0	0	0	930.9090909	0.5	280.8496873
