#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.017505	0	0	0	0	0	0	890.4347826	0.5	284.2250017
1	0.770795	4	1	1	0	0	0	890.4347826	0.5	283.6284104
2	1.233031	8	1	1	0	0	0	890.4347826	0.5	284.2784278
3	1.694522	12	1	1	0	0	0	890.4347826	0.5	284.9231026
4	2.155686	16	1	1	0	0	0	890.4347826	0.5	284.9961183
5	2.617331	20	1	1	0	0	0	890.4347826	0.5	283.7690991
6	3.077923	24	1	1	0	0	0	890.4347826	0.5	284.4974748
7	3.540421	28	1	1	0	0	0	890.4347826	0.5	285.382567
8	4.00076	32	1	1	0	0	0	890.4347826	0.5	284.0362296
9	4.461226	36	1	1	0	0	0	890.4347826	0.5	284.4565148
10	4.922217	40	1	1	0	0	0	890.4347826	0.5	283.9649948
11	5.382529	44	1	1	0	0	0	890.4347826	0.5	284.5811757
12	5.843197	48	1	1	0	0	0	890.4347826	0.5	283.6462191
13	6.303347	52	1	1	0	0	0	890.4347826	0.5	283.7797843
14	6.764976	56	1	1	0	0	0	890.4347826	0.5	283.7637565
15	7.22512	60	1	1	0	0	0	890.4347826	0.5	283.375527
16	7.685235	64	1	1	0	0	0	890.4347826	0.5	284.6666574
17	8.146344	68	1	1	0	0	0	890.4347826	0.5	284.38528
18	8.606785	72	1	1	0	0	0	890.4347826	0.5	284.9783096
19	9.069492	76	1	1	0	0	0	890.4347826	0.5	285.0833809
20	9.530646	80	1	1	0	0	0	890.4347826	0.5	283.6195061
21	9.990575	84	1	1	0	0	0	890.4347826	0.5	284.0593809
22	10.451309	88	1	1	0	0	0	890.4347826	0.5	286.3495791
23	10.912482	92	1	1	0	0	0	890.4347826	0.5	284.1555478
24	11.372874	96	1	1	0	0	0	890.4347826	0.5	284.1911652
25	11.834556	100	1	1	0	0	0	890.4347826	0.5	285.751207
26	12.29644	104	1	1	0	0	0	890.4347826	0.5	284.2926748
27	12.775401	108	1	1	0	0	0	890.4347826	0.5	283.8189635
28	13.235735	112	1	1	0	0	0	890.4347826	0.5	285.0068035
29	13.697034	116	1	1	0	0	0	890.4347826	0.5	284.2926748
30	14.157816	120	1	1	0	0	0	890.4347826	0.5	284.1234922
31	14.618443	124	1	1	0	0	0	890.4347826	0.5	284.493913
32	15.079646	128	1	1	0	0	0	890.4347826	0.5	283.9097878
33	15.539692	132	1	1	0	0	0	890.4347826	0.5	283.756633
34	15.99987	136	1	1	0	0	0	890.4347826	0.5	284.59008
35	16.46079	140	1	1	0	0	0	890.4347826	0.5	284.0451339
