#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012471	0	0	0	0	0	0	890.4347826	0.5	290.2443409
1	0.730106	4	1	1	0	0	0	890.4347826	0.5	290.6503791
2	1.15739	8	1	1	0	0	0	890.4347826	0.5	290.1232417
3	1.584217	12	1	1	0	0	0	890.4347826	0.5	289.9344696
4	2.010084	16	1	1	0	0	0	890.4347826	0.5	289.1865043
5	2.435907	20	1	1	0	0	0	890.4347826	0.5	289.4803478
6	2.862101	24	1	1	0	0	0	890.4347826	0.5	290.0288557
7	3.287994	28	1	1	0	0	0	890.4347826	0.5	289.9380313
8	3.714711	32	1	1	0	0	0	890.4347826	0.5	289.8863861
9	4.140684	36	1	1	0	0	0	890.4347826	0.5	289.5141843
10	4.566695	40	1	1	0	0	0	890.4347826	0.5	290.9638122
11	4.992789	44	1	1	0	0	0	890.4347826	0.5	290.3298226
12	5.418298	48	1	1	0	0	0	890.4347826	0.5	289.1580104
13	5.844401	52	1	1	0	0	0	890.4347826	0.5	290.9780591
14	6.270247	56	1	1	0	0	0	890.4347826	0.5	289.8650157
15	6.696774	60	1	1	0	0	0	890.4347826	0.5	291.5853357
16	7.123416	64	1	1	0	0	0	890.4347826	0.5	290.2639304
17	7.549527	68	1	1	0	0	0	890.4347826	0.5	290.1250226
18	7.974969	72	1	1	0	0	0	890.4347826	0.5	288.9692383
19	8.400655	76	1	1	0	0	0	890.4347826	0.5	288.6504626
20	8.825941	80	1	1	0	0	0	890.4347826	0.5	290.3903722
21	9.251202	84	1	1	0	0	0	890.4347826	0.5	290.5168139
22	9.677566	88	1	1	0	0	0	890.4347826	0.5	290.7839443
23	10.103713	92	1	1	0	0	0	890.4347826	0.5	289.9896765
24	10.529276	96	1	1	0	0	0	890.4347826	0.5	291.1009391
25	10.95583	100	1	1	0	0	0	890.4347826	0.5	291.1205287
26	11.381632	104	1	1	0	0	0	890.4347826	0.5	289.8151513
27	11.808042	108	1	1	0	0	0	890.4347826	0.5	290.6717496
28	12.234234	112	1	1	0	0	0	890.4347826	0.5	289.8258365
29	12.660261	116	1	1	0	0	0	890.4347826	0.5	290.7091478
30	13.086396	120	1	1	0	0	0	890.4347826	0.5	290.816
31	13.512948	124	1	1	0	0	0	890.4347826	0.5	290.6112
32	13.939196	128	1	1	0	0	0	890.4347826	0.5	289.8026852
33	14.364851	132	1	1	0	0	0	890.4347826	0.5	290.7661357
34	14.791325	136	1	1	0	0	0	890.4347826	0.5	289.1847235
35	15.216693	140	1	1	0	0	0	890.4347826	0.5	289.9861148
36	15.64243	144	1	1	0	0	0	890.4347826	0.5	290.2728348
37	16.068712	148	1	1	0	0	0	890.4347826	0.5	290.5381843
38	16.49524	152	1	1	0	0	0	890.4347826	0.5	290.7412035
39	16.921431	156	1	1	0	0	0	890.4347826	0.5	289.7528209
40	17.347609	160	1	1	0	0	0	890.4347826	0.5	289.6922713
41	17.773279	164	1	1	0	0	0	890.4347826	0.5	289.8347409
42	18.199055	168	1	1	0	0	0	890.4347826	0.5	290.2318748
43	18.625028	172	1	1	0	0	0	890.4347826	0.5	289.4714435
44	19.050467	176	1	1	0	0	0	890.4347826	0.5	289.450073
45	19.476021	180	1	1	0	0	0	890.4347826	0.5	288.9656765
46	19.903016	184	1	1	0	0	0	890.4347826	0.5	289.8026852
47	20.329099	188	1	1	0	0	0	890.4347826	0.5	289.3360974
48	20.75479	192	1	1	0	0	0	890.4347826	0.5	290.6842157
49	21.181207	196	1	1	0	0	0	890.4347826	0.5	290.5595548
50	21.606622	200	1	1	0	0	0	890.4347826	0.5	289.601447
51	22.032226	204	1	1	0	0	0	890.4347826	0.5	290.5061287
52	22.458595	208	1	1	0	0	0	890.4347826	0.5	290.816
53	22.884284	212	1	1	0	0	0	890.4347826	0.5	289.5284313
54	23.310126	216	1	1	0	0	0	890.4347826	0.5	290.0074852
55	23.736125	220	1	1	0	0	0	890.4347826	0.5	290.3743443
56	24.162187	224	1	1	0	0	0	890.4347826	0.5	289.9273461
57	24.588134	228	1	1	0	0	0	890.4347826	0.5	290.5488696
58	25.014107	232	1	1	0	0	0	890.4347826	0.5	290.351193
59	25.440242	236	1	1	0	0	0	890.4347826	0.5	290.3939339
60	25.865801	240	1	1	0	0	0	890.4347826	0.5	289.4536348
61	26.291269	244	1	1	0	0	0	890.4347826	0.5	289.7902191
62	26.716821	248	1	1	0	0	0	890.4347826	0.5	289.9451548
63	27.142596	252	1	1	0	0	0	890.4347826	0.5	290.6842157
64	27.568656	256	1	1	0	0	0	890.4347826	0.5	289.6851478
65	27.994656	260	1	1	0	0	0	890.4347826	0.5	290.4509217
66	28.420825	264	1	1	0	0	0	890.4347826	0.5	290.2087235
67	28.846629	268	1	1	0	0	0	890.4347826	0.5	290.0306365
