#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.012196	0	0	0	0	0	0	930.9090909	0.5	333.0960291
1	0.720639	4	1	1	0	0	0	930.9090909	0.5	333.9748073
2	1.13791	8	1	1	0	0	0	930.9090909	0.5	333.0178327
3	1.553861	12	1	1	0	0	0	930.9090909	0.5	333.02528
4	1.969158	16	1	1	0	0	0	930.9090909	0.5	332.1725673
5	2.384631	20	1	1	0	0	0	930.9090909	0.5	332.3364073
6	2.800078	24	1	1	0	0	0	930.9090909	0.5	332.7869673
7	3.215509	28	1	1	0	0	0	930.9090909	0.5	332.9359127
8	3.632323	32	1	1	0	0	0	930.9090909	0.5	333.1611927
9	4.047436	36	1	1	0	0	0	930.9090909	0.5	332.1483636
10	4.462489	40	1	1	0	0	0	930.9090909	0.5	333.8184145
11	4.878628	44	1	1	0	0	0	930.9090909	0.5	333.5261091
12	5.293873	48	1	1	0	0	0	930.9090909	0.5	331.8597818
13	5.709004	52	1	1	0	0	0	930.9090909	0.5	333.5912727
14	6.124726	56	1	1	0	0	0	930.9090909	0.5	332.7031855
15	6.540837	60	1	1	0	0	0	930.9090909	0.5	334.6320291
16	6.956457	64	1	1	0	0	0	930.9090909	0.5	333.3622691
17	7.372803	68	1	1	0	0	0	930.9090909	0.5	333.4162618
18	7.788092	72	1	1	0	0	0	930.9090909	0.5	331.8951564
19	8.203456	76	1	1	0	0	0	930.9090909	0.5	331.6903564
20	8.61909	80	1	1	0	0	0	930.9090909	0.5	333.2747636
21	9.034059	84	1	1	0	0	0	930.9090909	0.5	333.5521745
22	9.451967	88	1	1	0	0	0	930.9090909	0.5	333.5465891
23	9.867596	92	1	1	0	0	0	930.9090909	0.5	332.8781964
24	10.282887	96	1	1	0	0	0	930.9090909	0.5	334.5296291
25	10.698825	100	1	1	0	0	0	930.9090909	0.5	333.9580509
26	11.114395	104	1	1	0	0	0	930.9090909	0.5	332.5598255
27	11.529759	108	1	1	0	0	0	930.9090909	0.5	333.4851491
28	11.945529	112	1	1	0	0	0	930.9090909	0.5	332.65664
29	12.36124	116	1	1	0	0	0	930.9090909	0.5	333.6415418
30	12.777019	120	1	1	0	0	0	930.9090909	0.5	333.9822545
31	13.1927	124	1	1	0	0	0	930.9090909	0.5	333.5391418
32	13.608675	128	1	1	0	0	0	930.9090909	0.5	332.88192
33	14.024217	132	1	1	0	0	0	930.9090909	0.5	334.0306618
34	14.439509	136	1	1	0	0	0	930.9090909	0.5	331.9863855
35	14.854814	140	1	1	0	0	0	930.9090909	0.5	333.0718255
36	15.271206	144	1	1	0	0	0	930.9090909	0.5	332.9377745
37	15.686609	148	1	1	0	0	0	930.9090909	0.5	333.6303709
38	16.102472	152	1	1	0	0	0	930.9090909	0.5	334.0939636
39	16.518669	156	1	1	0	0	0	930.9090909	0.5	332.7460073
40	16.93392	160	1	1	0	0	0	930.9090909	0.5	332.8260655
41	17.349568	164	1	1	0	0	0	930.9090909	0.5	332.8074473
42	17.765416	168	1	1	0	0	0	930.9090909	0.5	333.0997527
43	18.180749	172	1	1	0	0	0	930.9090909	0.5	332.7441455
44	18.595945	176	1	1	0	0	0	930.9090909	0.5	332.3792291
45	19.01149	180	1	1	0	0	0	930.9090909	0.5	332.1632582
46	19.429279	184	1	1	0	0	0	930.9090909	0.5	332.8484073
47	19.845056	188	1	1	0	0	0	930.9090909	0.5	332.6864291
48	20.261151	192	1	1	0	0	0	930.9090909	0.5	333.6880873
49	20.676697	196	1	1	0	0	0	930.9090909	0.5	333.8072436
50	21.091459	200	1	1	0	0	0	930.9090909	0.5	332.9508073
51	21.507022	204	1	1	0	0	0	930.9090909	0.5	333.3287564
52	21.922512	208	1	1	0	0	0	930.9090909	0.5	333.9506036
53	22.337927	212	1	1	0	0	0	930.9090909	0.5	332.4965236
54	22.753638	216	1	1	0	0	0	930.9090909	0.5	333.2319418
55	23.169021	220	1	1	0	0	0	930.9090909	0.5	333.5130764
56	23.584501	224	1	1	0	0	0	930.9090909	0.5	333.2021527
57	24.000291	228	1	1	0	0	0	930.9090909	0.5	333.6843636
58	24.416249	232	1	1	0	0	0	930.9090909	0.5	333.2580073
59	24.831761	236	1	1	0	0	0	930.9090909	0.5	333.2189091
60	25.247507	240	1	1	0	0	0	930.9090909	0.5	332.5970618
61	25.662935	244	1	1	0	0	0	930.9090909	0.5	332.2917236
62	26.07808	248	1	1	0	0	0	930.9090909	0.5	332.7683491
63	26.493779	252	1	1	0	0	0	930.9090909	0.5	334.06976
64	26.909663	256	1	1	0	0	0	930.9090909	0.5	332.5095564
65	27.325141	260	1	1	0	0	0	930.9090909	0.5	333.3287564
66	27.740917	264	1	1	0	0	0	930.9090909	0.5	333.2952436
