#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.013243	0	0	0	0	0	0	890.4347826	0.5	296.4791652
1	0.722523	4	1	1	0	0	0	890.4347826	0.5	296.6216348
2	1.140037	8	1	1	0	0	0	890.4347826	0.5	297.0134261
3	1.557014	12	1	1	0	0	0	890.4347826	0.5	296.7213635
4	1.973631	16	1	1	0	0	0	890.4347826	0.5	298.35264
5	2.391189	20	1	1	0	0	0	890.4347826	0.5	296.2992974
6	2.807097	24	1	1	0	0	0	890.4347826	0.5	296.7213635
7	3.224108	28	1	1	0	0	0	890.4347826	0.5	297.3304209
8	3.641415	32	1	1	0	0	0	890.4347826	0.5	297.2004174
9	4.058156	36	1	1	0	0	0	890.4347826	0.5	297.1113739
10	4.47524	40	1	1	0	0	0	890.4347826	0.5	296.9528765
11	4.892155	44	1	1	0	0	0	890.4347826	0.5	296.7641043
12	5.308105	48	1	1	0	0	0	890.4347826	0.5	296.4453287
13	5.723868	52	1	1	0	0	0	890.4347826	0.5	296.3028591
14	6.140362	56	1	1	0	0	0	890.4347826	0.5	296.3847791
15	6.55838	60	1	1	0	0	0	890.4347826	0.5	296.5931409
16	6.975162	64	1	1	0	0	0	890.4347826	0.5	296.7302678
17	7.391345	68	1	1	0	0	0	890.4347826	0.5	296.7195826
18	7.808489	72	1	1	0	0	0	890.4347826	0.5	296.7730087
19	8.225154	76	1	1	0	0	0	890.4347826	0.5	296.5005357
20	8.641891	80	1	1	0	0	0	890.4347826	0.5	296.044633
21	9.058748	84	1	1	0	0	0	890.4347826	0.5	296.2245009
22	9.475046	88	1	1	0	0	0	890.4347826	0.5	298.3205843
23	9.89141	92	1	1	0	0	0	890.4347826	0.5	296.851367
24	10.308423	96	1	1	0	0	0	890.4347826	0.5	296.904793
25	10.725425	100	1	1	0	0	0	890.4347826	0.5	297.6349496
26	11.143098	104	1	1	0	0	0	890.4347826	0.5	296.8424626
27	11.560149	108	1	1	0	0	0	890.4347826	0.5	296.4346435
28	11.977942	112	1	1	0	0	0	890.4347826	0.5	297.5565913
29	12.395541	116	1	1	0	0	0	890.4347826	0.5	297.2235687
30	12.812032	120	1	1	0	0	0	890.4347826	0.5	296.4435478
31	13.228439	124	1	1	0	0	0	890.4347826	0.5	296.9368487
32	13.645293	128	1	1	0	0	0	890.4347826	0.5	295.9199722
33	14.061503	132	1	1	0	0	0	890.4347826	0.5	295.909287
34	14.477908	136	1	1	0	0	0	890.4347826	0.5	296.7124591
35	14.894685	140	1	1	0	0	0	890.4347826	0.5	296.38656
36	15.31079	144	1	1	0	0	0	890.4347826	0.5	296.7569809
37	15.727023	148	1	1	0	0	0	890.4347826	0.5	297.3820661
38	16.144135	152	1	1	0	0	0	890.4347826	0.5	296.6839652
39	16.56039	156	1	1	0	0	0	890.4347826	0.5	297.8539965
40	16.976966	160	1	1	0	0	0	890.4347826	0.5	297.0169878
41	17.394442	164	1	1	0	0	0	890.4347826	0.5	296.8495861
42	17.811196	168	1	1	0	0	0	890.4347826	0.5	296.7979409
43	18.22746	172	1	1	0	0	0	890.4347826	0.5	296.4203965
44	18.643949	176	1	1	0	0	0	890.4347826	0.5	296.6002643
45	19.060006	180	1	1	0	0	0	890.4347826	0.5	297.5548104
46	19.476093	184	1	1	0	0	0	890.4347826	0.5	297.0508243
47	19.893785	188	1	1	0	0	0	890.4347826	0.5	295.9965496
48	20.309873	192	1	1	0	0	0	890.4347826	0.5	296.3705322
