#timestep	time	hpmc_sweep	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	hpmc_overlap_count	volume	hpmc_move_ratio	hpmc_free_volume
0	0.034804	0	0	0	0	0	0	930.9090909	0.5	331.9826618
1	0.759035	4	1	1	0	0	0	930.9090909	0.5	331.20256
2	1.189937	8	1	1	0	0	0	930.9090909	0.5	332.0050036
3	1.620005	12	1	1	0	0	0	930.9090909	0.5	332.6659491
4	2.049826	16	1	1	0	0	0	930.9090909	0.5	332.9340509
5	2.496106	20	1	1	0	0	0	930.9090909	0.5	331.2714473
6	2.925367	24	1	1	0	0	0	930.9090909	0.5	331.8653673
7	3.355258	28	1	1	0	0	0	930.9090909	0.5	332.7497309
8	3.786101	32	1	1	0	0	0	930.9090909	0.5	332.2358691
9	4.217758	36	1	1	0	0	0	930.9090909	0.5	332.2079418
10	4.647683	40	1	1	0	0	0	930.9090909	0.5	331.44832
11	5.077943	44	1	1	0	0	0	930.9090909	0.5	332.1893236
12	5.507482	48	1	1	0	0	0	930.9090909	0.5	331.5246545
13	5.93654	52	1	1	0	0	0	930.9090909	0.5	331.2993745
14	6.366283	56	1	1	0	0	0	930.9090909	0.5	331.12064
15	6.796455	60	1	1	0	0	0	930.9090909	0.5	330.7259345
16	7.225776	64	1	1	0	0	0	930.9090909	0.5	332.1502255
17	7.654921	68	1	1	0	0	0	930.9090909	0.5	331.9621818
18	8.084983	72	1	1	0	0	0	930.9090909	0.5	332.2917236
19	8.516555	76	1	1	0	0	0	930.9090909	0.5	332.0720291
20	8.9468	80	1	1	0	0	0	930.9090909	0.5	331.03872
21	9.381806	84	1	1	0	0	0	930.9090909	0.5	331.4855564
22	9.810947	88	1	1	0	0	0	930.9090909	0.5	333.8258618
23	10.241304	92	1	1	0	0	0	930.9090909	0.5	331.6959418
24	10.670453	96	1	1	0	0	0	930.9090909	0.5	331.7871709
25	11.100164	100	1	1	0	0	0	930.9090909	0.5	333.3380655
26	11.529865	104	1	1	0	0	0	930.9090909	0.5	332.0236218
27	11.960208	108	1	1	0	0	0	930.9090909	0.5	331.5190691
28	12.389971	112	1	1	0	0	0	930.9090909	0.5	332.7757964
29	12.820058	116	1	1	0	0	0	930.9090909	0.5	332.1055418
30	13.24962	120	1	1	0	0	0	930.9090909	0.5	332.0683055
31	13.679086	124	1	1	0	0	0	930.9090909	0.5	332.0105891
32	14.109594	128	1	1	0	0	0	930.9090909	0.5	330.9865891
33	14.538351	132	1	1	0	0	0	930.9090909	0.5	331.1690473
34	14.967886	136	1	1	0	0	0	930.9090909	0.5	331.7890327
35	15.397696	140	1	1	0	0	0	930.9090909	0.5	331.5321018
36	15.827398	144	1	1	0	0	0	930.9090909	0.5	331.6847709
37	16.257099	148	1	1	0	0	0	930.9090909	0.5	331.9752145
38	16.68722	152	1	1	0	0	0	930.9090909	0.5	331.1746327
39	17.115935	156	1	1	0	0	0	930.9090909	0.5	332.12416
40	17.545874	160	1	1	0	0	0	930.9090909	0.5	331.6791855
41	17.975088	164	1	1	0	0	0	930.9090909	0.5	331.9379782
42	18.407095	168	1	1	0	0	0	930.9090909	0.5	331.7126982
43	18.836799	172	1	1	0	0	0	930.9090909	0.5	331.4334255
44	19.265816	176	1	1	0	0	0	930.9090909	0.5	331.4669382
45	19.695242	180	1	1	0	0	0	930.9090909	0.5	332.9768727
46	20.126123	184	1	1	0	0	0	930.9090909	0.5	331.5767855
47	20.555249	188	1	1	0	0	0	930.9090909	0.5	331.5414109
48	20.985032	192	1	1	0	0	0	930.9090909	0.5	331.5060364
49	21.414498	196	1	1	0	0	0	930.9090909	0.5	331.8504727
50	21.844074	200	1	1	0	0	0	930.9090909	0.5	331.6214691
51	22.273842	204	1	1	0	0	0	930.9090909	0.5	332.0198982
52	22.703343	208	1	1	0	0	0	930.9090909	0.5	332.3606109
