#timestep	time	hpmc_overlap_count	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	volume	external_field_jit
0	0.027842	0	0	0	0.01	0.01	2643.964789	0
500	2.888633	0	0.9807106599	0.9811853246	0.0153474645	0.0153585105	2643.964789	0
0	0.012369	0	0	0	0.01	0.01	2643.964715	0
0	0.011376	0	0	0	0.01	0.01	2643.964715	0
500	2.832449	0	0.9918781726	0.9887111947	0.0153447935	0.01535775269	2643.964715	0
1000	5.315669	0	0.9749034749	0.9782608696	0.02348767701	0.02352641613	2643.964715	0
1500	7.811837	0	0.9629268293	0.9677419355	0.03582562517	0.03591394831	2643.964715	0
0	0.013514	0	0	0	0.01	0.01	2643.964715	0
500	2.833165	0	0.9918781726	0.9887111947	0.0153447935	0.01535775269	2643.964715	0
0	0.011562	0	0	0	0.01	0.01	2643.964715	0
500	2.837011	0	0.9918781726	0.9887111947	0.0153447935	0.01535775269	2643.964715	0
1000	5.315488	0	0.9749034749	0.9782608696	0.02348767701	0.02352641613	2643.964715	0
1500	7.806285	0	0.9629268293	0.9677419355	0.03582562517	0.03591394831	2643.964715	0
2000	10.323998	0	0.918762089	0.9388560158	0.05421188355	0.0544350315	2643.964715	0
2500	12.800291	0	0.8917576961	0.9135446686	0.08126690866	0.08178095482	2643.964715	0
3000	15.217941	0	0.8571428571	0.8726368159	0.1199889801	0.1213483581	2643.964715	0
3500	17.533537	0	0.8200562324	0.8032619776	0.1735672756	0.1769726113	2643.964715	0
4000	19.814294	0	0.7032007759	0.7472959685	0.2432130752	0.2515505911	2643.964715	0
4500	21.956444	0	0.6221335992	0.643062201	0.3262656737	0.3467210713	2643.964715	0
5000	24.241134	0	0.5213764338	0.6033057851	0.3262656737	0.3467210713	42303.43543	14155.43253
5500	25.317494	0	0.8902554399	0.9586276488	0.3262656737	0.3467210713	42303.43543	9705.794007
6000	26.295165	0	0.8929273084	0.9631067961	0.3262656737	0.3467210713	42303.43543	5198.086305
