#timestep	time	hpmc_overlap_count	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	volume	external_field_jit
0	0.037162	0	0	0	0.01	0.01	21151.71831	0
500	16.159253	0	0.983670485	0.9860601614	0.01534544409	0.01535821509	21151.71831	0
1000	32.814416	0	0.9760145366	0.9794562677	0.02348031969	0.02351907062	21151.71831	0
1500	49.769836	0	0.9551015415	0.959317905	0.03577865516	0.03587257047	21151.71831	0
2000	66.847121	0	0.9375769515	0.9382716049	0.05412205658	0.05434966045	21151.71831	0
2500	83.827741	0	0.8974453001	0.903571864	0.08102219194	0.08158081973	21151.71831	0
3000	100.37688	0	0.8386079787	0.8619884478	0.1195509483	0.1209062663	21151.71831	0
3500	116.477634	0	0.7737757494	0.8002899601	0.1726458788	0.1760239398	21151.71831	0
4000	131.992176	0	0.6990718124	0.7303562714	0.2415705874	0.2498484516	21151.71831	0
4500	146.842605	0	0.6145770484	0.6576509818	0.3236731373	0.3439355393	21151.71831	0
5000	161.346972	0	0.5139890043	0.5826320283	0.3236731373	0.3439355393	42303.43662	113141.2117
