timestep	hpmc_free_volume
0	1822.5
100	2193.75
200	2396.25
300	2160
400	2430
500	2328.75
600	2160
700	2058.75
800	2058.75
900	1991.25
1000	2193.75
1100	2430
1200	2328.75
1300	2295
1400	2193.75
1500	2126.25
1600	2396.25
1700	2227.5
1800	2497.5
1900	2362.5
2000	2430
2100	2193.75
2200	2227.5
2300	2025
2400	2328.75
2500	2227.5
2600	2160
2700	2497.5
2800	2092.5
2900	2328.75
3000	1957.5
3100	2362.5
3200	2193.75
3300	2025
3400	2396.25
3500	2126.25
3600	2227.5
3700	2160
3800	2328.75
3900	2193.75
4000	2058.75
4100	2227.5
4200	2126.25
4300	2092.5
4400	2160
4500	2261.25
4600	1923.75
4700	2463.75
4800	2193.75
4900	2531.25
5000	2295
5100	2497.5
5200	2328.75
5300	2261.25
5400	2126.25
5500	2126.25
5600	2261.25
5700	2227.5
5800	2497.5
5900	2295
6000	2666.25
6100	2092.5
6200	2463.75
6300	2126.25
6400	2227.5
6500	2362.5
6600	2295
6700	2025
6800	2025
6900	2160
7000	2295
7100	2261.25
7200	2025
7300	2396.25
7400	2160
7500	2126.25
7600	1923.75
7700	2261.25
7800	2328.75
7900	2261.25
8000	2328.75
8100	2497.5
8200	2160
8300	2160
8400	2227.5
8500	2261.25
8600	2160
8700	2193.75
8800	2261.25
8900	2193.75
9000	2193.75
9100	2160
9200	2058.75
9300	2058.75
9400	2430
9500	2396.25
9600	2126.25
9700	2565
9800	2463.75
9900	2092.5
