#timestep	time	hpmc_overlap_count	hpmc_translate_acceptance	hpmc_rotate_acceptance	hpmc_d	hpmc_a	volume	external_field_jit
0	0.033906	0	0	0	0.01	0.01	18582.26213	0
500	17.978298	0	0.9769680721	0.97945708	0.01526426619	0.01531575423	18582.26213	0
0	0.026171	0	0	0	0.01	0.01	18582.2617	0
500	2.0742	0	0.9678526278	0.9758124077	0.01524780331	0.01531331521	18582.2617	0
1000	3.710628	0	0.9695747801	0.9768031896	0.02328926394	0.02343047146	18582.2617	0
1500	5.328094	0	0.9549321267	0.9702933531	0.03545324855	0.03573679996	18582.2617	0
2000	7.002827	0	0.9232185601	0.9337217771	0.05353959136	0.05414304913	18582.2617	0
2500	8.703152	0	0.8794090489	0.904770477	0.07985757524	0.0812021097	18582.2617	0
3000	10.374256	0	0.8286808976	0.8552434457	0.1171301292	0.1202022212	18582.2617	0
3500	12.002491	0	0.7451803779	0.7866857552	0.1676234376	0.1746449412	18582.2617	0
4000	13.587074	0	0.6838577546	0.7287646528	0.2315602609	0.2474326912	18582.2617	0
4500	15.113287	0	0.564905174	0.6551035234	0.3048631054	0.3395285012	18582.2617	0
5000	16.853565	0	0.4963933181	0.5874009947	0.3048631054	0.3395285012	37164.5234	10161.0583
5500	18.662993	0	0.601051709	0.7226214921	0.3048631054	0.3395285012	37164.5234	9733.774289
6000	20.69765	0	0.6599448466	0.7650662252	0.3048631054	0.3395285012	37164.5234	6054.062724
6500	22.427827	0	0.6894257703	0.7805841924	0.3048631054	0.3395285012	37164.5234	3991.620517
7000	24.077056	0	0.6672710789	0.787630662	0.3048631054	0.3395285012	37164.5234	4426.516418
7500	25.735619	0	0.6228070175	0.7394142259	0.3048631054	0.3395285012	37164.5234	8458.706082
8000	27.728426	0	0.5566005472	0.6654959023	0.3048631054	0.3395285012	37164.5234	10066.34096
8500	29.854857	0	0.4794335806	0.5905917553	0.3048631054	0.3395285012	37164.5234	11303.97025
9000	32.215942	0	0.426125331	0.5164985468	0.3048631054	0.3395285012	37164.5234	3920.779872
9500	34.868439	0	0.3290909091	0.4454515491	0.3048631054	0.3395285012	37164.5234	47.70033002
10000	38.046504	0	0.2959708174	0.3904343582	0.3048631054	0.3395285012	37164.5234	32.32134373
10500	41.190645	0	0.2778484463	0.3676266482	0.3048631054	0.3395285012	37164.5234	1862.516021
11000	43.668968	0	0.2510121457	0.3337840122	0.3048631054	0.3395285012	37164.5234	461.640522
11500	46.874844	0	0.2457337884	0.322518779	0.3048631054	0.3395285012	37164.5234	1.395962834
12000	50.159188	0	0.2633497357	0.3390947969	0.3048631054	0.3395285012	37164.5234	3551.702677
12500	53.313849	0	0.2451505017	0.3173548489	0.3048631054	0.3395285012	37164.5234	0
13000	55.807689	0	0.2240947772	0.2943177952	0.3048631054	0.3395285012	37164.5234	16175.68189
13500	58.203512	0	0.2197569995	0.2774833305	0.3048631054	0.3395285012	37164.5234	16145.08663
14000	61.329321	0	0.2208545806	0.2904005525	0.3048631054	0.3395285012	37164.5234	16094.35842
14500	64.333604	0	0.2157123835	0.2871369295	0.3048631054	0.3395285012	37164.5234	15445.24624
15000	67.570091	0	0.2447113661	0.3243341185	0.3048631054	0.3395285012	37164.5234	3263.885193
15500	69.885783	0	0.2073105178	0.2734296271	0.3048631054	0.3395285012	37164.5234	432.9078512
16000	72.448829	0	0.2370703501	0.3038674033	0.3048631054	0.3395285012	37164.5234	8863.675957
16500	75.580613	0	0.2632275132	0.3344298246	0.3048631054	0.3395285012	37164.5234	5513.377926
17000	78.674232	0	0.2254901961	0.2858363233	0.3048631054	0.3395285012	37164.5234	16358.38386
17500	81.521144	0	0.208492201	0.2682679296	0.3048631054	0.3395285012	37164.5234	16428.92094
18000	84.723044	0	0.2329972502	0.2907826087	0.3048631054	0.3395285012	37164.5234	12166.80874
18500	87.51422	0	0.2284644195	0.3015746779	0.3048631054	0.3395285012	37164.5234	0
19000	89.840745	0	0.2258294684	0.3083185841	0.3048631054	0.3395285012	37164.5234	13788.65837
19500	92.611989	0	0.2195041322	0.2839426639	0.3048631054	0.3395285012	37164.5234	13434.21185
20000	95.823762	0	0.2416302766	0.2986851457	0.3048631054	0.3395285012	37164.5234	2540.414588
20500	98.588992	0	0.2652836424	0.3369740376	0.3048631054	0.3395285012	37164.5234	5747.476661
